"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD38","TCRB","IGY","B220","PA+","FAS","PA","IGK","SampleID","Time"
85036.3,77739.9,71687,39946.2,84991.8,30802,9775.03,-106.94,3517.83,3782.28,26.9976,249.627,6636.47,857.873,7342.84,4372.18
79551.1,75302.1,69234,21195,81616.8,17019,7211.16,457.963,889.985,2330.19,-32.6128,-31.1994,5220.2,62.9237,7153.24,10277.4
96803.7,77997.1,81338,46915,83985.4,36609,4477.78,205.82,4460.97,2463.38,73.2178,247.173,5086.39,404.925,7378.1,12099.3
69473.2,74385.7,61208,31242.5,78095.5,26218,12069,318.088,5695.02,4953.62,10.814,-176.924,6245.64,517.736,8447.8,12899.2
93438.4,78202.7,78304,48452.5,82100,38677,7442.06,205.055,1475.34,4234.65,108.42,388.737,8183.83,241.762,6858.23,14157.1
78532.6,77429.1,66470,41787.5,83969.6,32614,12073.2,-87.0294,11128.9,5079.06,4.18965,4.35761,7308.94,1419,15319.8,1444.57
77303.1,73942,68515,25201.2,79621.5,20743,9129.21,-158.977,6411.91,2464.88,63.2277,123.659,5670.65,952.364,15121.8,6521.67
84200.5,76035,72574,33188.8,77544.9,28049,7057.34,104.423,5626.11,3745.28,13.2481,84.0202,5835.59,789.977,22724.5,857.289
82079.5,77045.5,69818,39603.8,80434.8,32268,5895.04,72.7218,6531.14,2853.53,91.5787,23.8172,6201.02,1021.56,21427.4,1946.16
70898.1,72752,63866,17556.2,73457.6,15663,6688.24,65.1227,3800.04,3617.72,11.0542,142.726,6811.36,476.98,22319.8,7827.46
78730,74575.5,69187,24820,80829,20124,4612.45,101.705,4358.56,3782.8,-15.3708,203.176,6857.1,531.471,22504.3,10780.1
70571.5,71702.9,64502,20721.2,80226.1,16927,4200.63,-26.2896,413.004,3736.34,21.5716,286.038,3172.48,1.51211,22575.9,12804.8
80108.7,76557.5,68576,33108.8,82833.2,26195,12528.3,-93.1364,4879.23,4106.54,-21.2231,124.492,7999.59,634.941,22145.3,12845.4
71045.1,71996.5,64670,17551.2,77582.5,14826,8652.76,378.874,6596.84,2285.01,50.7799,-28.8771,4401.67,561.174,22366.6,17729
72295.6,72189.9,65632,18598.8,75943.2,16050,9346.75,160.021,4101.96,2651.35,8.4533,-95.6399,4115.89,456.197,30196.3,2709.35
81383.4,74393.1,71694,31098.8,82577.2,24681,12821.1,168.355,2368.54,3957.34,12.2348,6.08945,8747.28,551.017,30017.2,4278.01
88509.7,75022.3,77318,37271.2,84981,28743,8508.52,309.75,2991.87,4264.87,-3.26791,142.336,6826.59,557.889,29701.3,5370.49
92456.7,78278.7,77406,36855,81778.5,29535,5657.33,18.3535,4131.36,5095.59,31.3358,350.552,6923.47,481.334,37959.6,2574.81
91239.7,74477.3,80286,25980,78263.6,21755,11862.9,288.227,1864.03,3784.37,-25.7657,324.029,10510.4,193.823,43955.9,438.616
84367.5,75247.5,73479,25787.5,78089.4,21642,8257.14,133.548,3775.01,2463.73,60.0362,-93.3712,5718.67,588.397,59529.7,4117.82
81669,71724,74623,24332.5,82050.7,19435,14358.7,401.602,3730.08,3841.46,-13.5564,-84.314,6836.63,1055.25,60066.9,18217.5
78578.8,73983.1,69607,21901.2,77685.7,18476,9303.12,385.851,4343.18,2643.32,-40.1421,-53.1866,4602.21,660.125,105215,1687.06
77460.6,74606.6,68043,37068.8,85585.3,28385,11740.6,412.569,6224.67,2841.53,-54.9507,-39.4514,5720.57,881.963,120310,2279.04
107191,77405,90755,32856.2,85240.8,25261,8650.65,73.6797,3227.24,1913.73,-87.9045,407.154,4111.2,443.618,141847,1795.13
66386.2,70388.1,61810,16007.5,73613.6,14251,5554.19,221.398,1488.81,2289.52,-72.1507,-49.6836,5498.39,118.074,157586,12449.1
81188.1,72545,73344,21635,76439.2,18549,9691.81,197.76,720.084,2856.66,6.71601,136.539,6483.69,129.988,157860,13969.7
142069,89888.5,103580,41968.8,90568.1,30369,3502.56,238.504,3815.96,1011.25,-10.976,288.096,6203.23,229.656,202599,8491.14
73185,72220.8,66411,24977.5,71807.6,22796,4846.26,205.286,2216.92,595.816,24.8002,-32.628,5137.73,303.246,201189,9489.57
86581.9,76744.2,73937,26027.5,83791.2,20357,5394.17,-44.6977,6494.15,2173.35,-14.0401,324.274,3825.72,347.309,209389,3068.37
88240.9,77385.7,74729,39185,79966,32114,8946.29,-135.011,2436.93,3317.69,-12.0009,73.2732,9210.09,420.406,209119,17825.9
71830.5,75650.2,62227,34865,81316.5,28099,14691.7,37.9916,6273.48,2322.88,-10.8192,-132.671,4996.55,295.942,209340,20537
82637.1,76226,71048,30256.2,76715.8,25847,10933.2,148.938,1845.13,2095.69,95.0786,26.71,5509.51,220.55,210190,20910
91334.2,76413.3,78333,33250,87558.6,24887,9002.5,-120.75,3330.58,1536.78,20.6032,125.535,10800.8,217.761,209630,47096.8
101618,80376,82856,40470,85827.5,30902,11600.5,73.7862,7424.31,4085.42,-24.5486,44.9638,7343.82,507.19,208977,52372.4
79836.8,79168.7,66089,42420,78572.1,35382,8501.8,-59.513,8213.25,1832.13,29.5549,-7.23186,7850.59,649.754,217581,7348.31
73918.9,72901.1,66451,24333.8,75587.1,21098,2574.82,5.68104,1756.65,1824.83,28.1817,233.928,6966.36,169.953,232806,3140.12
105099,79163.1,87007,36051.2,79246.5,29814,7990.7,242.881,10559,3428.76,-30.7557,45.8481,6753.76,629.079,246863,5417.42
