"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD38","TCRB","IGY","FJComp-BV650-A","B220","PA+","FAS","PA","IGK","SampleID","Time"
67815.4,66512.2,66820,44391.3,64540.6,45076,6958.26,-12.1375,5330.95,113.791,3956.6,66.8576,109.373,3209.79,1325.16,7494.67,283.642
82397.5,68209.4,79168,49823.5,65916.4,49536,16339.6,-357.681,5120.63,-263.678,2820.64,28.942,33.2276,3545.8,1595.12,7081.71,4589.73
80233.2,66406.9,79181,57555.4,63688.5,59225,5467.22,-94.7508,4229.96,227.846,3373.92,12.388,46.0789,2903.77,863.994,6465.8,4877.3
70087.7,71207.9,64505,42891.1,69178,40633,5506.64,-191.462,4208.71,67.899,3180.27,-26.026,133.827,2819.24,716.201,7390.36,5287.1
80124.5,66526.9,78931,30815.4,64219.8,31447,7317.04,318.068,4067.62,-70.6233,2442.54,31.2465,-0.497338,3370.15,944.412,5511.22,5304.87
85341.6,68902.4,81172,43768.7,65447.3,43828,7522.11,43.174,1165.49,133.568,3321.32,45.1584,98.7235,3217.05,390.994,14101.9,4068.14
92234.2,69643.7,86794,54954.7,68073.8,52906,6478.75,67.4324,768.64,-129.661,3525.18,47.8297,105.46,2989.73,361.198,13370.8,12120
74120.4,66273.1,73296,34341.3,63871.9,35236,7312.71,-273.823,5742.4,-186.786,2408.9,51.5325,35.0573,2731.03,1116.69,19123,265.125
96351.8,68689.8,91928,56637.4,66192.1,56076,4271.24,-129.953,4018.43,-46.0732,3939.72,74.3898,309.358,4260.16,577.919,19991.5,2900.47
142554,74796.3,124905,105614,72390.9,95613,4711.09,25.3561,2057.43,291.711,4371.9,67.7688,165.442,4236.86,4307.94,26392.3,5471.79
78559.2,67286.9,76515,39055.7,64708.7,39555,6863.09,-112.429,6798.64,13.9712,2112.21,66.5719,-1.53598,3919,1236.97,34110.5,1167.96
74994.5,68766.9,71471,56441.4,66395.3,55711,13193.3,79.8128,1275.32,-327.586,6146.98,101.899,23.0625,4650.48,874.798,40895.9,6017.5
85284,68761.9,81283,45826.9,66060.6,45463,6914.84,-38.7918,7180.61,-237.953,3289.16,61.6974,0.543418,4209.94,1684.52,39852.9,6352.11
76574.9,68012.1,73787,31991.2,65857.5,31835,12072.2,224.085,1639.89,-221.008,3328.92,9.0313,-40.2617,2968.68,501.332,46995.3,7030.4
104250,68743.1,99386,54915.7,69410.9,51850,7886.62,365.762,7370.86,-44.1765,4649.58,31.2529,231.897,4240.03,925.648,67448.7,10128.6
80268.5,67731.2,77667,51023.4,66028.3,50643,6000.44,26.904,4438.68,245.644,2095.49,29.3515,145.01,2819.09,1061.12,80790,3663.61
70020,67317.5,68167,50907.7,65398.2,51015,9183.11,35.9544,4086.4,167.483,1917.02,42.6568,61.914,3022.45,1127.63,101019,3057.29
76753.4,69772.6,72093,70263.7,67261.7,68461,5025.09,-120.748,5527.08,229.249,2269.5,99.9393,203.666,3131.46,1258.65,101117,3714.24
136394,77110.4,115921,90793.4,72947.3,81569,8568.81,-68.8284,6080.59,69.4147,4633.36,105.772,201.216,4302.89,1416.47,100956,8402.42
65576.2,70594.8,60877,44999.1,68200.6,43241,3576.28,-59.8108,3581.67,278.335,1061.18,46.8618,75.7423,2746.32,797.37,101224,20578.2
100384,75539.7,87090,44688.8,71772,40806,4598.87,-103.739,3713.35,666.508,1240.81,66.3535,299.847,4884.83,964.911,120597,8752.09
79156.8,68287.8,75967,37387.2,64980.1,37707,5326.33,6.45076,1037.09,-48.8372,1507.5,20.5807,40.2463,3268.95,221.305,147627,9452.7
86061.6,69737.2,80877,54763,67873.5,52877,5901.21,108.157,1897.05,-46.9646,2824.74,50.1951,68.4525,2110.77,478.068,187983,5361.19
90060.5,70374.9,83868,54553.6,67193.3,53208,4921.21,133.029,3392.21,77.7132,2571.94,93.7618,206.876,4420.92,881.491,214278,5775.82
97757.3,71875.5,89135,50725.2,68890.9,48255,4044.07,27.5373,4366.4,-3.71254,3283.09,48.4666,298.297,3785.57,591.026,229200,9453.4
78426.7,68521.2,75010,65765.2,65285,66018,6352.92,-41.7318,2194.85,390.542,2649.11,25.7604,-21.8136,3062.79,336.892,234776,8933.2
74662.6,68467.3,71466,39713.8,66507,39134,7151.5,-25.7137,2236.92,-126.634,2304.17,7.40316,34.5451,2278.98,317.641,235271,9068.86
79600.3,67992,76725,56501.8,66027.7,56081,8327.71,-86.4269,7212.04,-157.12,2148.89,10.3237,161.341,2037.16,688.459,235086,10108.9
86837,67842.3,83885,34855.3,65555.4,34845,9141.65,-167.739,2588.1,218.869,2564.21,30.0386,73.8472,2849.08,359.05,235164,15211.9
93471.8,70046.4,87453,51383.4,67830.9,49645,10608.9,-141.777,720.618,40.0473,2432.72,42.8514,27.6606,2697.36,258.362,242011,9094.43
94820.4,67670.2,91830,58661.6,65326.2,58850,7200.35,-249.832,721.488,14.2126,2944.15,34.1647,244.645,2533.9,175.567,248421,4589.94
146370,76086.7,126073,75627.8,71913.4,68921,7196.4,-88.8665,9646.98,10.9466,4273.58,106.914,242.993,5096.83,991.162,255124,22284.4
