naive,0
seq1,2
seq2,1
seq3,2
seq4,2
seq5,1
seq6,1
seq7,1
seq8,1
seq9,1
seq10,1
seq11,1
seq12,1
seq13,1
seq14,1
seq15,1
seq16,1
seq17,1
seq18,1
seq19,1
seq20,2
seq21,2
seq22,2
seq23,1
seq24,1
seq25,1
seq26,1
seq27,1
seq28,4
seq29,1
seq30,1
seq31,1
seq32,1
seq33,1
seq34,1
seq35,1
seq36,1
seq37,1
seq38,1
seq39,1
seq40,1
seq41,1
seq42,1
seq43,1
seq44,1
seq45,1
seq46,1
seq47,1
seq48,1
seq49,1
seq50,1
seq51,1
seq52,1
seq53,1
seq54,1
seq55,1
seq56,1
seq57,1
seq58,1
seq59,1
seq60,1
seq61,1
seq62,1
seq63,1
seq64,1
seq65,1
seq66,1
seq67,1
