Experiment Name,210831 TA M2 PA BM Spleen
Specimen Name,M2 LN
Tube Name,INX_GC26_001
Record Date,"Aug 31, 2021 2:37:03 PM"
Date Analyzed,09/03/2021 16:41

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"6,039","6,039","6,039",216,216,216,132,132,132,"1,764","1,764","1,764","1,322","1,322","1,322",309,309,309,403,403,403,997,997,997,"2,485","2,485","2,485","4,205","4,205","4,205"
A2,1,"5,401","5,401","5,401",129,129,129,,-6,-6,"2,481","2,481","2,481","1,895","1,895","1,895",19,19,19,338,338,338,"1,613","1,613","1,613","4,497","4,497","4,497","4,810","4,810","4,810"
A3,1,"2,275","2,275","2,275",73,73,73,,-66,-66,"2,838","2,838","2,838","1,287","1,287","1,287",204,204,204,291,291,291,"1,532","1,532","1,532","4,620","4,620","4,620","5,303","5,303","5,303"
A4,1,"2,227","2,227","2,227",600,600,600,207,207,207,"1,211","1,211","1,211","2,801","2,801","2,801",49,49,49,511,511,511,957,957,957,"2,898","2,898","2,898","5,764","5,764","5,764"
A5,1,"5,285","5,285","5,285",49,49,49,220,220,220,"3,006","3,006","3,006","1,270","1,270","1,270",2,2,2,334,334,334,"1,295","1,295","1,295","4,911","4,911","4,911","6,199","6,199","6,199"
A6,1,"1,118","1,118","1,118",297,297,297,,-51,-51,649,649,649,"1,507","1,507","1,507",224,224,224,310,310,310,958,958,958,"4,431","4,431","4,431","6,853","6,853","6,853"
A7,1,"8,760","8,760","8,760",534,534,534,123,123,123,882,882,882,"2,247","2,247","2,247",,-64,-64,202,202,202,"1,120","1,120","1,120","3,895","3,895","3,895","7,271","7,271","7,271"
A8,1,"2,484","2,484","2,484",19,19,19,339,339,339,"1,794","1,794","1,794","1,395","1,395","1,395",,-3,-3,177,177,177,"1,185","1,185","1,185","2,313","2,313","2,313","8,658","8,658","8,658"
A9,1,"8,027","8,027","8,027",27,27,27,118,118,118,"1,466","1,466","1,466","2,204","2,204","2,204",61,61,61,249,249,249,812,812,812,"3,150","3,150","3,150","9,306","9,307","9,307"
A10,1,"2,187","2,187","2,187",27,27,27,172,172,172,"2,980","2,980","2,980","1,478","1,478","1,478",98,98,98,477,477,477,"1,566","1,566","1,566","4,189","4,189","4,189","9,748","9,748","9,748"
