Experiment Name,210901 TA M3/4 PA BM Spleen
Specimen Name,M3-4 LN
Tube Name,INX_GC44_001
Record Date,"Sep 1, 2021 1:52:13 PM"
Date Analyzed,09/03/2021 17:30

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"2,807","2,807","2,807",455,455,455,34,34,34,"1,682","1,682","1,682",989,989,989,189,189,189,486,486,486,700,700,700,"1,874","1,874","1,874","7,536","7,536","7,536"
A2,1,"2,741","2,741","2,741",524,524,524,54,54,54,"1,722","1,722","1,722","1,013","1,013","1,013",,-10,-10,354,354,354,955,955,955,"1,616","1,616","1,616","8,113","8,113","8,113"
A3,1,"5,681","5,681","5,681",58,58,58,,-13,-13,,-44,-44,"1,791","1,791","1,791",61,61,61,66,66,66,710,710,710,"1,036","1,036","1,036","10,480","10,480","10,480"
A4,1,"2,223","2,223","2,223",523,523,523,33,33,33,655,655,655,"2,072","2,072","2,072",,-16,-16,385,385,385,641,641,641,"1,819","1,819","1,819","10,779","10,779","10,779"
A5,1,"3,065","3,065","3,065",92,92,92,122,122,122,621,621,621,996,996,996,,-18,-18,86,86,86,482,482,482,"1,534","1,534","1,534","11,200","11,200","11,200"
A6,1,"1,670","1,670","1,670",195,195,195,158,158,158,511,511,511,"1,590","1,590","1,590",116,116,116,75,75,75,752,752,752,"1,400","1,400","1,400","12,281","12,281","12,281"
A7,1,"3,194","3,194","3,194",25,25,25,,-77,-77,784,784,784,"2,678","2,678","2,678",220,220,220,,-51,-51,713,713,713,887,887,887,"13,066","13,067","13,067"
A8,1,"5,646","5,646","5,646",243,243,243,3,3,3,"1,320","1,320","1,320","2,157","2,157","2,157",203,203,203,346,346,346,"1,503","1,503","1,503","2,437","2,437","2,437","13,350","13,350","13,350"
A9,1,"7,882","7,882","7,882",155,155,155,69,69,69,630,630,630,"1,010","1,010","1,010",30,30,30,24,24,24,754,754,754,"1,849","1,849","1,849","15,322","15,322","15,322"
A10,1,"7,674","7,674","7,674",,-4,-4,217,217,217,351,351,351,685,685,685,72,72,72,41,41,41,747,747,747,"3,120","3,120","3,120","15,560","15,560","15,560"
A11,1,"3,918","3,918","3,918","1,080","1,080","1,080",304,304,304,"2,784","2,784","2,784","1,652","1,652","1,652",199,199,199,931,931,931,"1,019","1,019","1,019","2,614","2,614","2,614","15,935","15,935","15,935"
A12,1,"5,666","5,666","5,666",956,956,956,146,146,146,"3,451","3,451","3,451",781,781,781,204,204,204,477,477,477,947,947,947,"1,792","1,792","1,792","16,344","16,344","16,344"
B1,1,"6,190","6,190","6,190","1,516","1,516","1,516",323,323,323,,-51,-51,"1,356","1,356","1,356",51,51,51,955,955,955,"1,337","1,337","1,337","2,738","2,738","2,738","30,594","30,594","30,594"
B2,1,"3,431","3,431","3,431",884,884,884,242,242,242,"1,588","1,588","1,588","1,665","1,665","1,665",133,133,133,396,396,396,"1,242","1,242","1,242","2,355","2,355","2,355","30,052","30,052","30,052"
B3,1,"2,440","2,440","2,440",86,86,86,48,48,48,"1,574","1,574","1,574","1,179","1,179","1,179",6,6,6,188,188,188,862,862,862,"1,388","1,388","1,388","29,481","29,481","29,481"
B4,1,"5,609","5,609","5,609","1,756","1,756","1,756",362,362,362,"1,947","1,947","1,947","3,229","3,229","3,229",112,112,112,"2,118","2,118","2,118","1,439","1,439","1,439","2,384","2,384","2,384","28,958","28,958","28,958"
B5,1,"4,574","4,574","4,574",199,199,199,106,106,106,"2,044","2,044","2,044",528,528,528,234,234,234,223,223,223,714,714,714,"1,833","1,833","1,833","27,698","27,698","27,698"
B6,1,"2,366","2,366","2,366",353,353,353,89,89,89,"1,160","1,160","1,160","1,028","1,028","1,028",153,153,153,386,386,386,796,796,796,"1,366","1,366","1,366","25,177","25,178","25,178"
B7,1,"6,481","6,481","6,481",30,30,30,122,122,122,"1,132","1,132","1,132","2,961","2,961","2,961",94,94,94,112,112,112,840,840,840,"2,574","2,574","2,574","24,426","24,426","24,426"
B8,1,"4,637","4,637","4,637",759,759,759,127,127,127,764,764,764,"1,067","1,067","1,067",183,183,183,316,316,316,866,866,866,"1,890","1,890","1,890","22,893","22,893","22,893"
B9,1,"5,165","5,165","5,165",67,67,67,39,39,39,839,839,839,"2,294","2,294","2,294",219,219,219,50,50,50,852,852,852,"1,152","1,152","1,152","21,932","21,932","21,932"
B10,1,"9,673","9,673","9,673","1,010","1,010","1,010",342,342,342,"2,788","2,788","2,788","2,515","2,515","2,515",351,351,351,990,990,990,"1,298","1,298","1,298","2,229","2,229","2,229","20,300","20,300","20,300"
B11,1,"7,169","7,169","7,169","1,126","1,126","1,126",222,222,222,686,686,686,"1,816","1,816","1,816",203,203,203,983,983,983,"2,023","2,023","2,023","4,014","4,014","4,014","19,908","19,909","19,909"
B12,1,"12,834","12,834","12,834",749,749,749,109,109,109,768,768,768,989,989,989,114,114,114,533,533,533,961,961,961,"1,543","1,543","1,543","18,820","18,820","18,820"
C1,1,"3,946","3,946","3,946",296,296,296,22,22,22,815,815,815,746,746,746,144,144,144,253,253,253,720,720,720,721,721,721,"31,717","31,717","31,717"
C2,1,"6,540","6,540","6,540",183,183,183,56,56,56,691,691,691,"1,883","1,883","1,883",86,86,86,102,102,102,"1,232","1,232","1,232","1,894","1,894","1,894","31,949","31,949","31,949"
C3,1,"5,109","5,109","5,109",53,53,53,19,19,19,533,533,533,"1,593","1,593","1,593",33,33,33,227,227,227,603,603,603,884,884,884,"32,850","32,850","32,850"
C4,1,"1,920","1,920","1,920",282,282,282,161,161,161,326,326,326,722,722,722,225,225,225,29,29,29,828,828,828,960,960,960,"33,622","33,622","33,622"
C5,1,"2,576","2,576","2,576",420,420,420,,-35,-35,775,775,775,952,952,952,33,33,33,287,287,287,656,656,656,"2,220","2,220","2,220","33,946","33,946","33,946"
C6,1,"2,465","2,465","2,465","1,136","1,136","1,136",123,123,123,"1,308","1,308","1,308","1,805","1,805","1,805",264,264,264,355,355,355,746,746,746,"1,034","1,034","1,034","34,227","34,228","34,228"
C7,1,"4,814","4,814","4,814",120,120,120,109,109,109,893,893,893,972,972,972,120,120,120,71,71,71,990,990,990,"1,249","1,249","1,249","34,990","34,990","34,990"
C8,1,"2,108","2,108","2,108",227,227,227,65,65,65,249,249,249,"1,302","1,302","1,302",61,61,61,195,195,195,"1,177","1,177","1,177","1,624","1,624","1,624","35,252","35,252","35,252"
C9,1,"1,348","1,348","1,348",46,46,46,,-43,-43,520,520,520,"2,390","2,390","2,390",269,269,269,84,84,84,574,574,574,"3,406","3,406","3,406","36,844","36,844","36,844"
C10,1,"8,993","8,993","8,993",178,178,178,235,235,235,"1,410","1,410","1,410","1,938","1,938","1,938",120,120,120,194,194,194,"1,247","1,247","1,247","1,247","1,247","1,247","37,059","37,059","37,059"
C11,1,"4,854","4,854","4,854",437,437,437,,-25,-25,"3,015","3,015","3,015",982,982,982,70,70,70,366,366,366,740,740,740,"3,557","3,557","3,557","37,548","37,548","37,548"
C12,1,"4,757","4,757","4,757",629,629,629,1,1,1,65,65,65,"1,236","1,236","1,236",172,172,172,607,607,607,"1,523","1,523","1,523","2,837","2,837","2,837","38,218","38,218","38,218"
D1,1,"1,327","1,327","1,327",107,107,107,34,34,34,918,918,918,"3,171","3,171","3,171",41,41,41,75,75,75,960,960,960,"1,650","1,650","1,650","49,714","49,714","49,714"
D2,1,"3,543","3,543","3,543",165,165,165,173,173,173,827,827,827,"1,334","1,334","1,334",85,85,85,69,69,69,681,681,681,"1,251","1,251","1,251","49,445","49,445","49,445"
D3,1,"3,577","3,577","3,577",282,282,282,8,8,8,281,281,281,"1,298","1,298","1,298",,-7,-7,93,93,93,945,945,945,"1,412","1,412","1,412","49,128","49,128","49,128"
D4,1,"1,554","1,554","1,554",668,668,668,,-33,-33,"1,028","1,028","1,028","1,450","1,450","1,450",192,192,192,455,455,455,784,784,784,"2,043","2,043","2,043","47,958","47,958","47,958"
D5,1,"6,288","6,288","6,288",458,458,458,60,60,60,448,448,448,"1,960","1,960","1,960",39,39,39,332,332,332,788,788,788,"1,374","1,374","1,374","45,975","45,975","45,975"
D6,1,"4,661","4,661","4,661",452,452,452,,-38,-38,"1,777","1,777","1,777",804,804,804,77,77,77,281,281,281,988,988,988,"2,735","2,735","2,735","45,688","45,688","45,688"
D7,1,"3,458","3,458","3,458",193,193,193,,-21,-21,"1,538","1,538","1,538","1,171","1,171","1,171",156,156,156,194,194,194,808,808,808,"1,758","1,758","1,758","45,353","45,353","45,353"
D8,1,"2,789","2,789","2,789",832,832,832,,-84,-84,"1,065","1,065","1,065",822,822,822,165,165,165,320,320,320,809,809,809,"1,636","1,636","1,636","45,075","45,075","45,075"
D9,1,"3,899","3,899","3,899",290,290,290,108,108,108,"1,347","1,347","1,347",678,678,678,69,69,69,191,191,191,715,715,715,"1,985","1,985","1,985","41,743","41,743","41,743"
