Experiment Name,210901 TA M3/4 PA BM Spleen
Specimen Name,M3-4 LN
Tube Name,INX_GC63_001
Record Date,"Sep 1, 2021 4:50:00 PM"
Date Analyzed,09/03/2021 18:00

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"4,692","4,692","4,692",,-56,-56,169,169,169,6,6,6,"1,582","1,582","1,582",179,179,179,145,145,145,"1,044","1,044","1,044","1,941","1,941","1,941","5,826","5,826","5,826"
A2,1,"2,450","2,450","2,450",113,113,113,72,72,72,434,434,434,"2,050","2,050","2,050",88,88,88,52,52,52,852,852,852,"1,771","1,771","1,771","6,077","6,077","6,077"
A3,1,"3,871","3,871","3,871",138,138,138,191,191,191,"1,366","1,366","1,366","2,726","2,726","2,726",98,98,98,127,127,127,"1,798","1,798","1,798","5,151","5,151","5,151","7,004","7,004","7,004"
A4,1,"2,283","2,283","2,283",67,67,67,120,120,120,"1,482","1,482","1,482","2,877","2,877","2,877",158,158,158,230,230,230,"1,158","1,158","1,158","3,925","3,925","3,925","7,921","7,921","7,921"
A5,1,"3,570","3,570","3,570",39,39,39,,-38,-38,547,547,547,"2,893","2,893","2,893",188,188,188,,-36,-36,995,995,995,"4,046","4,046","4,046","9,219","9,219","9,219"
A6,1,"1,946","1,946","1,946",38,38,38,213,213,213,"1,973","1,973","1,973","3,580","3,580","3,580",122,122,122,77,77,77,"1,263","1,263","1,263","4,317","4,317","4,317","10,508","10,509","10,509"
A7,1,"1,381","1,381","1,381",325,325,325,74,74,74,295,295,295,"2,920","2,920","2,920",,-48,-48,147,147,147,996,996,996,"2,604","2,604","2,604","12,296","12,296","12,296"
A8,1,"1,247","1,247","1,247",16,16,16,182,182,182,266,266,266,"2,417","2,417","2,417",51,51,51,27,27,27,"1,157","1,157","1,157","3,538","3,538","3,538","12,865","12,865","12,865"
A9,1,"1,227","1,227","1,227",64,64,64,177,177,177,"2,034","2,034","2,034","2,645","2,645","2,645",,-84,-84,117,117,117,"1,461","1,461","1,461","7,254","7,254","7,254","13,815","13,816","13,816"
A10,1,"6,054","6,054","6,054",225,225,225,188,188,188,881,881,881,"1,529","1,529","1,529",40,40,40,243,243,243,"1,399","1,399","1,399","5,938","5,938","5,938","14,482","14,482","14,482"
A11,1,"3,763","3,763","3,763",302,302,302,183,183,183,"1,170","1,170","1,170","2,997","2,997","2,997",45,45,45,332,332,332,"1,613","1,613","1,613","3,766","3,766","3,766","15,258","15,258","15,258"
A12,1,"1,255","1,255","1,255",331,331,331,181,181,181,"2,273","2,273","2,273","2,995","2,995","2,995",304,304,304,257,257,257,"1,529","1,529","1,529","4,847","4,847","4,847","15,953","15,953","15,953"
B1,1,"2,274","2,274","2,274",36,36,36,279,279,279,"1,934","1,934","1,934","5,964","5,964","5,964",301,301,301,144,144,144,"2,359","2,359","2,359","5,150","5,150","5,150","25,240","25,240","25,240"
B2,1,"2,691","2,691","2,691",26,26,26,19,19,19,768,768,768,"3,289","3,289","3,289",,-16,-16,79,79,79,950,950,950,"1,977","1,977","1,977","24,327","24,327","24,327"
