Experiment Name,210831 TA PA M2
Specimen Name,M2LN
Tube Name,INX_GC31_001
Record Date,"Aug 31, 2021 3:37:17 PM"
Date Analyzed,09/07/2021 17:01

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"3,284","3,284","3,284","1,157","1,157","1,157","4,643","4,643","4,643",749,749,749,319,319,319,"9,797","9,797","9,797","4,386","4,386","4,386",431,431,431,"1,864","1,864","1,864"
A2,1,"1,337","1,337","1,337","3,581","3,581","3,581","2,915","2,915","2,915",,-21,-21,32,32,32,"2,671","2,671","2,671","6,065","6,065","6,065",175,175,175,"2,796","2,796","2,796"
A3,1,"2,127","2,127","2,127","4,368","4,368","4,368","6,548","6,548","6,548",,-22,-22,628,628,628,"4,312","4,312","4,312","5,828","5,828","5,828",546,546,546,"3,277","3,277","3,277"
A4,1,"4,660","4,660","4,660","5,608","5,608","5,608","7,241","7,241","7,241",175,175,175,880,880,880,"11,870","11,870","11,870","4,109","4,109","4,109",962,962,962,"3,630","3,630","3,630"
A5,1,962,962,962,"2,276","2,276","2,276","2,407","2,407","2,407",233,233,233,54,54,54,"2,950","2,950","2,950","5,591","5,591","5,591",108,108,108,"4,467","4,467","4,467"
A6,1,"1,828","1,828","1,828","1,722","1,722","1,722","3,712","3,712","3,712",175,175,175,532,532,532,"4,163","4,163","4,163","5,124","5,124","5,124",425,425,425,"4,909","4,909","4,909"
A7,1,"1,835","1,835","1,835","1,799","1,799","1,799","2,622","2,622","2,622",,-35,-35,773,773,773,"6,711","6,711","6,711","3,896","3,896","3,896",131,131,131,"5,203","5,203","5,203"
A8,1,"1,436","1,436","1,436","1,064","1,064","1,064","2,985","2,985","2,985",,0,0,176,176,176,"2,433","2,433","2,433","4,026","4,026","4,026",88,88,88,"5,439","5,439","5,439"
A9,1,"1,075","1,075","1,075","1,145","1,145","1,145","3,164","3,164","3,164",27,27,27,322,322,322,"8,806","8,806","8,806","3,809","3,809","3,809",234,234,234,"5,668","5,668","5,668"
A10,1,"1,111","1,111","1,111",794,794,794,"2,743","2,743","2,743",62,62,62,282,282,282,"3,857","3,857","3,857","2,316","2,316","2,316",34,34,34,"6,341","6,341","6,341"
A11,1,"1,708","1,708","1,708","3,682","3,682","3,682","3,790","3,790","3,790",121,121,121,296,296,296,"2,995","2,995","2,995","5,730","5,730","5,730",218,218,218,"6,600","6,600","6,600"
A12,1,"1,231","1,231","1,231","1,690","1,690","1,690","2,222","2,222","2,222",76,76,76,80,80,80,"3,379","3,379","3,379","4,534","4,534","4,534",49,49,49,"7,268","7,268","7,268"
