Experiment Name,210901 TA M3/4 PA BM Spleen
Specimen Name,M3-4 LN
Tube Name,INX_GC70_001
Record Date,"Sep 1, 2021 7:26:06 PM"
Date Analyzed,09/03/2021 18:22

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"2,807","2,807","2,807",124,124,124,21,21,21,"2,046","2,046","2,046","2,254","2,254","2,254",106,106,106,315,315,315,"1,033","1,033","1,033","1,765","1,765","1,765","1,088","1,088","1,088"
A2,1,"4,027","4,027","4,027",418,418,418,66,66,66,507,507,507,"3,615","3,615","3,615",71,71,71,89,89,89,"1,272","1,272","1,272","4,928","4,928","4,928","1,402","1,402","1,402"
A3,1,"4,000","4,000","4,000",492,492,492,43,43,43,"2,214","2,214","2,214","2,864","2,864","2,864",345,345,345,252,252,252,790,790,790,"2,962","2,962","2,962","1,723","1,723","1,723"
A4,1,"6,132","6,132","6,132",314,314,314,,-5,-5,806,806,806,"2,074","2,074","2,074",10,10,10,173,173,173,966,966,966,"1,747","1,747","1,747","2,442","2,442","2,442"
A5,1,"4,130","4,130","4,130",229,229,229,,-89,-89,883,883,883,"1,959","1,959","1,959",101,101,101,257,257,257,838,838,838,"1,895","1,895","1,895","2,927","2,927","2,927"
A6,1,"3,242","3,242","3,242",532,532,532,58,58,58,"1,909","1,909","1,909","1,308","1,308","1,308",158,158,158,168,168,168,876,876,876,"2,119","2,119","2,119","3,340","3,340","3,340"
A7,1,"3,169","3,169","3,169",460,460,460,215,215,215,933,933,933,"2,297","2,297","2,297",185,185,185,262,262,262,"1,110","1,110","1,110","2,606","2,606","2,606","4,528","4,528","4,528"
A8,1,"1,594","1,594","1,594",99,99,99,,-62,-62,53,53,53,"1,466","1,466","1,466",82,82,82,101,101,101,602,602,602,811,811,811,"5,316","5,316","5,316"
A9,1,"2,783","2,783","2,783",138,138,138,45,45,45,307,307,307,"1,143","1,143","1,143",92,92,92,43,43,43,442,442,442,"3,091","3,091","3,091","5,738","5,738","5,738"
A10,1,"4,484","4,484","4,484",,-2,-2,149,149,149,609,609,609,778,778,778,65,65,65,10,10,10,803,803,803,"1,792","1,792","1,792","6,003","6,003","6,003"
