Experiment Name,210901 TA PA M3 M4
Specimen Name,M3-4LN
Tube Name,INX_GC65_001
Record Date,"Sep 1, 2021 5:34:58 PM"
Date Analyzed,09/07/2021 17:21

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,471","1,471","1,471","3,306","3,306","3,306","6,555","6,555","6,555",71,71,71,176,176,176,"2,816","2,816","2,816","1,899","1,899","1,899",182,182,182,"2,336","2,336","2,336"
A2,1,"1,453","1,453","1,453","1,791","1,791","1,791","2,668","2,668","2,668",75,75,75,210,210,210,"1,582","1,582","1,582","5,154","5,154","5,154",247,247,247,"2,634","2,634","2,634"
A3,1,"2,186","2,186","2,186","3,417","3,417","3,417","8,104","8,104","8,104",97,97,97,617,617,617,"1,738","1,738","1,738","6,984","6,984","6,984",457,457,457,"3,299","3,299","3,299"
A4,1,"1,440","1,440","1,440",157,157,157,"3,008","3,008","3,008",,-35,-35,,-28,-28,"2,151","2,151","2,151","5,582","5,582","5,582",36,36,36,"3,596","3,596","3,596"
A5,1,"1,766","1,766","1,766","1,382","1,382","1,382","4,149","4,149","4,149",,-19,-19,970,970,970,"1,189","1,189","1,189","3,333","3,333","3,333",568,568,568,"3,850","3,850","3,850"
A6,1,"2,075","2,075","2,075",910,910,910,"1,162","1,162","1,162",,-26,-26,118,118,118,"1,494","1,494","1,494","6,299","6,299","6,299",249,249,249,"4,351","4,351","4,351"
A7,1,"1,059","1,059","1,059",551,551,551,"2,215","2,215","2,215",37,37,37,229,229,229,"2,084","2,084","2,084","3,999","3,999","3,999",142,142,142,"4,706","4,707","4,707"
A8,1,776,776,776,724,724,724,"1,886","1,886","1,886",,-48,-48,23,23,23,"2,920","2,920","2,920","3,479","3,479","3,479",63,63,63,"5,104","5,104","5,104"
A9,1,"1,273","1,273","1,273",243,243,243,"1,814","1,814","1,814",63,63,63,130,130,130,"2,372","2,372","2,372","3,460","3,460","3,460",53,53,53,"5,343","5,343","5,343"
A10,1,872,872,872,428,428,428,"1,109","1,109","1,109",,-25,-25,114,114,114,"1,640","1,640","1,640","4,327","4,327","4,327",111,111,111,"5,537","5,537","5,537"
