Experiment Name,210901 TA M3/4 PA BM Spleen
Specimen Name,M3-4 LN
Tube Name,INX_GC45_001
Record Date,"Sep 1, 2021 2:01:25 PM"
Date Analyzed,09/03/2021 17:40

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"2,966","2,966","2,966",172,172,172,223,223,223,699,699,699,930,930,930,145,145,145,171,171,171,789,789,789,"1,668","1,668","1,668","2,036","2,036","2,036"
A2,1,"2,238","2,238","2,238",,-86,-86,,-56,-56,367,367,367,"1,487","1,487","1,487",89,89,89,39,39,39,525,525,525,"1,430","1,430","1,430","2,479","2,479","2,479"
A3,1,"5,861","5,861","5,861",80,80,80,,-38,-38,"1,149","1,149","1,149","1,759","1,759","1,759",227,227,227,256,256,256,"1,573","1,573","1,573","2,447","2,447","2,447","3,138","3,138","3,138"
A4,1,"3,176","3,176","3,176",34,34,34,82,82,82,145,145,145,"1,222","1,222","1,222",46,46,46,84,84,84,466,466,466,"1,020","1,020","1,020","3,939","3,939","3,939"
A5,1,"4,881","4,881","4,881",,-18,-18,39,39,39,,-39,-39,"1,571","1,571","1,571",125,125,125,50,50,50,553,553,553,"1,429","1,429","1,429","4,544","4,544","4,544"
A6,1,"4,689","4,689","4,689",504,504,504,209,209,209,"4,550","4,550","4,550","1,901","1,901","1,901",148,148,148,431,431,431,"1,141","1,141","1,141","5,309","5,309","5,309","6,127","6,127","6,127"
A7,1,"5,199","5,199","5,199",55,55,55,187,187,187,310,310,310,"3,396","3,396","3,396",237,237,237,300,300,300,893,893,893,"2,764","2,764","2,764","6,354","6,354","6,354"
A8,1,"5,764","5,764","5,764",46,46,46,236,236,236,50,50,50,"1,162","1,162","1,162",95,95,95,81,81,81,845,845,845,"2,350","2,350","2,350","7,512","7,512","7,512"
A9,1,"3,782","3,782","3,782",75,75,75,69,69,69,892,892,892,"1,590","1,590","1,590",398,398,398,318,318,318,565,565,565,"1,175","1,175","1,175","8,767","8,767","8,767"
A10,1,"4,536","4,536","4,536",308,308,308,156,156,156,315,315,315,"1,884","1,884","1,884",180,180,180,141,141,141,950,950,950,"2,053","2,053","2,053","8,993","8,993","8,993"
A11,1,"3,944","3,944","3,944",172,172,172,56,56,56,"2,415","2,415","2,415","1,390","1,390","1,390",225,225,225,392,392,392,755,755,755,"4,428","4,428","4,428","10,629","10,629","10,629"
