Experiment Name,210831 TA M2 PA BM Spleen
Specimen Name,M2 LN
Tube Name,INX_GC38_001
Record Date,"Aug 31, 2021 5:36:06 PM"
Date Analyzed,09/03/2021 16:48

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"2,063","2,063","2,063",32,32,32,143,143,143,"1,247","1,247","1,247","1,983","1,983","1,983",88,88,88,57,57,57,"1,022","1,022","1,022","2,905","2,905","2,905","2,320","2,320","2,320"
A2,1,"7,011","7,011","7,011",,-15,-15,395,395,395,"3,992","3,992","3,992","1,948","1,948","1,948",67,67,67,294,294,294,"1,347","1,347","1,347","4,928","4,928","4,928","2,656","2,656","2,656"
A3,1,"4,029","4,029","4,029",330,330,330,89,89,89,"2,015","2,015","2,015","1,577","1,577","1,577",,-73,-73,352,352,352,"1,030","1,030","1,030","1,945","1,945","1,945","3,116","3,116","3,116"
A4,1,"3,226","3,226","3,226",138,138,138,82,82,82,100,100,100,"2,020","2,020","2,020",146,146,146,281,281,281,669,669,669,"1,663","1,663","1,663","3,823","3,823","3,823"
A5,1,"1,860","1,860","1,860",460,460,460,143,143,143,"1,465","1,465","1,465","2,396","2,396","2,396",72,72,72,291,291,291,615,615,615,"1,633","1,633","1,633","4,067","4,067","4,067"
A6,1,"5,454","5,454","5,454",106,106,106,56,56,56,"2,581","2,581","2,581","2,067","2,067","2,067",236,236,236,249,249,249,897,897,897,"4,525","4,525","4,525","4,356","4,356","4,356"
A7,1,"4,098","4,098","4,098",74,74,74,66,66,66,458,458,458,"1,230","1,230","1,230",62,62,62,33,33,33,814,814,814,"1,922","1,922","1,922","4,703","4,704","4,704"
A8,1,"3,476","3,476","3,476",,-13,-13,168,168,168,"2,354","2,354","2,354","2,294","2,294","2,294",168,168,168,160,160,160,"1,026","1,026","1,026","1,767","1,767","1,767","5,148","5,148","5,148"
A9,1,"3,380","3,380","3,380",,-22,-22,,-70,-70,"1,075","1,075","1,075","1,830","1,830","1,830",155,155,155,180,180,180,782,782,782,"1,299","1,299","1,299","6,220","6,220","6,220"
A10,1,"11,922","11,922","11,922",51,51,51,99,99,99,"1,749","1,749","1,749",773,773,773,118,118,118,57,57,57,"1,043","1,043","1,043","1,773","1,773","1,773","6,830","6,830","6,830"
A11,1,"1,749","1,749","1,749",80,80,80,112,112,112,"1,688","1,688","1,688","1,525","1,525","1,525",98,98,98,87,87,87,715,715,715,"1,082","1,082","1,082","7,118","7,118","7,118"
A12,1,"4,998","4,998","4,998",39,39,39,62,62,62,241,241,241,"2,093","2,093","2,093",213,213,213,31,31,31,931,931,931,"2,050","2,050","2,050","7,638","7,638","7,638"
B1,1,"5,059","5,059","5,059",355,355,355,131,131,131,996,996,996,"2,411","2,411","2,411",111,111,111,402,402,402,"1,279","1,279","1,279","1,944","1,944","1,944","11,741","11,741","11,741"
B2,1,"2,239","2,239","2,239",17,17,17,180,180,180,"4,126","4,126","4,126","2,382","2,382","2,382",71,71,71,229,229,229,849,849,849,"3,209","3,209","3,209","11,411","11,411","11,411"
B3,1,"4,289","4,289","4,289",98,98,98,114,114,114,"1,626","1,626","1,626","1,322","1,322","1,322",47,47,47,129,129,129,951,951,951,"2,398","2,398","2,398","11,070","11,070","11,070"
B4,1,"3,099","3,099","3,099",81,81,81,86,86,86,"3,409","3,409","3,409","1,889","1,889","1,889",136,136,136,413,413,413,716,716,716,"3,819","3,819","3,819","10,611","10,611","10,611"
B5,1,"7,540","7,540","7,540",124,124,124,189,189,189,297,297,297,"2,132","2,132","2,132",250,250,250,528,528,528,"1,688","1,688","1,688","2,299","2,299","2,299","10,133","10,133","10,133"
B6,1,"8,017","8,017","8,017",216,216,216,62,62,62,"1,390","1,390","1,390","2,575","2,575","2,575",57,57,57,233,233,233,"1,272","1,272","1,272","2,541","2,541","2,541","9,912","9,912","9,912"
B7,1,"5,390","5,390","5,390",103,103,103,,-23,-23,312,312,312,"2,911","2,911","2,911",17,17,17,267,267,267,871,871,871,"1,640","1,640","1,640","9,661","9,661","9,661"
B8,1,"6,262","6,262","6,262",304,304,304,206,206,206,"3,611","3,611","3,611","1,771","1,771","1,771",318,318,318,358,358,358,"1,407","1,407","1,407","2,644","2,644","2,644","9,407","9,407","9,407"
B9,1,"5,161","5,161","5,161",305,305,305,,0,0,547,547,547,"2,465","2,465","2,465",121,121,121,120,120,120,"1,087","1,087","1,087","1,728","1,728","1,728","9,110","9,110","9,110"
B10,1,"5,696","5,696","5,696",,-6,-6,92,92,92,322,322,322,"1,870","1,870","1,870",10,10,10,19,19,19,900,900,900,"1,187","1,187","1,187","8,808","8,808","8,808"
B11,1,"2,112","2,112","2,112",356,356,356,160,160,160,899,899,899,"2,423","2,423","2,423",95,95,95,365,365,365,885,885,885,"1,420","1,420","1,420","8,442","8,442","8,442"
B12,1,"3,659","3,659","3,659",374,374,374,32,32,32,"1,808","1,808","1,808","1,395","1,395","1,395",61,61,61,114,114,114,"1,073","1,073","1,073","1,343","1,343","1,343","8,017","8,017","8,017"
