Experiment Name,210901 TA PA M3 M4
Specimen Name,M3-4LN
Tube Name,INX_GC71_001
Record Date,"Sep 1, 2021 7:37:05 PM"
Date Analyzed,09/07/2021 17:25

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
B10,1,"1,161","1,161","1,161",,-120,-120,"1,192","1,192","1,192",48,48,48,,-83,-83,"1,344","1,344","1,344","7,470","7,470","7,470",,-37,-37,"7,543","7,543","7,543"
B11,1,"1,117","1,117","1,117",60,60,60,"1,688","1,688","1,688",200,200,200,377,377,377,"4,077","4,077","4,077","4,460","4,460","4,460",110,110,110,"7,310","7,310","7,310"
B12,1,968,968,968,"1,138","1,138","1,138","2,039","2,039","2,039",102,102,102,25,25,25,"7,558","7,558","7,558","2,921","2,921","2,921",47,47,47,"7,093","7,093","7,093"
C1,1,830,830,830,231,231,231,"1,510","1,510","1,510",116,116,116,56,56,56,"3,628","3,628","3,628","2,657","2,657","2,657",30,30,30,"11,756","11,756","11,756"
C2,1,"1,821","1,821","1,821","1,099","1,099","1,099","2,338","2,338","2,338",13,13,13,100,100,100,"2,703","2,703","2,703","3,172","3,172","3,172",510,510,510,"11,981","11,981","11,981"
C3,1,"1,374","1,374","1,374",227,227,227,"2,262","2,262","2,262",56,56,56,169,169,169,"1,368","1,368","1,368","5,866","5,866","5,866",176,176,176,"12,286","12,286","12,286"
C4,1,"1,223","1,223","1,223",,-174,-174,"2,747","2,747","2,747",100,100,100,123,123,123,"2,627","2,627","2,627","4,442","4,442","4,442",,-7,-7,"12,625","12,625","12,625"
C5,1,"1,115","1,115","1,115","2,214","2,214","2,214","3,057","3,057","3,057",185,185,185,170,170,170,"3,235","3,235","3,235","5,046","5,046","5,046",272,272,272,"12,891","12,891","12,891"
C6,1,"1,263","1,263","1,263","1,292","1,292","1,292","2,487","2,487","2,487",,-161,-161,301,301,301,"8,935","8,935","8,935","2,662","2,662","2,662",89,89,89,"13,277","13,277","13,277"
C7,1,"1,038","1,038","1,038",,-167,-167,"1,907","1,907","1,907",15,15,15,,-40,-40,"1,647","1,647","1,647","5,196","5,196","5,196",,-19,-19,"13,849","13,849","13,849"
C8,1,888,888,888,293,293,293,"1,196","1,196","1,196",,-51,-51,193,193,193,"2,534","2,534","2,534","3,483","3,483","3,483",98,98,98,"14,120","14,120","14,120"
C9,1,"1,948","1,948","1,948",853,853,853,"3,867","3,867","3,867",28,28,28,519,519,519,"7,470","7,470","7,470","3,867","3,867","3,867",191,191,191,"14,398","14,398","14,398"
C10,1,738,738,738,623,623,623,"1,915","1,915","1,915",,-30,-30,90,90,90,"2,721","2,721","2,721","4,624","4,624","4,624",108,108,108,"14,703","14,703","14,703"
C11,1,"1,200","1,200","1,200",799,799,799,"3,198","3,198","3,198",166,166,166,,-8,-8,"6,490","6,490","6,490","4,234","4,234","4,234",85,85,85,"15,033","15,033","15,033"
C12,1,778,778,778,632,632,632,"1,838","1,838","1,838",115,115,115,483,483,483,"3,376","3,376","3,376","3,618","3,618","3,618",943,943,943,"15,462","15,462","15,462"
D1,1,998,998,998,194,194,194,"2,127","2,127","2,127",43,43,43,182,182,182,"2,530","2,530","2,530","4,280","4,280","4,280",98,98,98,"19,408","19,408","19,408"
D2,1,"1,658","1,658","1,658",684,684,684,"5,758","5,758","5,758",61,61,61,110,110,110,"5,755","5,755","5,755","5,540","5,540","5,540",101,101,101,"19,151","19,151","19,151"
D3,1,"1,326","1,326","1,326",558,558,558,"3,504","3,504","3,504",,-24,-24,832,832,832,"3,629","3,629","3,629","6,020","6,020","6,020",409,409,409,"18,896","18,896","18,896"
D4,1,832,832,832,"1,010","1,010","1,010","1,917","1,917","1,917",,-45,-45,117,117,117,"1,518","1,518","1,518","5,052","5,052","5,052",103,103,103,"18,536","18,536","18,536"
D5,1,849,849,849,"1,198","1,198","1,198","1,637","1,637","1,637",,-36,-36,144,144,144,"1,506","1,506","1,506","3,293","3,293","3,293",57,57,57,"18,212","18,212","18,212"
D6,1,"1,155","1,155","1,155",962,962,962,"2,015","2,015","2,015",,-22,-22,226,226,226,"2,306","2,306","2,306","6,743","6,743","6,743",180,180,180,"17,906","17,906","17,906"
D7,1,"1,162","1,162","1,162",500,500,500,"2,146","2,146","2,146",20,20,20,306,306,306,"3,534","3,534","3,534","5,262","5,262","5,262",120,120,120,"17,416","17,416","17,416"
D8,1,854,854,854,998,998,998,"2,292","2,292","2,292",175,175,175,146,146,146,"2,850","2,850","2,850","4,216","4,216","4,216",127,127,127,"17,064","17,064","17,064"
D9,1,"1,266","1,266","1,266","1,335","1,335","1,335","1,453","1,453","1,453",150,150,150,151,151,151,"3,413","3,413","3,413","4,057","4,057","4,057",218,218,218,"16,635","16,635","16,635"
D10,1,"1,594","1,594","1,594","3,025","3,025","3,025","2,925","2,925","2,925",90,90,90,655,655,655,"3,480","3,480","3,480","4,986","4,986","4,986",291,291,291,"16,259","16,259","16,259"
D11,1,845,845,845,"1,321","1,321","1,321","1,162","1,162","1,162",63,63,63,55,55,55,"3,166","3,166","3,166","4,271","4,271","4,271",89,89,89,"15,998","15,998","15,998"
D12,1,"1,004","1,004","1,004","2,566","2,566","2,566","2,215","2,215","2,215",44,44,44,287,287,287,"3,312","3,312","3,312","3,216","3,216","3,216",111,111,111,"15,704","15,705","15,705"
E1,1,"1,688","1,688","1,688",749,749,749,"2,267","2,267","2,267",170,170,170,288,288,288,"1,818","1,818","1,818","5,669","5,669","5,669",239,239,239,"19,859","19,859","19,859"
E2,1,893,893,893,199,199,199,"1,571","1,571","1,571",67,67,67,293,293,293,"2,192","2,192","2,192","4,457","4,457","4,457",113,113,113,"20,317","20,317","20,317"
E3,1,"1,214","1,214","1,214","2,013","2,013","2,013","3,038","3,038","3,038",71,71,71,284,284,284,"6,465","6,465","6,465","5,490","5,490","5,490",149,149,149,"20,681","20,681","20,681"
E4,1,"1,808","1,808","1,808","1,320","1,320","1,320","2,238","2,238","2,238",114,114,114,0,0,0,"9,371","9,371","9,371","4,115","4,115","4,115",212,212,212,"21,054","21,055","21,055"
E5,1,804,804,804,,-94,-94,"1,842","1,842","1,842",,-89,-89,46,46,46,"3,072","3,072","3,072","3,433","3,433","3,433",61,61,61,"21,382","21,382","21,382"
E6,1,"1,264","1,264","1,264","2,237","2,237","2,237","3,739","3,739","3,739",23,23,23,63,63,63,"3,982","3,982","3,982","5,350","5,350","5,350",122,122,122,"21,655","21,655","21,655"
E7,1,"1,087","1,087","1,087",823,823,823,"2,141","2,141","2,141",109,109,109,37,37,37,"2,644","2,644","2,644","5,352","5,352","5,352",42,42,42,"21,916","21,916","21,916"
E8,1,848,848,848,453,453,453,"1,217","1,217","1,217",65,65,65,12,12,12,"1,397","1,397","1,397","4,085","4,085","4,085",16,16,16,"22,122","22,122","22,122"
E9,1,"1,601","1,601","1,601",948,948,948,"2,970","2,970","2,970",,-4,-4,44,44,44,"1,750","1,750","1,750","6,506","6,506","6,506",135,135,135,"22,696","22,696","22,696"
E10,1,924,924,924,"1,982","1,982","1,982","3,334","3,334","3,334",,-9,-9,134,134,134,"1,241","1,241","1,241","4,218","4,218","4,218",136,136,136,"22,985","22,985","22,985"
E11,1,"1,298","1,298","1,298","1,255","1,255","1,255","3,055","3,055","3,055",47,47,47,55,55,55,"3,980","3,980","3,980","6,631","6,631","6,631",66,66,66,"23,274","23,274","23,274"
E12,1,"1,605","1,605","1,605","3,893","3,893","3,893","3,148","3,148","3,148",199,199,199,293,293,293,"2,984","2,984","2,984","6,802","6,802","6,802",651,651,651,"23,549","23,549","23,549"
F1,1,920,920,920,162,162,162,"1,428","1,428","1,428",,-89,-89,372,372,372,"2,658","2,658","2,658","4,072","4,072","4,072",92,92,92,"28,090","28,090","28,090"
F2,1,873,873,873,"1,148","1,148","1,148","2,703","2,703","2,703",204,204,204,85,85,85,"3,089","3,089","3,089","4,189","4,189","4,189",65,65,65,"27,839","27,839","27,839"
F3,1,"1,022","1,022","1,022",641,641,641,"2,548","2,548","2,548",94,94,94,150,150,150,"1,279","1,279","1,279","4,366","4,366","4,366",70,70,70,"27,025","27,025","27,025"
F4,1,"1,298","1,298","1,298",663,663,663,"2,539","2,539","2,539",5,5,5,89,89,89,"3,545","3,545","3,545","5,415","5,415","5,415",189,189,189,"26,647","26,647","26,647"
F5,1,923,923,923,"1,313","1,313","1,313","1,825","1,825","1,825",11,11,11,120,120,120,"3,385","3,385","3,385","4,029","4,029","4,029",51,51,51,"26,228","26,228","26,228"
F6,1,"1,446","1,446","1,446",283,283,283,"2,293","2,293","2,293",12,12,12,141,141,141,"1,335","1,335","1,335","5,464","5,464","5,464",59,59,59,"25,891","25,891","25,891"
F7,1,"1,191","1,191","1,191",779,779,779,"3,450","3,450","3,450",,-22,-22,49,49,49,"3,836","3,836","3,836","5,235","5,235","5,235",80,80,80,"25,421","25,421","25,421"
F8,1,"1,058","1,058","1,058","2,575","2,575","2,575","2,322","2,322","2,322",,-39,-39,13,13,13,"3,949","3,949","3,949","6,136","6,136","6,136",81,81,81,"25,052","25,052","25,052"
F9,1,"1,065","1,065","1,065",542,542,542,"2,176","2,176","2,176",,-70,-70,286,286,286,"2,767","2,767","2,767","3,296","3,296","3,296",60,60,60,"24,685","24,685","24,685"
F10,1,"1,262","1,262","1,262","1,371","1,371","1,371","2,307","2,307","2,307",105,105,105,305,305,305,"2,902","2,902","2,902","4,498","4,498","4,498",120,120,120,"24,416","24,416","24,416"
F11,1,695,695,695,67,67,67,"1,051","1,051","1,051",,-62,-62,23,23,23,"2,221","2,221","2,221","3,290","3,290","3,290",17,17,17,"24,125","24,125","24,125"
F12,1,910,910,910,229,229,229,"2,179","2,179","2,179",114,114,114,123,123,123,"3,211","3,211","3,211","3,927","3,927","3,927",67,67,67,"23,853","23,853","23,853"
G1,1,"1,353","1,353","1,353","1,482","1,482","1,482","3,842","3,842","3,842",,-62,-62,85,85,85,"1,181","1,181","1,181","7,847","7,847","7,847",99,99,99,"28,373","28,373","28,373"
G2,1,"1,202","1,202","1,202",520,520,520,"3,352","3,352","3,352",55,55,55,108,108,108,"6,008","6,008","6,008","4,228","4,228","4,228",37,37,37,"28,595","28,595","28,595"
G3,1,"1,524","1,524","1,524","2,605","2,605","2,605","3,002","3,002","3,002",124,124,124,315,315,315,"3,809","3,809","3,809","4,427","4,427","4,427",110,110,110,"28,911","28,912","28,912"
G4,1,"2,202","2,202","2,202",960,960,960,"2,555","2,555","2,555",127,127,127,221,221,221,"1,981","1,981","1,981","3,856","3,856","3,856",133,133,133,"29,564","29,564","29,564"
G5,1,867,867,867,324,324,324,"1,886","1,886","1,886",33,33,33,96,96,96,"3,100","3,100","3,100","3,427","3,427","3,427",,-11,-11,"30,483","30,483","30,483"
G6,1,757,757,757,63,63,63,"1,689","1,689","1,689",163,163,163,132,132,132,"1,817","1,817","1,817","5,207","5,207","5,207",30,30,30,"30,705","30,705","30,705"
G7,1,"1,192","1,192","1,192",604,604,604,"1,779","1,779","1,779",,-126,-126,116,116,116,"2,530","2,531","2,531","4,782","4,782","4,782",78,78,78,"31,281","31,281","31,281"
G8,1,936,936,936,"1,942","1,942","1,942","2,021","2,021","2,021",,-12,-12,79,79,79,"2,033","2,033","2,033","7,281","7,281","7,281",150,150,150,"31,594","31,594","31,594"
G9,1,"1,155","1,155","1,155","1,435","1,435","1,435","3,613","3,613","3,613",65,65,65,76,76,76,"4,950","4,950","4,950","6,650","6,650","6,650",117,117,117,"31,864","31,864","31,864"
G10,1,"1,570","1,570","1,570","1,542","1,542","1,542","2,644","2,644","2,644",,-48,-48,148,148,148,"3,132","3,132","3,132","5,753","5,753","5,753",55,55,55,"32,296","32,296","32,296"
G11,1,757,757,757,501,501,501,"2,572","2,572","2,572",131,131,131,40,40,40,"2,071","2,071","2,071","5,428","5,428","5,428",36,36,36,"32,662","32,662","32,662"
G12,1,"1,175","1,175","1,175",416,416,416,"1,802","1,802","1,802",179,179,179,130,130,130,"1,754","1,754","1,754","5,677","5,677","5,677",65,65,65,"32,994","32,994","32,994"
H1,1,"1,805","1,805","1,805",904,904,904,"2,177","2,177","2,177",,-72,-72,874,874,874,"2,204","2,204","2,204","5,447","5,447","5,447",144,144,144,"36,645","36,645","36,645"
H2,1,"1,466","1,466","1,466",980,980,980,"3,088","3,088","3,088",153,153,153,366,366,366,"1,200","1,200","1,200","7,940","7,940","7,940",197,197,197,"36,308","36,309","36,309"
H3,1,884,884,884,88,88,88,"1,988","1,988","1,988",,-63,-63,137,137,137,"1,863","1,863","1,863","3,722","3,722","3,722",16,16,16,"36,088","36,088","36,088"
H4,1,"1,774","1,774","1,774","1,163","1,163","1,163","3,029","3,029","3,029",120,120,120,310,310,310,"3,407","3,407","3,407","4,411","4,411","4,411",112,112,112,"35,552","35,552","35,552"
H5,1,838,838,838,"1,017","1,017","1,017","1,341","1,341","1,341",,-86,-86,381,381,381,"2,065","2,065","2,065","3,455","3,455","3,455",181,181,181,"35,248","35,248","35,248"
H6,1,"1,190","1,190","1,190",390,390,390,"1,445","1,445","1,445",57,57,57,170,170,170,"7,423","7,423","7,423","3,524","3,524","3,524",83,83,83,"35,004","35,005","35,005"
H7,1,"1,301","1,301","1,301",577,577,577,"4,581","4,581","4,581",147,147,147,"1,073","1,073","1,073","2,007","2,007","2,007","3,927","3,927","3,927",109,109,109,"34,731","34,731","34,731"
H8,1,"1,631","1,631","1,631",225,225,225,"4,752","4,752","4,752",,-174,-174,447,447,447,"4,224","4,224","4,224","4,294","4,294","4,294",333,333,333,"34,379","34,379","34,379"
H9,1,"1,504","1,504","1,504",648,648,648,"4,430","4,430","4,430",,-26,-26,,-10,-10,"1,649","1,649","1,649","6,178","6,178","6,178",101,101,101,"34,109","34,109","34,109"
H10,1,"1,614","1,614","1,614","1,246","1,246","1,246","2,097","2,097","2,097",104,104,104,74,74,74,"3,583","3,583","3,583","4,638","4,638","4,638",92,92,92,"33,857","33,857","33,857"
H11,1,"1,232","1,232","1,232","1,118","1,118","1,118","3,541","3,541","3,541",,-37,-37,128,128,128,"2,454","2,454","2,454","4,393","4,393","4,393",53,53,53,"33,585","33,585","33,585"
H12,1,911,911,911,303,303,303,"2,890","2,890","2,890",101,101,101,187,187,187,"2,272","2,272","2,272","4,155","4,155","4,155",52,52,52,"33,259","33,259","33,259"

