Experiment Name,210901 TA PA M3 M4
Specimen Name,M3-4LN
Tube Name,INX_GC71_001
Record Date,"Sep 1, 2021 7:37:05 PM"
Date Analyzed,09/07/2021 17:25

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,199","1,199","1,199",221,221,221,"3,968","3,968","3,968",101,101,101,57,57,57,"2,263","2,263","2,263","3,714","3,714","3,714",54,54,54,"1,981","1,981","1,981"
A2,1,"1,113","1,113","1,113",371,371,371,"2,237","2,237","2,237",,-9,-9,45,45,45,"1,035","1,035","1,035","3,752","3,752","3,752",50,50,50,"2,442","2,442","2,442"
A3,1,905,905,905,434,434,434,"1,641","1,641","1,641",6,6,6,72,72,72,"3,518","3,518","3,518","3,884","3,884","3,884",33,33,33,"2,813","2,813","2,813"
A4,1,910,910,910,"1,715","1,715","1,715","2,324","2,324","2,324",22,22,22,251,251,251,"1,287","1,287","1,287","3,040","3,040","3,040",137,137,137,"3,604","3,604","3,604"
A5,1,816,816,816,733,733,733,"1,255","1,255","1,255",50,50,50,275,275,275,"1,441","1,441","1,441","4,613","4,613","4,613",117,117,117,"3,937","3,937","3,937"
A6,1,"1,424","1,424","1,424",39,39,39,"2,162","2,162","2,162",,-131,-131,236,236,236,"2,822","2,822","2,822","4,024","4,024","4,024",77,77,77,"4,470","4,470","4,470"
A7,1,"1,224","1,224","1,224",711,711,711,"3,069","3,069","3,069",13,13,13,,-49,-49,"1,205","1,205","1,205","3,859","3,859","3,859",41,41,41,"5,004","5,004","5,004"
A8,1,"1,094","1,094","1,094",399,399,399,"1,466","1,466","1,466",26,26,26,184,184,184,"1,202","1,202","1,202","2,095","2,095","2,095",45,45,45,"5,271","5,271","5,271"
A9,1,960,960,960,"3,667","3,667","3,667","4,513","4,513","4,513",,-110,-110,145,145,145,"3,052","3,052","3,052","4,211","4,211","4,211",102,102,102,"5,513","5,514","5,514"
A10,1,"1,189","1,189","1,189",886,886,886,"2,166","2,166","2,166",,-117,-117,184,184,184,"3,017","3,017","3,017","3,454","3,454","3,454",92,92,92,"6,083","6,083","6,083"
A11,1,"1,289","1,289","1,289","1,970","1,970","1,970","2,460","2,460","2,460",151,151,151,184,184,184,"2,078","2,078","2,078","4,832","4,832","4,832",147,147,147,"6,316","6,316","6,316"
A12,1,"1,050","1,050","1,050","1,459","1,459","1,459","1,497","1,497","1,497",,-7,-7,165,165,165,"2,349","2,349","2,349","3,769","3,769","3,769",140,140,140,"6,616","6,617","6,617"
B1,1,839,839,839,"1,135","1,135","1,135","1,263","1,263","1,263",52,52,52,27,27,27,"2,487","2,487","2,487","4,641","4,641","4,641",,-9,-9,"11,352","11,352","11,352"
B2,1,971,971,971,"1,765","1,765","1,765","2,081","2,081","2,081",,-64,-64,175,175,175,"4,389","4,389","4,389","4,574","4,574","4,574",221,221,221,"10,620","10,620","10,620"
B3,1,"1,186","1,186","1,186",784,784,784,"2,515","2,515","2,515",63,63,63,71,71,71,"1,457","1,457","1,457","5,901","5,901","5,901",40,40,40,"10,193","10,193","10,193"
B4,1,"1,102","1,102","1,102",,-85,-85,"2,236","2,236","2,236",35,35,35,47,47,47,"1,668","1,668","1,668","2,634","2,634","2,634",27,27,27,"9,871","9,871","9,871"
B5,1,"1,003","1,003","1,003","1,046","1,046","1,046","2,284","2,284","2,284",218,218,218,127,127,127,"2,368","2,368","2,368","4,377","4,377","4,377",75,75,75,"9,538","9,538","9,538"
B6,1,"1,220","1,220","1,220",228,228,228,"3,145","3,145","3,145",20,20,20,238,238,238,"2,149","2,149","2,149","5,322","5,322","5,322",35,35,35,"9,190","9,190","9,190"
B7,1,"1,106","1,106","1,106",937,937,937,"2,522","2,522","2,522",133,133,133,532,532,532,"1,338","1,338","1,338","9,569","9,569","9,569",132,132,132,"8,925","8,925","8,925"
B8,1,"1,503","1,503","1,503",768,768,768,"4,103","4,103","4,103",102,102,102,414,414,414,"1,209","1,209","1,209","8,074","8,074","8,074",212,212,212,"8,145","8,145","8,145"
B9,1,794,794,794,394,394,394,"2,355","2,355","2,355",92,92,92,314,314,314,"1,839","1,839","1,839","3,328","3,328","3,328",133,133,133,"7,889","7,889","7,889"
