Experiment Name,210831 TA M2 PA BM Spleen
Specimen Name,M2 LN
Tube Name,INX_GC23_001
Record Date,"Aug 31, 2021 3:24:28 PM"
Date Analyzed,09/03/2021 16:37

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"4,635","4,635","4,635",351,351,351,55,55,55,866,866,866,"1,772","1,772","1,772",,-102,-102,257,257,257,887,887,887,"3,821","3,821","3,821","3,787","3,787","3,787"
A2,1,"3,552","3,552","3,552",0,0,0,191,191,191,"1,244","1,244","1,244","1,339","1,339","1,339",77,77,77,141,141,141,834,834,834,"2,354","2,354","2,354","5,824","5,824","5,824"
A3,1,"5,156","5,156","5,156",276,276,276,171,171,171,"1,143","1,143","1,143","1,567","1,567","1,567",,-12,-12,134,134,134,"1,003","1,003","1,003","3,163","3,163","3,163","7,287","7,287","7,287"
A4,1,"6,043","6,043","6,043",81,81,81,244,244,244,340,340,340,864,864,864,18,18,18,0,0,0,"1,153","1,153","1,153","3,242","3,242","3,242","8,194","8,194","8,194"
A5,1,"3,252","3,252","3,252",11,11,11,,-63,-63,"1,647","1,647","1,647",897,897,897,283,283,283,96,96,96,836,836,836,"3,956","3,956","3,956","8,865","8,865","8,865"
A6,1,"7,068","7,068","7,068",293,293,293,230,230,230,995,995,995,"1,750","1,750","1,750",44,44,44,91,91,91,"1,690","1,690","1,690","2,635","2,635","2,635","11,070","11,070","11,070"
A7,1,"7,441","7,441","7,441",264,264,264,174,174,174,"1,983","1,983","1,983","1,867","1,867","1,867",19,19,19,307,307,307,"1,813","1,813","1,813","3,835","3,835","3,835","11,825","11,825","11,825"
A8,1,"1,623","1,623","1,623",117,117,117,154,154,154,338,338,338,"1,162","1,162","1,162",211,211,211,157,157,157,"1,050","1,050","1,050","2,317","2,317","2,317","12,418","12,418","12,418"
A9,1,"5,140","5,140","5,140",21,21,21,173,173,173,566,566,566,"1,085","1,085","1,085",,-14,-14,,-36,-36,"1,364","1,364","1,364","2,793","2,793","2,793","13,046","13,046","13,046"
A10,1,"2,485","2,485","2,485",377,377,377,4,4,4,956,956,956,764,764,764,,-22,-22,31,31,31,887,887,887,"5,191","5,191","5,191","13,722","13,722","13,722"
A11,1,"5,378","5,378","5,378",58,58,58,56,56,56,97,97,97,947,947,947,35,35,35,270,270,270,934,934,934,"1,609","1,609","1,609","14,063","14,063","14,063"
A12,1,"7,712","7,712","7,712",69,69,69,215,215,215,525,525,525,"1,858","1,858","1,858",,-52,-52,86,86,86,"1,102","1,102","1,102","3,447","3,447","3,447","14,987","14,987","14,987"
B1,1,"4,880","4,880","4,880",68,68,68,294,294,294,889,889,889,"1,131","1,131","1,131",,-28,-28,13,13,13,"1,031","1,031","1,031","3,068","3,068","3,068","27,100","27,100","27,100"
B2,1,"5,455","5,455","5,455",333,333,333,414,414,414,"1,161","1,161","1,161","1,342","1,342","1,342",132,132,132,234,234,234,"1,060","1,060","1,060","1,961","1,961","1,961","26,605","26,605","26,605"
B3,1,"3,874","3,874","3,874",40,40,40,303,303,303,"1,237","1,237","1,237",905,905,905,143,143,143,190,190,190,"1,141","1,141","1,141","3,771","3,771","3,771","25,762","25,762","25,762"
B4,1,"3,445","3,445","3,445",72,72,72,63,63,63,733,733,733,"2,636","2,636","2,636",84,84,84,38,38,38,"1,255","1,255","1,255","2,352","2,352","2,352","24,963","24,963","24,963"
B5,1,"5,785","5,785","5,785",569,569,569,34,34,34,445,445,445,"2,924","2,924","2,924",331,331,331,62,62,62,749,749,749,"1,801","1,801","1,801","23,502","23,502","23,502"
B6,1,"2,773","2,773","2,773",717,717,717,146,146,146,"1,716","1,716","1,716","3,225","3,225","3,225",124,124,124,593,593,593,844,844,844,"4,746","4,746","4,746","22,987","22,987","22,987"
B7,1,"1,495","1,495","1,495",54,54,54,,-12,-12,362,362,362,"1,095","1,095","1,095",,-12,-12,48,48,48,951,951,951,"2,334","2,334","2,334","20,617","20,618","20,618"
B8,1,"3,118","3,118","3,118",717,717,717,139,139,139,"1,105","1,105","1,105","1,585","1,585","1,585",97,97,97,789,789,789,"1,630","1,630","1,630","4,679","4,679","4,679","19,958","19,958","19,958"
B9,1,"4,528","4,528","4,528",212,212,212,235,235,235,693,693,693,"1,190","1,190","1,190",110,110,110,481,481,481,"1,120","1,120","1,120","2,797","2,797","2,797","18,884","18,884","18,884"
B10,1,"6,823","6,823","6,823",87,87,87,115,115,115,951,951,951,"1,304","1,304","1,304",,-70,-70,28,28,28,990,990,990,"2,123","2,123","2,123","16,529","16,529","16,529"
B11,1,"9,185","9,185","9,185",179,179,179,180,180,180,"1,628","1,628","1,628","2,039","2,039","2,039",103,103,103,242,242,242,"1,100","1,100","1,100","3,495","3,495","3,495","15,949","15,949","15,949"
B12,1,"1,831","1,831","1,831",227,227,227,240,240,240,"1,620","1,620","1,620","2,066","2,066","2,066",169,169,169,105,105,105,"1,335","1,335","1,335","6,196","6,196","6,196","15,444","15,444","15,444"
C1,1,"9,597","9,597","9,597",636,636,636,283,283,283,603,603,603,"2,633","2,633","2,633",21,21,21,"2,491","2,491","2,491","2,760","2,760","2,760","13,525","13,525","13,525","27,521","27,521","27,521"
C2,1,"4,991","4,991","4,991",117,117,117,250,250,250,"1,652","1,652","1,652","1,345","1,345","1,345",72,72,72,165,165,165,"1,724","1,724","1,724","5,158","5,158","5,158","28,264","28,264","28,264"
C3,1,"3,875","3,875","3,875",,-36,-36,126,126,126,"1,520","1,520","1,520","1,281","1,281","1,281",148,148,148,126,126,126,"1,245","1,245","1,245","7,607","7,607","7,607","28,954","28,954","28,954"
