Experiment Name,210901 TA M3/4 PA BM Spleen
Specimen Name,M3-4 LN
Tube Name,INX_GC46_001
Record Date,"Sep 1, 2021 2:18:38 PM"
Date Analyzed,09/03/2021 17:45

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"4,030","4,030","4,030",31,31,31,60,60,60,263,263,263,921,921,921,14,14,14,306,306,306,"1,217","1,217","1,217","2,830","2,830","2,830","2,793","2,793","2,793"
A2,1,"2,895","2,895","2,895",7,7,7,12,12,12,778,778,778,"1,256","1,256","1,256",45,45,45,72,72,72,606,606,606,704,704,704,"3,569","3,569","3,569"
A3,1,"3,371","3,371","3,371",115,115,115,125,125,125,182,182,182,"2,266","2,266","2,266",92,92,92,78,78,78,564,564,564,"1,530","1,530","1,530","3,996","3,996","3,996"
A4,1,"2,564","2,564","2,564",385,385,385,93,93,93,"2,562","2,562","2,562","1,442","1,442","1,442",166,166,166,159,159,159,491,491,491,"1,873","1,873","1,873","4,270","4,270","4,270"
A5,1,"1,968","1,968","1,968",,-33,-33,43,43,43,,-63,-63,"1,635","1,635","1,635",229,229,229,35,35,35,967,967,967,"1,345","1,345","1,345","5,575","5,575","5,575"
A6,1,"3,803","3,803","3,803",12,12,12,331,331,331,819,819,819,"2,435","2,435","2,435",,-6,-6,21,21,21,784,784,784,"2,144","2,144","2,144","6,124","6,124","6,124"
A7,1,"6,485","6,485","6,485",558,558,558,,-38,-38,"1,084","1,084","1,084","1,706","1,706","1,706",,-11,-11,206,206,206,816,816,816,"2,444","2,444","2,444","6,645","6,645","6,645"
A8,1,"4,851","4,851","4,851",112,112,112,,-12,-12,550,550,550,"2,750","2,750","2,750",293,293,293,152,152,152,"1,100","1,100","1,100","5,169","5,169","5,169","6,942","6,942","6,942"
A9,1,"5,097","5,097","5,097",0,0,0,54,54,54,,-2,-2,"1,548","1,548","1,548",276,276,276,,-39,-39,511,511,511,"1,464","1,464","1,464","7,798","7,798","7,798"
A10,1,"8,756","8,756","8,756",47,47,47,123,123,123,"7,252","7,252","7,252","3,438","3,438","3,438",,-11,-11,235,235,235,837,837,837,"3,843","3,843","3,843","8,333","8,333","8,333"
A11,1,"3,230","3,230","3,230",367,367,367,,-42,-42,351,351,351,"1,489","1,489","1,489",,0,0,129,129,129,823,823,823,"2,909","2,909","2,909","8,600","8,600","8,600"
A12,1,"2,145","2,145","2,145",288,288,288,48,48,48,206,206,206,"1,403","1,403","1,403",59,59,59,226,226,226,538,538,538,"1,171","1,171","1,171","8,856","8,856","8,856"
B1,1,"2,439","2,439","2,439",385,385,385,151,151,151,"1,001","1,001","1,001",931,931,931,71,71,71,380,380,380,585,585,585,"4,005","4,005","4,005","14,764","14,765","14,765"
B2,1,"2,940","2,940","2,940",149,149,149,183,183,183,"1,547","1,547","1,547","1,153","1,153","1,153",138,138,138,232,232,232,"1,077","1,077","1,077","2,296","2,296","2,296","14,333","14,333","14,333"
B3,1,"6,245","6,245","6,245",,-1,-1,233,233,233,"6,500","6,500","6,500","2,030","2,030","2,030",206,206,206,287,287,287,662,662,662,"3,649","3,649","3,649","14,019","14,019","14,019"
B4,1,"5,384","5,384","5,384",136,136,136,,-29,-29,"1,219","1,219","1,219","1,297","1,297","1,297",71,71,71,175,175,175,"1,088","1,088","1,088","2,075","2,075","2,075","13,755","13,755","13,755"
