Experiment Name,210902 TA M5/6 PA BM Spleen
Specimen Name,M5-6 LN
Tube Name,INX_GC77_001
Record Date,"Sep 2, 2021 2:07:08 PM"
Date Analyzed,09/03/2021 18:39

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"8,783","8,783","8,783",351,351,351,,-104,-104,"1,171","1,171","1,171","1,074","1,074","1,074",130,130,130,186,186,186,835,835,835,"2,718","2,718","2,718","3,281","3,281","3,281"
A2,1,"4,494","4,494","4,494",43,43,43,130,130,130,431,431,431,"2,116","2,116","2,116",101,101,101,56,56,56,745,745,745,"1,730","1,730","1,730","3,762","3,762","3,762"
A3,1,"11,263","11,263","11,263",775,775,775,82,82,82,"1,616","1,616","1,616","3,291","3,291","3,291",57,57,57,349,349,349,"1,179","1,179","1,179","2,717","2,717","2,717","4,062","4,062","4,062"
A4,1,"13,372","13,372","13,372",292,292,292,171,171,171,669,669,669,"1,212","1,212","1,212",230,230,230,74,74,74,"1,589","1,589","1,589","3,732","3,732","3,732","4,674","4,675","4,675"
A5,1,"6,009","6,009","6,009",261,261,261,110,110,110,"1,978","1,978","1,978","3,299","3,299","3,299",70,70,70,206,206,206,"1,759","1,759","1,759","4,631","4,631","4,631","6,257","6,257","6,257"
A6,1,"1,954","1,954","1,954",421,421,421,164,164,164,"2,762","2,762","2,762","1,466","1,466","1,466",128,128,128,74,74,74,"1,696","1,696","1,696","8,747","8,747","8,747","6,616","6,616","6,616"
A7,1,"3,998","3,998","3,998",34,34,34,31,31,31,"1,103","1,103","1,103",941,941,941,250,250,250,,-3,-3,"1,387","1,387","1,387","4,002","4,002","4,002","7,284","7,284","7,284"
A8,1,"6,608","6,608","6,608",,-52,-52,198,198,198,"1,792","1,792","1,792","2,141","2,141","2,141",118,118,118,87,87,87,"1,541","1,541","1,541","3,458","3,458","3,458","9,366","9,366","9,366"
A9,1,"1,517","1,517","1,517",10,10,10,52,52,52,"1,518","1,518","1,518","3,297","3,297","3,297",111,111,111,92,92,92,972,972,972,"1,717","1,717","1,717","10,290","10,290","10,290"
A10,1,"1,879","1,879","1,879",4,4,4,181,181,181,"1,417","1,417","1,417","2,984","2,984","2,984",80,80,80,1,1,1,739,739,739,"6,937","6,937","6,937","11,031","11,031","11,031"
A11,1,"3,159","3,159","3,159",3,3,3,42,42,42,696,696,696,"2,810","2,810","2,810",64,64,64,16,16,16,881,881,881,"3,996","3,996","3,996","14,272","14,272","14,272"
A12,1,"1,998","1,998","1,998",,-45,-45,231,231,231,"3,155","3,155","3,155","2,095","2,095","2,095",345,345,345,174,174,174,752,752,752,"5,886","5,886","5,886","15,011","15,011","15,011"
B1,1,"1,485","1,485","1,485",493,493,493,60,60,60,"1,001","1,001","1,001","3,100","3,100","3,100",183,183,183,115,115,115,"1,293","1,293","1,293","3,507","3,507","3,507","27,738","27,738","27,738"
B2,1,"3,914","3,914","3,914",126,126,126,264,264,264,"2,386","2,386","2,386","5,368","5,368","5,368",310,310,310,114,114,114,"2,169","2,169","2,169","8,082","8,082","8,082","26,864","26,864","26,864"
B3,1,"5,780","5,780","5,780",259,259,259,71,71,71,961,961,961,"2,415","2,415","2,415",97,97,97,83,83,83,"1,698","1,698","1,698","5,185","5,185","5,185","25,825","25,825","25,825"
B4,1,"3,724","3,724","3,724",265,265,265,214,214,214,"2,112","2,112","2,112","2,970","2,970","2,970",57,57,57,171,171,171,757,757,757,"3,657","3,657","3,657","24,035","24,035","24,035"
B5,1,"1,755","1,755","1,755",320,320,320,248,248,248,812,812,812,"2,749","2,749","2,749",61,61,61,126,126,126,605,605,605,"3,994","3,994","3,994","22,883","22,884","22,884"
B6,1,"3,106","3,106","3,106",250,250,250,77,77,77,"1,467","1,467","1,467","3,336","3,336","3,336",203,203,203,49,49,49,995,995,995,"2,029","2,029","2,029","22,074","22,074","22,074"
B7,1,"3,998","3,998","3,998",307,307,307,447,447,447,799,799,799,"2,999","2,999","2,999",121,121,121,99,99,99,"1,554","1,554","1,554","9,106","9,106","9,106","21,593","21,593","21,593"
B8,1,"4,026","4,026","4,026",411,411,411,8,8,8,"1,570","1,570","1,570","1,771","1,771","1,771",,-44,-44,112,112,112,"1,105","1,105","1,105","5,390","5,390","5,390","21,021","21,021","21,021"
B9,1,"3,905","3,905","3,905",264,264,264,5,5,5,"1,770","1,770","1,770","2,809","2,809","2,809",203,203,203,165,165,165,777,777,777,"4,452","4,452","4,452","20,451","20,451","20,451"
B10,1,"2,418","2,418","2,418",28,28,28,,-5,-5,"1,180","1,180","1,180","1,848","1,848","1,848",128,128,128,18,18,18,709,709,709,"3,926","3,926","3,926","19,985","19,985","19,985"
B11,1,"5,791","5,791","5,791",645,645,645,189,189,189,"1,755","1,755","1,755","1,332","1,332","1,332",176,176,176,239,239,239,"1,250","1,250","1,250","4,563","4,563","4,563","16,896","16,896","16,896"
B12,1,"3,017","3,017","3,017",53,53,53,279,279,279,"2,602","2,602","2,602",801,801,801,,-21,-21,37,37,37,"1,185","1,185","1,185","5,976","5,976","5,976","15,872","15,872","15,872"
C1,1,"9,454","9,454","9,454",380,380,380,135,135,135,318,318,318,"1,836","1,836","1,836",213,213,213,137,137,137,"1,213","1,213","1,213","2,154","2,154","2,154","28,305","28,305","28,305"
C2,1,"3,969","3,969","3,969",10,10,10,199,199,199,"1,343","1,343","1,343","3,546","3,546","3,546",,-10,-10,25,25,25,"1,072","1,072","1,072","3,542","3,542","3,542","29,292","29,292","29,292"
C3,1,"8,738","8,738","8,738",455,455,455,161,161,161,"2,514","2,514","2,514","2,040","2,040","2,040",118,118,118,352,352,352,"1,548","1,548","1,548","3,623","3,623","3,623","30,328","30,328","30,328"
C4,1,"7,029","7,029","7,029",302,302,302,3,3,3,260,260,260,"1,636","1,636","1,636",5,5,5,80,80,80,856,856,856,"2,790","2,790","2,790","31,019","31,019","31,019"
C5,1,"1,376","1,376","1,376",81,81,81,30,30,30,436,436,436,"3,495","3,495","3,495",62,62,62,35,35,35,716,716,716,"2,410","2,410","2,410","32,975","32,975","32,975"
C6,1,"2,069","2,069","2,069",513,513,513,188,188,188,"1,943","1,943","1,943","3,998","3,998","3,998",154,154,154,322,322,322,"1,420","1,420","1,420","4,063","4,063","4,063","33,555","33,555","33,555"
C7,1,"3,846","3,846","3,846",50,50,50,190,190,190,"1,121","1,121","1,121","1,226","1,226","1,226",,-28,-28,28,28,28,761,761,761,"3,343","3,343","3,343","34,309","34,309","34,309"
C8,1,"2,031","2,031","2,031",49,49,49,60,60,60,750,750,750,"1,434","1,434","1,434",108,108,108,18,18,18,768,768,768,"2,227","2,227","2,227","35,960","35,960","35,960"
C9,1,"1,860","1,860","1,860",454,454,454,149,149,149,"1,119","1,119","1,119","2,703","2,703","2,703",18,18,18,209,209,209,"1,032","1,032","1,032","5,198","5,198","5,198","37,441","37,441","37,441"
C10,1,"9,015","9,015","9,015",141,141,141,,-18,-18,377,377,377,"1,649","1,649","1,649",10,10,10,18,18,18,897,897,897,"3,027","3,027","3,027","37,789","37,789","37,789"
C11,1,"5,607","5,607","5,607",39,39,39,104,104,104,"1,065","1,065","1,065","2,002","2,002","2,002",23,23,23,20,20,20,810,810,810,"4,054","4,054","4,054","40,912","40,912","40,912"
C12,1,"2,975","2,975","2,975",208,208,208,107,107,107,626,626,626,"1,991","1,991","1,991",185,185,185,89,89,89,892,892,892,"2,429","2,429","2,429","41,956","41,956","41,956"
D1,1,"2,602","2,602","2,602",614,614,614,21,21,21,"1,959","1,959","1,959",781,781,781,,-102,-102,351,351,351,"1,232","1,232","1,232","5,988","5,988","5,988","57,910","57,910","57,910"
D2,1,"9,176","9,176","9,176",240,240,240,206,206,206,"1,184","1,184","1,184","2,288","2,288","2,288",,-70,-70,17,17,17,"1,654","1,654","1,654","3,951","3,951","3,951","57,352","57,352","57,352"
D3,1,"1,944","1,944","1,944",600,600,600,150,150,150,"3,752","3,752","3,752","2,018","2,018","2,018",222,222,222,415,415,415,"1,883","1,883","1,883","9,489","9,489","9,489","56,696","56,696","56,696"
D4,1,"4,208","4,208","4,208",429,429,429,67,67,67,"1,939","1,939","1,939","2,676","2,676","2,676",106,106,106,137,137,137,703,703,703,"4,929","4,929","4,929","55,958","55,959","55,959"
D5,1,"4,653","4,653","4,653",302,302,302,146,146,146,"1,340","1,340","1,340","2,432","2,432","2,432",76,76,76,108,108,108,"1,057","1,057","1,057","9,049","9,049","9,049","55,297","55,297","55,297"
D6,1,"6,819","6,819","6,819",87,87,87,,-68,-68,"1,448","1,448","1,448","3,649","3,649","3,649",70,70,70,19,19,19,"1,239","1,239","1,239","4,812","4,812","4,812","53,897","53,897","53,897"
D7,1,"1,895","1,895","1,895",779,779,779,237,237,237,272,272,272,"1,467","1,467","1,467",236,236,236,279,279,279,"1,691","1,691","1,691","8,435","8,435","8,435","52,647","52,647","52,647"
D8,1,"1,796","1,796","1,796",94,94,94,144,144,144,"1,708","1,708","1,708","4,802","4,802","4,802",61,61,61,161,161,161,849,849,849,"3,208","3,208","3,208","51,394","51,394","51,394"
D9,1,"3,418","3,418","3,418",20,20,20,27,27,27,"1,127","1,127","1,127","3,755","3,755","3,755",338,338,338,98,98,98,985,985,985,"2,572","2,572","2,572","50,616","50,616","50,616"
D10,1,"6,441","6,441","6,441",,-27,-27,117,117,117,"1,198","1,198","1,198","1,954","1,954","1,954",209,209,209,,-27,-27,996,996,996,"8,312","8,312","8,312","48,181","48,182","48,182"
D11,1,"2,347","2,347","2,347",71,71,71,180,180,180,"2,731","2,731","2,731",865,865,865,152,152,152,114,114,114,"1,079","1,079","1,079","4,211","4,211","4,211","47,374","47,374","47,374"
D12,1,"8,376","8,376","8,376",598,598,598,77,77,77,"1,193","1,193","1,193","1,731","1,731","1,731",96,96,96,291,291,291,"1,212","1,212","1,212","2,205","2,205","2,205","46,564","46,564","46,564"
E1,1,"4,723","4,723","4,723",328,328,328,,-112,-112,"1,829","1,829","1,829",910,910,910,158,158,158,123,123,123,"1,233","1,233","1,233","4,397","4,397","4,397","58,555","58,556","58,556"
E2,1,"1,489","1,489","1,489",16,16,16,,-7,-7,"1,907","1,907","1,907","3,720","3,720","3,720",29,29,29,23,23,23,803,803,803,"4,330","4,330","4,330","59,429","59,429","59,429"
E3,1,"1,589","1,589","1,589",15,15,15,76,76,76,"1,609","1,609","1,609","1,196","1,196","1,196",308,308,308,48,48,48,833,833,833,"5,119","5,119","5,119","61,206","61,207","61,207"
E4,1,"3,032","3,032","3,032",25,25,25,139,139,139,563,563,563,"2,783","2,783","2,783",8,8,8,36,36,36,911,911,911,"1,163","1,163","1,163","63,420","63,421","63,421"
E5,1,"6,261","6,261","6,261",22,22,22,362,362,362,791,791,791,"1,453","1,453","1,453",134,134,134,6,6,6,864,864,864,"4,635","4,635","4,635","63,894","63,894","63,894"
E6,1,"2,784","2,784","2,784",131,131,131,,-74,-74,818,818,818,"3,979","3,979","3,979",125,125,125,69,69,69,"1,005","1,005","1,005","1,753","1,753","1,753","64,903","64,903","64,903"
E7,1,"7,792","7,792","7,792",120,120,120,161,161,161,262,262,262,"2,885","2,885","2,885",186,186,186,149,149,149,832,832,832,"2,056","2,056","2,056","65,397","65,397","65,397"
E8,1,"2,769","2,769","2,769",,-4,-4,85,85,85,528,528,528,"3,994","3,994","3,994",249,249,249,18,18,18,"1,190","1,190","1,190","2,723","2,723","2,723","69,231","69,231","69,231"
E9,1,"3,496","3,496","3,496",,-68,-68,232,232,232,86,86,86,"1,565","1,565","1,565",203,203,203,15,15,15,662,662,662,"1,413","1,413","1,413","70,965","70,965","70,965"
E10,1,"2,755","2,755","2,755",,-102,-102,144,144,144,"1,732","1,732","1,732","1,531","1,531","1,531",309,309,309,11,11,11,"1,136","1,136","1,136","8,873","8,873","8,873","72,224","72,224","72,224"
E11,1,"4,826","4,826","4,826",288,288,288,293,293,293,"1,343","1,343","1,343","3,042","3,042","3,042",224,224,224,119,119,119,"1,048","1,048","1,048","1,845","1,845","1,845","72,670","72,670","72,670"
E12,1,"3,405","3,405","3,405",100,100,100,324,324,324,"1,332","1,332","1,332","3,213","3,213","3,213",106,106,106,124,124,124,948,948,948,"8,420","8,420","8,420","75,069","75,069","75,069"
F1,1,"2,839","2,839","2,839",,-38,-38,128,128,128,"1,339","1,339","1,339","1,264","1,264","1,264",117,117,117,59,59,59,609,609,609,"4,224","4,224","4,224","91,885","91,885","91,885"
F2,1,"2,432","2,432","2,432",47,47,47,132,132,132,974,974,974,"3,034","3,034","3,034",158,158,158,24,24,24,595,595,595,"3,249","3,249","3,249","91,252","91,252","91,252"
F3,1,"2,205","2,205","2,205",105,105,105,52,52,52,"2,112","2,112","2,112","2,188","2,188","2,188",183,183,183,192,192,192,651,651,651,"3,727","3,727","3,727","89,771","89,771","89,771"
F4,1,"2,675","2,675","2,675",430,430,430,,-5,-5,"2,178","2,178","2,178","1,052","1,052","1,052",177,177,177,361,361,361,804,804,804,"4,357","4,357","4,357","88,397","88,397","88,397"
F5,1,"4,290","4,290","4,290",348,348,348,248,248,248,"1,928","1,928","1,928","3,134","3,134","3,134",,-76,-76,268,268,268,"1,047","1,047","1,047","6,741","6,741","6,741","86,329","86,329","86,329"
F6,1,"2,564","2,564","2,564",817,817,817,444,444,444,"2,290","2,290","2,290","1,249","1,249","1,249",140,140,140,436,436,436,"1,131","1,131","1,131","5,469","5,469","5,469","83,791","83,791","83,791"
F7,1,"9,225","9,225","9,225",147,147,147,,-65,-65,511,511,511,"2,223","2,223","2,223",242,242,242,,-1,-1,837,837,837,"2,204","2,204","2,204","82,921","82,922","82,922"
F8,1,"5,235","5,235","5,235",36,36,36,,-77,-77,"1,014","1,014","1,014","3,414","3,414","3,414",121,121,121,72,72,72,872,872,872,"4,397","4,397","4,397","80,940","80,940","80,940"
