Experiment Name,210831 TA M2 PA BM Spleen
Specimen Name,M2 LN
Tube Name,INX_GC22_001
Record Date,"Aug 31, 2021 2:13:07 PM"
Date Analyzed,09/03/2021 16:35

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"3,611","3,611","3,611",,-6,-6,279,279,279,"1,366","1,366","1,366","2,878","2,878","2,878",197,197,197,122,122,122,885,885,885,"4,114","4,114","4,114","3,671","3,671","3,671"
A2,1,"3,433","3,433","3,433",226,226,226,84,84,84,"1,952","1,952","1,952","2,738","2,738","2,738",124,124,124,236,236,236,"1,426","1,426","1,426","5,807","5,807","5,807","3,917","3,917","3,917"
A3,1,"1,813","1,813","1,813",332,332,332,,-90,-90,"1,265","1,265","1,265","3,701","3,701","3,701",28,28,28,256,256,256,"1,183","1,183","1,183","4,628","4,628","4,628","4,323","4,323","4,323"
A4,1,"1,434","1,434","1,434",25,25,25,235,235,235,507,507,507,"3,677","3,677","3,677",138,138,138,25,25,25,987,987,987,"3,701","3,701","3,701","5,169","5,169","5,169"
A5,1,"1,973","1,973","1,973",241,241,241,372,372,372,"2,064","2,064","2,064","4,586","4,586","4,586",125,125,125,127,127,127,"2,574","2,574","2,574","5,233","5,233","5,233","5,538","5,539","5,539"
A6,1,"1,632","1,632","1,632",74,74,74,204,204,204,"3,497","3,497","3,497","4,970","4,970","4,970",381,381,381,416,416,416,"1,617","1,617","1,617","3,915","3,915","3,915","5,853","5,853","5,853"
A7,1,"2,114","2,114","2,114",299,299,299,346,346,346,"2,762","2,762","2,762","2,173","2,173","2,173",157,157,157,369,369,369,"2,141","2,141","2,141","4,179","4,179","4,179","6,330","6,330","6,330"
A8,1,"1,796","1,796","1,796",123,123,123,201,201,201,26,26,26,"3,582","3,582","3,582",21,21,21,144,144,144,"1,852","1,852","1,852","5,809","5,809","5,809","6,549","6,549","6,549"
A9,1,"1,128","1,128","1,128",687,687,687,128,128,128,"5,077","5,077","5,077","3,569","3,569","3,569",,-48,-48,580,580,580,"2,475","2,475","2,475","10,739","10,739","10,739","8,115","8,115","8,115"
A10,1,"1,841","1,841","1,841",43,43,43,31,31,31,731,731,731,"2,946","2,946","2,946",169,169,169,31,31,31,728,728,728,"2,886","2,886","2,886","8,413","8,413","8,413"
A11,1,"1,257","1,257","1,257",12,12,12,142,142,142,"1,756","1,756","1,756","4,365","4,365","4,365",39,39,39,177,177,177,"1,294","1,294","1,294","2,971","2,971","2,971","9,005","9,006","9,006"
A12,1,"7,689","7,689","7,689",512,512,512,153,153,153,"2,310","2,310","2,310","4,231","4,231","4,231",,-11,-11,572,572,572,"2,575","2,575","2,575","6,782","6,782","6,782","10,012","10,012","10,012"
B1,1,"1,445","1,445","1,445",242,242,242,360,360,360,"1,651","1,651","1,651","3,818","3,818","3,818",129,129,129,214,214,214,"1,474","1,474","1,474","4,037","4,037","4,037","14,775","14,775","14,775"
B2,1,"2,036","2,036","2,036",23,23,23,55,55,55,755,755,755,"3,587","3,587","3,587",,-28,-28,59,59,59,818,818,818,"2,626","2,626","2,626","14,492","14,492","14,492"
B3,1,"1,300","1,300","1,300",151,151,151,51,51,51,"1,155","1,155","1,155","2,415","2,415","2,415",90,90,90,18,18,18,980,980,980,"3,962","3,962","3,962","14,232","14,232","14,232"
B4,1,"3,596","3,596","3,596",259,259,259,167,167,167,"1,808","1,808","1,808","3,671","3,671","3,671",210,210,210,166,166,166,"1,062","1,062","1,062","3,995","3,995","3,995","13,942","13,942","13,942"
B5,1,"4,106","4,106","4,106",204,204,204,176,176,176,206,206,206,"2,396","2,396","2,396",47,47,47,352,352,352,844,844,844,"4,982","4,982","4,982","13,674","13,674","13,674"
B6,1,"2,255","2,255","2,255",20,20,20,81,81,81,"2,018","2,018","2,018","4,659","4,659","4,659",65,65,65,,-11,-11,"1,086","1,086","1,086","3,275","3,275","3,275","13,220","13,220","13,220"
B7,1,"1,280","1,280","1,280",100,100,100,198,198,198,276,276,276,"4,087","4,087","4,087",,-55,-55,22,22,22,"1,093","1,093","1,093","2,354","2,354","2,354","12,573","12,573","12,573"
B8,1,"2,619","2,619","2,619",93,93,93,111,111,111,49,49,49,"2,458","2,458","2,458",,-27,-27,138,138,138,"1,046","1,046","1,046","5,071","5,071","5,071","12,243","12,243","12,243"
B9,1,"1,469","1,469","1,469",320,320,320,369,369,369,"2,848","2,848","2,848","4,116","4,116","4,116",127,127,127,286,286,286,"2,203","2,203","2,203","4,249","4,249","4,249","11,968","11,968","11,968"
B10,1,"2,351","2,351","2,351",,-88,-88,164,164,164,"1,686","1,686","1,686","3,148","3,148","3,148",300,300,300,206,206,206,738,738,738,"2,174","2,174","2,174","11,623","11,623","11,623"
B11,1,"1,291","1,291","1,291",261,261,261,72,72,72,"2,683","2,683","2,683","3,518","3,518","3,518",67,67,67,199,199,199,"1,613","1,613","1,613","3,902","3,902","3,902","10,909","10,909","10,909"
B12,1,"2,335","2,335","2,335",,-23,-23,41,41,41,"1,393","1,393","1,393","2,750","2,750","2,750",35,35,35,158,158,158,732,732,732,"2,449","2,449","2,449","10,365","10,365","10,365"
C1,1,"4,987","4,987","4,987",187,187,187,269,269,269,"1,303","1,303","1,303","3,492","3,492","3,492",4,4,4,164,164,164,947,947,947,"2,029","2,029","2,029","15,168","15,168","15,168"
C2,1,"3,047","3,047","3,047",433,433,433,,-20,-20,941,941,941,"2,519","2,519","2,519",,-116,-116,"36,798","36,798","36,798","1,585","1,585","1,585","4,267","4,267","4,267","16,315","16,315","16,315"
C3,1,"1,361","1,361","1,361",42,42,42,37,37,37,"1,019","1,019","1,019","3,276","3,276","3,276",24,24,24,169,169,169,743,743,743,"2,452","2,452","2,452","16,875","16,875","16,875"
C4,1,"3,557","3,557","3,557",168,168,168,78,78,78,"1,997","1,997","1,997","3,172","3,172","3,172",129,129,129,220,220,220,"1,172","1,172","1,172","3,024","3,024","3,024","17,594","17,594","17,594"
C5,1,"1,383","1,383","1,383",918,918,918,139,139,139,763,763,763,"4,369","4,369","4,369",131,131,131,353,353,353,"1,397","1,397","1,397","4,007","4,007","4,007","17,848","17,849","17,849"
C6,1,"1,642","1,642","1,642",,-48,-48,74,74,74,596,596,596,"3,207","3,207","3,207",158,158,158,40,40,40,800,800,800,"2,320","2,320","2,320","18,132","18,132","18,132"
C7,1,"3,547","3,547","3,547",32,32,32,271,271,271,809,809,809,"2,896","2,896","2,896",236,236,236,114,114,114,"1,188","1,188","1,188","2,517","2,517","2,517","18,569","18,569","18,569"
C8,1,"1,982","1,982","1,982",472,472,472,128,128,128,"6,015","6,015","6,015","5,819","5,819","5,819",407,407,407,531,531,531,"1,461","1,461","1,461","4,863","4,863","4,863","19,214","19,214","19,214"
C9,1,"1,344","1,344","1,344",16,16,16,211,211,211,"2,643","2,643","2,643","2,964","2,964","2,964",298,298,298,161,161,161,"1,459","1,459","1,459","4,924","4,924","4,924","19,520","19,520","19,520"
C10,1,"1,439","1,439","1,439",706,706,706,237,237,237,783,783,783,"4,685","4,685","4,685",75,75,75,139,139,139,974,974,974,"3,438","3,438","3,438","19,816","19,816","19,816"
C11,1,"1,958","1,958","1,958",582,582,582,,-20,-20,"1,485","1,485","1,485","3,052","3,052","3,052",110,110,110,188,188,188,887,887,887,"2,770","2,770","2,770","20,159","20,159","20,159"
C12,1,"4,497","4,497","4,497",352,352,352,309,309,309,"2,284","2,284","2,284","3,261","3,261","3,261",60,60,60,229,229,229,"1,505","1,505","1,505","5,327","5,327","5,327","21,427","21,427","21,427"
D1,1,"2,364","2,364","2,364",181,181,181,322,322,322,"1,795","1,795","1,795","3,723","3,723","3,723",280,280,280,268,268,268,"1,037","1,037","1,037","2,877","2,877","2,877","27,417","27,417","27,417"
D2,1,"1,579","1,579","1,579",356,356,356,115,115,115,813,813,813,"3,442","3,442","3,442",,-22,-22,68,68,68,"1,237","1,237","1,237","3,286","3,286","3,286","27,092","27,092","27,092"
D3,1,"1,521","1,521","1,521",135,135,135,124,124,124,"1,412","1,412","1,412","2,963","2,963","2,963",,-71,-71,343,343,343,999,999,999,"2,132","2,132","2,132","26,494","26,494","26,494"
D4,1,"1,312","1,312","1,312","1,059","1,059","1,059",,-83,-83,533,533,533,"3,934","3,934","3,934",14,14,14,160,160,160,"1,062","1,062","1,062","4,362","4,362","4,362","26,279","26,279","26,279"
D5,1,"3,015","3,015","3,015",55,55,55,90,90,90,"1,021","1,021","1,021","2,293","2,293","2,293",,-47,-47,156,156,156,811,811,811,"1,820","1,820","1,820","25,547","25,547","25,547"
D6,1,"1,416","1,416","1,416",324,324,324,139,139,139,894,894,894,"3,735","3,735","3,735",218,218,218,191,191,191,"1,033","1,033","1,033","3,107","3,107","3,107","24,966","24,966","24,966"
D7,1,"2,134","2,134","2,134",283,283,283,77,77,77,"1,568","1,568","1,568","3,689","3,689","3,689",25,25,25,177,177,177,"1,248","1,248","1,248","2,756","2,756","2,756","24,474","24,474","24,474"
D8,1,"1,528","1,528","1,528",11,11,11,1,1,1,644,644,644,"1,405","1,405","1,405",65,65,65,36,36,36,766,766,766,"1,278","1,278","1,278","24,221","24,221","24,221"
D9,1,"1,574","1,574","1,574",309,309,309,220,220,220,"4,582","4,582","4,582","5,309","5,309","5,309",247,247,247,533,533,533,"1,292","1,292","1,292","6,978","6,978","6,978","23,901","23,901","23,901"
D10,1,"1,830","1,830","1,830",57,57,57,301,301,301,454,454,454,"2,992","2,992","2,992",57,57,57,69,69,69,964,964,964,"3,670","3,670","3,670","22,800","22,800","22,800"
D11,1,"1,885","1,885","1,885",150,150,150,167,167,167,"1,787","1,787","1,787","3,378","3,378","3,378",39,39,39,201,201,201,982,982,982,"3,395","3,395","3,395","22,517","22,518","22,518"
D12,1,"1,402","1,402","1,402",86,86,86,168,168,168,"1,594","1,594","1,594","5,502","5,502","5,502",131,131,131,170,170,170,"1,019","1,019","1,019","3,090","3,090","3,090","21,666","21,667","21,667"
E1,1,"1,947","1,947","1,947",32,32,32,140,140,140,"1,253","1,253","1,253","3,736","3,736","3,736",64,64,64,58,58,58,564,564,564,"1,733","1,733","1,733","27,939","27,939","27,939"
E2,1,"3,286","3,286","3,286",832,832,832,91,91,91,"1,901","1,901","1,901","4,004","4,004","4,004",186,186,186,233,233,233,"1,170","1,170","1,170","5,988","5,988","5,988","28,196","28,196","28,196"
