Experiment Name,210901 TA PA M3 M4
Specimen Name,M3-4LN
Tube Name,INX_GC47_001
Record Date,"Sep 1, 2021 2:16:43 PM"
Date Analyzed,09/07/2021 17:14

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,014","1,014","1,014","1,934","1,934","1,934","1,548","1,548","1,548",187,187,187,632,632,632,"7,710","7,710","7,710","6,370","6,370","6,370",270,270,270,"2,958","2,958","2,958"
A2,1,829,829,829,"1,551","1,551","1,551","2,497","2,497","2,497",76,76,76,34,34,34,"3,659","3,659","3,659","2,315","2,315","2,315",80,80,80,"3,370","3,371","3,371"
A3,1,"1,271","1,271","1,271",328,328,328,"2,646","2,646","2,646",100,100,100,164,164,164,"3,438","3,438","3,438","4,156","4,156","4,156",93,93,93,"3,775","3,776","3,776"
A4,1,625,625,625,"1,439","1,439","1,439","4,345","4,345","4,345",,-6,-6,680,680,680,"1,897","1,897","1,897","4,392","4,392","4,392",327,327,327,"4,243","4,243","4,243"
A5,1,883,883,883,"1,277","1,277","1,277","1,402","1,402","1,402",31,31,31,153,153,153,"2,744","2,744","2,744","2,858","2,858","2,858",136,136,136,"5,040","5,040","5,040"
A6,1,889,889,889,814,814,814,"2,790","2,790","2,790",149,149,149,354,354,354,"2,826","2,826","2,826","1,592","1,592","1,592",130,130,130,"5,969","5,970","5,970"
A7,1,789,789,789,711,711,711,"1,893","1,893","1,893",111,111,111,13,13,13,"1,997","1,997","1,997","1,881","1,881","1,881",163,163,163,"6,652","6,652","6,652"
A8,1,805,805,805,"1,050","1,050","1,050","1,993","1,993","1,993",,-50,-50,30,30,30,"2,003","2,003","2,003","1,545","1,545","1,545",126,126,126,"7,369","7,369","7,369"
A9,1,"1,126","1,126","1,126","1,102","1,102","1,102","1,812","1,812","1,812",,-77,-77,,-31,-31,"2,569","2,569","2,569","1,372","1,372","1,372",81,81,81,"8,021","8,022","8,022"
A10,1,"1,082","1,082","1,082","1,160","1,160","1,160","7,426","7,426","7,426",61,61,61,85,85,85,"6,712","6,712","6,712","3,117","3,117","3,117",121,121,121,"10,065","10,065","10,065"

