Experiment Name,210901 TA M3/4 PA BM Spleen
Specimen Name,M3-4 LN
Tube Name,INX_GC69_001
Record Date,"Sep 1, 2021 7:20:43 PM"
Date Analyzed,09/03/2021 18:04

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,317","1,317","1,317",437,437,437,75,75,75,757,757,757,"2,222","2,222","2,222",76,76,76,142,142,142,633,633,633,"1,698","1,698","1,698","1,610","1,611","1,611"
A2,1,"2,832","2,832","2,832",56,56,56,141,141,141,552,552,552,"1,820","1,820","1,820",60,60,60,77,77,77,716,716,716,"1,936","1,936","1,936","2,021","2,021","2,021"
A3,1,"1,683","1,683","1,683",142,142,142,117,117,117,527,527,527,"2,597","2,597","2,597",271,271,271,80,80,80,"1,147","1,147","1,147","2,112","2,112","2,112","3,103","3,103","3,103"
A4,1,"4,784","4,784","4,784",18,18,18,134,134,134,"1,004","1,004","1,004","2,614","2,614","2,614",123,123,123,101,101,101,"1,037","1,037","1,037","3,965","3,965","3,965","3,615","3,615","3,615"
A5,1,"2,170","2,170","2,170",308,308,308,286,286,286,"1,023","1,023","1,023","2,458","2,458","2,458",61,61,61,136,136,136,652,652,652,"5,148","5,148","5,148","3,960","3,960","3,960"
A6,1,"1,237","1,237","1,237",,-36,-36,59,59,59,590,590,590,"3,362","3,362","3,362",267,267,267,84,84,84,685,685,685,"1,056","1,056","1,056","6,641","6,641","6,641"
A7,1,"5,368","5,368","5,368",,-4,-4,27,27,27,414,414,414,"1,579","1,579","1,579",,-1,-1,,-12,-12,"1,325","1,325","1,325","2,880","2,880","2,880","7,009","7,009","7,009"
A8,1,"4,745","4,745","4,745",,-54,-54,30,30,30,"1,121","1,121","1,121","2,022","2,022","2,022",183,183,183,119,119,119,860,860,860,"1,698","1,698","1,698","9,301","9,301","9,301"
A9,1,"1,384","1,384","1,384",99,99,99,,-19,-19,469,469,469,"1,707","1,707","1,707",217,217,217,76,76,76,"1,232","1,232","1,232","1,381","1,381","1,381","10,687","10,687","10,687"
A10,1,"1,968","1,968","1,968",99,99,99,138,138,138,76,76,76,"2,592","2,592","2,592",71,71,71,22,22,22,689,689,689,"3,280","3,280","3,280","11,260","11,261","11,261"
