Experiment Name,210902 M5M6 Sort
Specimen Name,M5M6
Tube Name,INX_GC74_001
Record Date,"Sep 2, 2021 1:21:08 PM"
Date Analyzed,09/07/2021 17:36

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events CD138 BV650-A Geo Mean,All Events CD138 BV650-A Mean,All Events CD138 BV650-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,952","1,952","1,952","1,590","1,590","1,590","5,009","5,009","5,009",154,154,154,,-114,-114,762,762,762,"4,818","4,818","4,818","4,317","4,317","4,317",390,390,390,"6,655","6,655","6,655"
A2,1,"1,349","1,349","1,349",609,609,609,"4,753","4,753","4,753",214,214,214,94,94,94,218,218,218,"2,323","2,323","2,323","5,188","5,188","5,188",53,53,53,"8,419","8,419","8,419"
A3,1,"1,491","1,491","1,491","2,457","2,457","2,457","3,166","3,166","3,166",184,184,184,96,96,96,292,292,292,"3,850","3,850","3,850","4,763","4,763","4,763",215,215,215,"9,316","9,316","9,316"
A4,1,"1,330","1,330","1,330","3,961","3,961","3,961","3,637","3,637","3,637",164,164,164,21,21,21,548,548,548,"3,676","3,676","3,676","4,583","4,583","4,583",170,170,170,"10,127","10,127","10,127"
A5,1,"1,101","1,101","1,101","6,705","6,705","6,705","2,814","2,814","2,814",,-384,-384,,-102,-102,184,184,184,"1,584","1,584","1,584","6,124","6,124","6,124",235,235,235,"10,467","10,467","10,467"
A6,1,"2,146","2,146","2,146",210,210,210,"5,040","5,040","5,040",279,279,279,159,159,159,478,478,478,"3,296","3,296","3,296","6,953","6,953","6,953",298,298,298,"12,129","12,130","12,130"
A7,1,"1,633","1,633","1,633",408,408,408,"3,310","3,310","3,310",,-66,-66,,-67,-67,180,180,180,"2,253","2,253","2,253","3,690","3,690","3,690",79,79,79,"12,846","12,846","12,846"
A8,1,"1,553","1,553","1,553","1,539","1,539","1,539","4,222","4,222","4,222",93,93,93,81,81,81,245,245,245,"6,914","6,914","6,914","3,029","3,029","3,029",135,135,135,"13,906","13,906","13,906"
A9,1,"1,679","1,679","1,679","6,120","6,120","6,120","3,410","3,410","3,410",,-237,-237,173,173,173,172,172,172,"6,404","6,404","6,404","4,214","4,214","4,214",345,345,345,"14,198","14,198","14,198"
A10,1,"1,392","1,392","1,392",294,294,294,"3,303","3,303","3,303",90,90,90,38,38,38,30,30,30,"4,816","4,816","4,816","3,743","3,743","3,743",69,69,69,"14,886","14,886","14,886"
