Experiment Name,210902 M5M6 Sort
Specimen Name,M5M6
Tube Name,INX_GC74_001
Record Date,"Sep 2, 2021 1:21:08 PM"
Date Analyzed,09/07/2021 17:36

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events CD138 BV650-A Geo Mean,All Events CD138 BV650-A Mean,All Events CD138 BV650-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A11,1,"1,590","1,590","1,590","3,616","3,616","3,616","3,635","3,635","3,635",,-85,-85,78,78,78,277,277,277,"2,671","2,671","2,671","6,968","6,968","6,968",213,213,213,"15,573","15,573","15,573"
A12,1,"1,097","1,097","1,097","2,278","2,278","2,278","5,306","5,306","5,306",36,36,36,103,103,103,40,40,40,"2,745","2,745","2,745","3,017","3,017","3,017",135,135,135,"15,853","15,853","15,853"
B1,1,"1,429","1,429","1,429","1,403","1,403","1,403","3,042","3,042","3,042",271,271,271,,-107,-107,71,71,71,"3,743","3,743","3,743","4,583","4,583","4,583",103,103,103,"25,617","25,617","25,617"
B2,1,"1,044","1,044","1,044","1,319","1,319","1,319","2,307","2,307","2,307",,-79,-79,,-31,-31,166,166,166,"1,773","1,773","1,773","4,862","4,862","4,862",142,142,142,"25,237","25,237","25,237"
B3,1,"2,078","2,078","2,078","2,075","2,075","2,075","4,277","4,277","4,277",,-109,-109,,-53,-53,218,218,218,"4,744","4,744","4,744","3,970","3,970","3,970",145,145,145,"24,601","24,601","24,601"
B4,1,"1,921","1,921","1,921","2,080","2,080","2,080","4,867","4,867","4,867",97,97,97,,-22,-22,192,192,192,"1,310","1,310","1,310","5,621","5,621","5,621",143,143,143,"20,558","20,558","20,558"
B5,1,"1,386","1,386","1,386","1,792","1,792","1,792","3,230","3,230","3,230",128,128,128,123,123,123,672,672,672,"5,362","5,362","5,362","4,463","4,463","4,463",273,273,273,"19,943","19,943","19,943"
B6,1,"4,208","4,208","4,208","5,241","5,241","5,241","10,343","10,343","10,343",97,97,97,55,55,55,552,552,552,"6,351","6,351","6,351","7,646","7,646","7,646","1,154","1,154","1,154","19,533","19,533","19,533"
B7,1,"2,107","2,107","2,107","2,247","2,247","2,247","3,964","3,964","3,964",71,71,71,,-105,-105,536,536,536,"3,855","3,855","3,855","4,675","4,675","4,675",208,208,208,"19,157","19,157","19,157"
B8,1,"1,169","1,169","1,169",357,357,357,"2,531","2,531","2,531",333,333,333,9,9,9,13,13,13,"2,847","2,847","2,847","2,628","2,628","2,628",56,56,56,"18,749","18,749","18,749"
B9,1,"3,186","3,186","3,186","5,032","5,032","5,032","7,463","7,463","7,463",95,95,95,311,311,311,408,408,408,"5,695","5,695","5,695","6,211","6,211","6,211",357,357,357,"18,191","18,191","18,191"
B10,1,"2,922","2,922","2,922","1,881","1,881","1,881","5,281","5,281","5,281",,-151,-151,,-80,-80,805,805,805,"5,671","5,671","5,671","5,349","5,349","5,349",343,343,343,"17,771","17,771","17,771"
B11,1,"1,671","1,671","1,671","3,513","3,513","3,513","4,200","4,200","4,200",228,228,228,51,51,51,78,78,78,"2,140","2,140","2,140","3,834","3,834","3,834",229,229,229,"17,166","17,166","17,166"
B12,1,"1,201","1,201","1,201","1,586","1,586","1,586","3,269","3,269","3,269",,-135,-135,,-149,-149,206,206,206,"2,995","2,995","2,995","2,993","2,993","2,993",76,76,76,"16,751","16,751","16,751"
C1,1,759,759,759,"1,544","1,544","1,544","2,827","2,827","2,827",,-21,-21,,-12,-12,,-3,-3,"4,730","4,730","4,730","5,385","5,385","5,385",67,67,67,"26,413","26,413","26,413"
C2,1,945,945,945,536,536,536,"3,169","3,169","3,169",,-77,-77,,-83,-83,329,329,329,"2,356","2,356","2,356","5,402","5,402","5,402",66,66,66,"26,902","26,902","26,902"
C3,1,"3,856","3,856","3,856","4,101","4,101","4,101","6,649","6,649","6,649",,-144,-144,17,17,17,"1,026","1,026","1,026","7,949","7,949","7,949","6,573","6,573","6,573",757,757,757,"28,559","28,559","28,559"
C4,1,965,965,965,"1,813","1,813","1,813","3,216","3,216","3,216",,-2,-2,46,46,46,256,256,256,"4,857","4,857","4,857","4,544","4,544","4,544",98,98,98,"30,580","30,580","30,580"
C5,1,"1,842","1,842","1,842",856,856,856,"5,624","5,624","5,624",,-121,-121,,-160,-160,179,179,179,"3,936","3,936","3,936","9,492","9,492","9,492",355,355,355,"31,311","31,311","31,311"
C6,1,630,630,630,"2,057","2,057","2,057","3,569","3,569","3,569",,-20,-20,53,53,53,38,38,38,"3,271","3,271","3,271","3,723","3,723","3,723",136,136,136,"31,569","31,569","31,569"
C7,1,"1,539","1,539","1,539",426,426,426,"2,720","2,720","2,720",,-20,-20,,-25,-25,52,52,52,"2,911","2,911","2,911","3,499","3,499","3,499",42,42,42,"31,859","31,860","31,860"
C8,1,"1,212","1,212","1,212","1,110","1,110","1,110","4,009","4,009","4,009",,-4,-4,28,28,28,244,244,244,"5,637","5,637","5,637","4,929","4,929","4,929",283,283,283,"32,980","32,980","32,980"
C9,1,"2,497","2,497","2,497",793,793,793,"4,536","4,536","4,536",77,77,77,123,123,123,"1,185","1,185","1,185","4,729","4,729","4,729","7,223","7,223","7,223",115,115,115,"33,658","33,658","33,658"
C10,1,"2,249","2,249","2,249","2,149","2,149","2,149","8,095","8,095","8,095",,-160,-160,,-5,-5,302,302,302,"5,515","5,515","5,515","4,985","4,985","4,985",192,192,192,"34,010","34,010","34,010"
C11,1,"1,347","1,347","1,347","2,224","2,224","2,224","3,175","3,175","3,175",98,98,98,114,114,114,118,118,118,"3,353","3,353","3,353","3,580","3,580","3,580",142,142,142,"34,439","34,439","34,439"
C12,1,"1,692","1,692","1,692","1,415","1,415","1,415","4,263","4,263","4,263",49,49,49,18,18,18,365,365,365,"3,911","3,911","3,911","5,933","5,933","5,933",200,200,200,"35,084","35,085","35,085"
D1,1,"1,760","1,760","1,760","1,998","1,998","1,998","3,798","3,798","3,798",195,195,195,179,179,179,"1,082","1,082","1,082","2,429","2,429","2,429","6,193","6,193","6,193",260,260,260,"42,953","42,954","42,954"
D2,1,"1,443","1,443","1,443","1,045","1,045","1,045","2,990","2,990","2,990",39,39,39,,-136,-136,191,191,191,"3,172","3,172","3,172","3,198","3,198","3,198",62,62,62,"40,695","40,695","40,695"
D3,1,"1,423","1,423","1,423","2,958","2,958","2,958","2,739","2,739","2,739",,-165,-165,,-109,-109,558,558,558,"1,898","1,898","1,898","4,024","4,024","4,024",198,198,198,"40,398","40,398","40,398"
D4,1,"1,157","1,157","1,157","2,009","2,009","2,009","3,298","3,298","3,298",174,174,174,,-42,-42,360,360,360,"5,742","5,742","5,742","3,674","3,674","3,674",140,140,140,"39,547","39,547","39,547"
D5,1,"1,052","1,052","1,052","1,874","1,874","1,874","2,556","2,556","2,556",231,231,231,,-53,-53,,-4,-4,"1,337","1,337","1,337","5,543","5,543","5,543",108,108,108,"39,295","39,295","39,295"
D6,1,"1,228","1,228","1,228","1,386","1,386","1,386","2,389","2,389","2,389",185,185,185,102,102,102,473,473,473,"3,642","3,642","3,642","4,368","4,368","4,368",217,217,217,"38,882","38,882","38,882"
D7,1,"1,358","1,358","1,358",639,639,639,"3,411","3,411","3,411",187,187,187,277,277,277,138,138,138,"2,815","2,815","2,815","3,746","3,746","3,746",172,172,172,"38,401","38,401","38,401"
D8,1,958,958,958,827,827,827,"4,059","4,059","4,059",,-132,-132,,-35,-35,177,177,177,"3,485","3,485","3,485","5,092","5,092","5,092",11,11,11,"37,466","37,467","37,467"
D9,1,"1,313","1,313","1,313",618,618,618,"4,278","4,278","4,278",129,129,129,,-78,-78,75,75,75,"1,843","1,843","1,843","4,142","4,142","4,142",108,108,108,"36,938","36,939","36,939"
D10,1,"1,033","1,033","1,033",750,750,750,"1,956","1,956","1,956",,-18,-18,102,102,102,5,5,5,"3,887","3,887","3,887","3,305","3,305","3,305",73,73,73,"36,300","36,301","36,301"
D11,1,"1,542","1,542","1,542",986,986,986,"2,004","2,004","2,004",,-93,-93,0,0,0,,-12,-12,"2,119","2,119","2,119","1,676","1,676","1,676",76,76,76,"35,851","35,851","35,851"
D12,1,666,666,666,"1,126","1,126","1,126","1,919","1,919","1,919",161,161,161,,-46,-46,104,104,104,"1,057","1,057","1,057","3,640","3,640","3,640",73,73,73,"35,450","35,450","35,450"
E1,1,"1,572","1,572","1,572",508,508,508,"3,177","3,177","3,177",31,31,31,78,78,78,73,73,73,"3,896","3,896","3,896","6,460","6,460","6,460",160,160,160,"43,358","43,358","43,358"
E2,1,"1,820","1,820","1,820","6,909","6,909","6,909","11,152","11,152","11,152",202,202,202,246,246,246,586,586,586,"2,414","2,414","2,414","5,245","5,245","5,245",400,400,400,"43,753","43,753","43,753"
E3,1,"1,321","1,321","1,321","2,653","2,653","2,653","4,053","4,053","4,053",,-342,-342,39,39,39,619,619,619,"3,603","3,603","3,603","3,019","3,019","3,019",132,132,132,"44,272","44,272","44,272"
E4,1,"1,366","1,366","1,366",604,604,604,"4,666","4,666","4,666",,-51,-51,97,97,97,179,179,179,"3,843","3,843","3,843","4,344","4,344","4,344",63,63,63,"44,709","44,709","44,709"
E5,1,"1,237","1,237","1,237","3,770","3,770","3,770","5,512","5,512","5,512",,-157,-157,4,4,4,387,387,387,"2,794","2,794","2,794","3,678","3,678","3,678",134,134,134,"45,377","45,377","45,377"
E6,1,"1,244","1,244","1,244",701,701,701,"6,439","6,439","6,439",143,143,143,58,58,58,83,83,83,"2,429","2,429","2,429","2,735","2,735","2,735",66,66,66,"46,382","46,382","46,382"
E7,1,"1,811","1,811","1,811","1,431","1,431","1,431","5,752","5,752","5,752",19,19,19,81,81,81,130,130,130,"4,514","4,514","4,514","3,434","3,434","3,434",103,103,103,"47,292","47,292","47,292"
E8,1,"1,143","1,143","1,143","1,036","1,036","1,036","2,063","2,063","2,063",,-86,-86,,-141,-141,165,165,165,"2,814","2,814","2,814","3,717","3,717","3,717",79,79,79,"48,129","48,129","48,129"
E9,1,"1,530","1,530","1,530",486,486,486,"4,031","4,031","4,031",,-59,-59,65,65,65,55,55,55,"3,544","3,544","3,544","4,625","4,625","4,625",55,55,55,"51,343","51,343","51,343"
E10,1,"1,542","1,542","1,542",251,251,251,"3,005","3,005","3,005",329,329,329,132,132,132,201,201,201,"4,431","4,431","4,431","3,578","3,578","3,578",74,74,74,"51,778","51,778","51,778"
E11,1,"1,481","1,481","1,481","2,209","2,209","2,209","3,914","3,914","3,914",186,186,186,107,107,107,102,102,102,"1,837","1,837","1,837","3,236","3,236","3,236",140,140,140,"53,056","53,056","53,056"
E12,1,"2,602","2,602","2,602",615,615,615,"2,759","2,759","2,759",,-124,-124,,-29,-29,110,110,110,"1,591","1,591","1,591","7,773","7,773","7,773",65,65,65,"53,725","53,725","53,725"
F1,1,541,541,541,684,684,684,"1,208","1,208","1,208",,-139,-139,26,26,26,33,33,33,"3,091","3,091","3,091","7,939","7,939","7,939",66,66,66,"60,352","60,352","60,352"
F2,1,"1,071","1,071","1,071",705,705,705,"3,026","3,026","3,026",162,162,162,,-27,-27,,-44,-44,"2,616","2,616","2,616","3,523","3,523","3,523",4,4,4,"59,332","59,332","59,332"
F3,1,"1,008","1,008","1,008",660,660,660,"2,876","2,876","2,876",147,147,147,220,220,220,169,169,169,"1,394","1,394","1,394","3,307","3,307","3,307",94,94,94,"58,734","58,734","58,734"
F4,1,"1,649","1,649","1,649","6,703","6,703","6,703","4,334","4,334","4,334",51,51,51,29,29,29,32,32,32,"4,567","4,567","4,567","4,331","4,331","4,331",201,201,201,"57,992","57,992","57,992"
F5,1,878,878,878,"2,591","2,591","2,591","2,784","2,784","2,784",,-187,-187,94,94,94,114,114,114,"1,270","1,270","1,270","6,098","6,098","6,098",63,63,63,"57,409","57,409","57,409"
F6,1,"1,175","1,175","1,175","2,119","2,119","2,119","2,820","2,820","2,820",163,163,163,,-93,-93,475,475,475,"3,604","3,604","3,604","2,925","2,925","2,925",191,191,191,"56,888","56,889","56,889"
F7,1,883,883,883,75,75,75,"2,123","2,123","2,123",226,226,226,84,84,84,59,59,59,"3,291","3,291","3,291","4,657","4,657","4,657",30,30,30,"56,458","56,459","56,459"
F8,1,"2,492","2,492","2,492","7,836","7,836","7,836","4,533","4,533","4,533",,-370,-370,,-91,-91,170,170,170,"1,172","1,172","1,172","5,405","5,405","5,405",349,349,349,"55,836","55,836","55,836"
F9,1,"1,155","1,155","1,155","1,671","1,671","1,671","2,668","2,668","2,668",223,223,223,80,80,80,,-32,-32,"5,567","5,567","5,567","3,267","3,267","3,267",127,127,127,"55,548","55,548","55,548"
F10,1,"2,315","2,315","2,315","4,838","4,838","4,838","5,350","5,350","5,350",,-102,-102,84,84,84,91,91,91,"5,322","5,322","5,322","4,075","4,075","4,075",135,135,135,"54,993","54,993","54,993"
F11,1,"1,108","1,108","1,108","1,236","1,236","1,236","3,317","3,317","3,317",,-107,-107,40,40,40,145,145,145,"2,285","2,285","2,285","3,894","3,894","3,894",95,95,95,"54,608","54,608","54,608"
F12,1,"1,463","1,463","1,463","2,067","2,067","2,067","5,237","5,237","5,237",249,249,249,156,156,156,228,228,228,"3,849","3,849","3,849","8,464","8,464","8,464",77,77,77,"53,986","53,986","53,986"
G1,1,"1,343","1,343","1,343",463,463,463,"3,524","3,524","3,524",317,317,317,147,147,147,408,408,408,"3,203","3,203","3,203","7,588","7,588","7,588",95,95,95,"62,071","62,071","62,071"
G2,1,714,714,714,99,99,99,"2,790","2,790","2,790",,-24,-24,2,2,2,62,62,62,"1,627","1,627","1,627","2,752","2,752","2,752",29,29,29,"63,596","63,596","63,596"
G3,1,963,963,963,"3,116","3,116","3,116","7,109","7,109","7,109",270,270,270,108,108,108,,-13,-13,"3,748","3,748","3,748","2,502","2,502","2,502",24,24,24,"64,191","64,191","64,191"
G4,1,"1,176","1,176","1,176",278,278,278,"1,450","1,450","1,450",114,114,114,125,125,125,115,115,115,"2,506","2,506","2,506","4,932","4,932","4,932",3,3,3,"65,315","65,315","65,315"
G5,1,932,932,932,"1,408","1,408","1,408","2,366","2,366","2,366",202,202,202,66,66,66,30,30,30,"2,266","2,266","2,266","3,294","3,294","3,294",73,73,73,"66,217","66,217","66,217"
G6,1,"1,111","1,111","1,111","1,983","1,983","1,983","2,623","2,623","2,623",,-113,-113,86,86,86,34,34,34,"3,217","3,217","3,217","5,678","5,678","5,678",82,82,82,"66,744","66,744","66,744"
G7,1,"1,907","1,907","1,907","4,927","4,927","4,927","4,495","4,495","4,495",134,134,134,,-44,-44,190,190,190,"5,007","5,007","5,007","4,842","4,842","4,842",200,200,200,"67,343","67,343","67,343"
G8,1,"1,814","1,814","1,814","4,166","4,166","4,166","6,367","6,367","6,367",148,148,148,205,205,205,205,205,205,"4,406","4,406","4,406","4,388","4,388","4,388",210,210,210,"67,671","67,671","67,671"
G9,1,"1,129","1,129","1,129",666,666,666,"2,260","2,260","2,260",,-13,-13,71,71,71,61,61,61,"2,252","2,252","2,252","5,267","5,267","5,267",60,60,60,"71,070","71,070","71,070"
G10,1,726,726,726,"2,716","2,716","2,716","3,403","3,403","3,403",,-194,-194,51,51,51,343,343,343,"2,036","2,036","2,036","6,945","6,945","6,945",147,147,147,"72,177","72,177","72,177"
G11,1,790,790,790,"2,613","2,613","2,613","1,969","1,969","1,969",,-235,-235,107,107,107,524,524,524,"2,435","2,435","2,435","7,377","7,377","7,377",189,189,189,"72,624","72,624","72,624"
G12,1,"1,150","1,150","1,150",166,166,166,"2,321","2,321","2,321",293,293,293,65,65,65,296,296,296,"3,622","3,622","3,622","2,360","2,360","2,360",55,55,55,"72,842","72,842","72,842"
H1,1,"1,380","1,380","1,380","1,000","1,000","1,000","2,894","2,894","2,894",,-29,-29,126,126,126,114,114,114,"5,899","5,899","5,899","6,550","6,550","6,550",82,82,82,"88,625","88,625","88,625"
H2,1,"2,140","2,140","2,140","1,696","1,696","1,696","2,999","2,999","2,999",142,142,142,,-87,-87,733,733,733,"3,591","3,591","3,591","3,250","3,250","3,250",190,190,190,"88,001","88,001","88,001"
H3,1,"1,061","1,061","1,061",985,985,985,"2,438","2,438","2,438",112,112,112,6,6,6,354,354,354,"2,320","2,320","2,320","4,070","4,070","4,070",175,175,175,"84,641","84,641","84,641"
H4,1,"1,083","1,083","1,083","4,093","4,093","4,093","2,985","2,985","2,985",42,42,42,87,87,87,247,247,247,"3,014","3,014","3,014","3,568","3,568","3,568",147,147,147,"83,805","83,805","83,805"
H5,1,"1,161","1,161","1,161","1,889","1,889","1,889","3,523","3,523","3,523",40,40,40,,-31,-31,108,108,108,"2,499","2,499","2,499","2,977","2,977","2,977",60,60,60,"80,599","80,599","80,599"
H6,1,"1,179","1,179","1,179",682,682,682,"4,811","4,811","4,811",197,197,197,122,122,122,115,115,115,"2,136","2,136","2,136","2,210","2,210","2,210",13,13,13,"80,296","80,296","80,296"
H7,1,"1,861","1,861","1,861","3,504","3,504","3,504","8,993","8,993","8,993",196,196,196,57,57,57,717,717,717,"1,831","1,831","1,831","8,951","8,951","8,951",221,221,221,"79,460","79,460","79,460"
H8,1,"1,775","1,775","1,775",861,861,861,"4,437","4,437","4,437",11,11,11,10,10,10,140,140,140,"4,500","4,500","4,500","4,720","4,720","4,720",85,85,85,"78,863","78,863","78,863"
H9,1,"1,084","1,084","1,084","1,205","1,205","1,205","2,904","2,904","2,904",26,26,26,32,32,32,35,35,35,"3,057","3,057","3,057","2,685","2,685","2,685",87,87,87,"78,549","78,550","78,550"
H10,1,786,786,786,"2,028","2,028","2,028","2,750","2,750","2,750",,-88,-88,81,81,81,181,181,181,"3,480","3,480","3,480","8,533","8,533","8,533",119,119,119,"76,590","76,591","76,591"
H11,1,"1,378","1,378","1,378",957,957,957,"7,762","7,762","7,762",714,714,714,128,128,128,92,92,92,"3,859","3,859","3,859","2,993","2,993","2,993",63,63,63,"76,024","76,024","76,024"
H12,1,"1,937","1,937","1,937","1,631","1,631","1,631","4,762","4,762","4,762",122,122,122,,-79,-79,35,35,35,"5,398","5,398","5,398","2,919","2,919","2,919",81,81,81,"74,938","74,939","74,939"

