Experiment Name,210901 TA M3/4 PA BM Spleen
Specimen Name,M3-4 LN
Tube Name,INX_GC42_001
Record Date,"Sep 1, 2021 12:59:40 PM"
Date Analyzed,09/03/2021 17:19

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"7,306","7,306","7,306",364,364,364,37,37,37,288,288,288,"1,485","1,485","1,485",51,51,51,175,175,175,677,677,677,"1,896","1,896","1,896","2,708","2,708","2,708"
A2,1,"7,516","7,516","7,516",321,321,321,384,384,384,"2,621","2,621","2,621","2,010","2,010","2,010",173,173,173,495,495,495,"1,548","1,548","1,548","2,510","2,510","2,510","3,097","3,097","3,097"
A3,1,"1,831","1,831","1,831",57,57,57,25,25,25,"2,522","2,522","2,522","1,765","1,765","1,765",158,158,158,257,257,257,697,697,697,"1,416","1,416","1,416","3,376","3,376","3,376"
A4,1,"3,867","3,867","3,867",125,125,125,147,147,147,415,415,415,"1,897","1,897","1,897",4,4,4,107,107,107,894,894,894,"1,388","1,388","1,388","3,726","3,726","3,726"
A5,1,"4,236","4,236","4,236",17,17,17,147,147,147,"1,197","1,197","1,197","2,144","2,144","2,144",89,89,89,138,138,138,837,837,837,902,902,902,"4,356","4,356","4,356"
A6,1,"2,446","2,446","2,446",386,386,386,,-28,-28,722,722,722,"2,316","2,316","2,316",0,0,0,370,370,370,634,634,634,995,995,995,"4,582","4,582","4,582"
A7,1,"2,520","2,520","2,520",333,333,333,14,14,14,"2,339","2,339","2,339","2,313","2,313","2,313",61,61,61,404,404,404,971,971,971,"1,546","1,546","1,546","4,816","4,816","4,816"
A8,1,"4,393","4,393","4,393",424,424,424,101,101,101,"1,095","1,095","1,095",717,717,717,55,55,55,364,364,364,862,862,862,"1,425","1,425","1,425","5,572","5,572","5,572"
A9,1,"2,782","2,782","2,782",115,115,115,180,180,180,551,551,551,"1,034","1,034","1,034",7,7,7,65,65,65,584,584,584,"1,440","1,440","1,440","6,107","6,107","6,107"
A10,1,"2,528","2,528","2,528",,-10,-10,,-86,-86,68,68,68,"1,417","1,417","1,417",251,251,251,28,28,28,447,447,447,977,977,977,"6,618","6,618","6,618"
A11,1,"5,529","5,529","5,529",8,8,8,148,148,148,"1,097","1,097","1,097",806,806,806,146,146,146,156,156,156,873,873,873,"2,208","2,208","2,208","7,090","7,090","7,090"
A12,1,"10,330","10,330","10,330",102,102,102,155,155,155,"1,756","1,756","1,756","1,253","1,253","1,253",154,154,154,262,262,262,"1,811","1,811","1,811","2,348","2,348","2,348","7,350","7,350","7,350"
B1,1,"5,646","5,646","5,646",23,23,23,171,171,171,"3,814","3,814","3,814","1,479","1,479","1,479",327,327,327,282,282,282,"1,020","1,020","1,020","1,090","1,090","1,090","12,204","12,204","12,204"
B2,1,"11,994","11,994","11,994",,-38,-38,247,247,247,929,929,929,"1,330","1,330","1,330",227,227,227,140,140,140,"1,282","1,282","1,282","1,571","1,571","1,571","11,905","11,905","11,905"
B3,1,"10,740","10,740","10,740",124,124,124,126,126,126,"1,717","1,717","1,717",567,567,567,,-80,-80,75,75,75,762,762,762,"2,542","2,542","2,542","11,660","11,660","11,660"
B4,1,"3,191","3,191","3,191",97,97,97,,-31,-31,995,995,995,"2,764","2,764","2,764",153,153,153,126,126,126,447,447,447,"1,860","1,860","1,860","11,124","11,124","11,124"
B5,1,"2,905","2,905","2,905",416,416,416,12,12,12,299,299,299,"2,586","2,586","2,586",110,110,110,327,327,327,879,879,879,"1,226","1,226","1,226","10,597","10,597","10,597"
B6,1,"9,345","9,345","9,345",283,283,283,60,60,60,515,515,515,787,787,787,27,27,27,186,186,186,641,641,641,"1,014","1,014","1,014","10,211","10,211","10,211"
B7,1,"10,706","10,706","10,706",128,128,128,98,98,98,"1,910","1,910","1,910",801,801,801,138,138,138,193,193,193,973,973,973,"1,470","1,470","1,470","9,493","9,493","9,493"
B8,1,"6,718","6,718","6,718",75,75,75,,-7,-7,755,755,755,"2,308","2,308","2,308",189,189,189,37,37,37,602,602,602,"2,102","2,102","2,102","9,148","9,148","9,148"
B9,1,"2,037","2,037","2,037",,-44,-44,339,339,339,128,128,128,"2,746","2,746","2,746",14,14,14,84,84,84,542,542,542,"2,389","2,389","2,389","8,615","8,615","8,615"
B10,1,"7,973","7,973","7,973",308,308,308,51,51,51,53,53,53,"1,058","1,058","1,058",82,82,82,188,188,188,"1,051","1,051","1,051","1,194","1,194","1,194","8,409","8,409","8,409"
B11,1,"2,008","2,008","2,008",186,186,186,147,147,147,926,926,926,"1,288","1,288","1,288",207,207,207,116,116,116,649,649,649,"2,028","2,028","2,028","8,171","8,171","8,171"
B12,1,"6,117","6,117","6,117",148,148,148,111,111,111,"1,729","1,729","1,729","1,441","1,441","1,441",,-40,-40,263,263,263,821,821,821,"1,927","1,927","1,927","7,573","7,573","7,573"
C1,1,"7,860","7,860","7,860",50,50,50,184,184,184,"1,567","1,567","1,567","1,139","1,139","1,139",306,306,306,210,210,210,"1,553","1,553","1,553","2,843","2,843","2,843","12,472","12,472","12,472"
C2,1,"11,691","11,691","11,691",470,470,470,234,234,234,318,318,318,933,933,933,86,86,86,97,97,97,800,800,800,"1,671","1,671","1,671","13,078","13,078","13,078"
C3,1,"5,343","5,343","5,343",,-1,-1,,-12,-12,855,855,855,935,935,935,213,213,213,41,41,41,721,721,721,"1,662","1,662","1,662","13,335","13,335","13,335"
C4,1,"6,367","6,367","6,367",128,128,128,130,130,130,"2,958","2,958","2,958","2,072","2,072","2,072",180,180,180,477,477,477,"1,300","1,300","1,300","3,082","3,082","3,082","13,625","13,625","13,625"
C5,1,"8,991","8,991","8,991",,-46,-46,177,177,177,842,842,842,"1,187","1,187","1,187",14,14,14,11,11,11,739,739,739,"1,699","1,699","1,699","14,017","14,017","14,017"
C6,1,"10,973","10,973","10,973",90,90,90,289,289,289,"1,146","1,146","1,146",547,547,547,49,49,49,106,106,106,"1,206","1,206","1,206","1,685","1,685","1,685","14,675","14,675","14,675"
C7,1,"3,838","3,838","3,838",104,104,104,278,278,278,"2,169","2,169","2,169","3,466","3,466","3,466",256,256,256,139,139,139,590,590,590,"1,055","1,055","1,055","14,941","14,941","14,941"
C8,1,"11,369","11,369","11,369",975,975,975,133,133,133,893,893,893,"1,984","1,984","1,984",215,215,215,814,814,814,"1,309","1,309","1,309","1,965","1,965","1,965","15,193","15,193","15,193"
C9,1,"6,583","6,583","6,583",99,99,99,141,141,141,"1,478","1,478","1,478","1,023","1,023","1,023",122,122,122,76,76,76,947,947,947,"1,742","1,742","1,742","15,487","15,487","15,487"
C10,1,"2,560","2,560","2,560",142,142,142,32,32,32,"1,715","1,715","1,715","2,451","2,451","2,451",17,17,17,316,316,316,939,939,939,"1,394","1,394","1,394","15,871","15,871","15,871"
C11,1,"3,916","3,916","3,916",227,227,227,,-119,-119,"1,087","1,087","1,087","1,953","1,953","1,953",106,106,106,275,275,275,570,570,570,"1,473","1,473","1,473","16,796","16,796","16,796"
C12,1,"9,949","9,949","9,949",414,414,414,,-13,-13,849,849,849,"2,298","2,298","2,298",33,33,33,235,235,235,"1,423","1,423","1,423","2,575","2,575","2,575","17,115","17,115","17,115"
D1,1,"10,562","10,562","10,562",428,428,428,273,273,273,"1,635","1,635","1,635","1,390","1,390","1,390",75,75,75,204,204,204,"1,294","1,294","1,294","2,643","2,643","2,643","20,872","20,872","20,872"
D2,1,"7,686","7,686","7,686",,-10,-10,193,193,193,"3,179","3,179","3,179","1,490","1,490","1,490",139,139,139,218,218,218,"1,028","1,028","1,028","1,619","1,619","1,619","20,634","20,634","20,634"
D3,1,"2,864","2,864","2,864",111,111,111,,-13,-13,751,751,751,"2,363","2,363","2,363",,-140,-140,126,126,126,499,499,499,774,774,774,"20,330","20,330","20,330"
D4,1,"5,128","5,128","5,128",250,250,250,141,141,141,"1,595","1,595","1,595","1,093","1,093","1,093",194,194,194,341,341,341,888,888,888,"1,195","1,195","1,195","19,883","19,884","19,884"
D5,1,"1,190","1,190","1,190",223,223,223,,-54,-54,637,637,637,"2,520","2,520","2,520",133,133,133,27,27,27,537,537,537,"1,574","1,574","1,574","19,436","19,436","19,436"
D6,1,"1,932","1,932","1,932",274,274,274,139,139,139,"1,350","1,350","1,350","1,845","1,845","1,845",110,110,110,196,196,196,605,605,605,988,988,988,"19,114","19,114","19,114"
D7,1,"8,674","8,674","8,674",101,101,101,95,95,95,437,437,437,"1,617","1,617","1,617",66,66,66,28,28,28,853,853,853,"1,342","1,342","1,342","18,785","18,785","18,785"
D8,1,"3,276","3,276","3,276",339,339,339,116,116,116,452,452,452,"1,124","1,124","1,124",128,128,128,310,310,310,584,584,584,"1,905","1,905","1,905","18,549","18,549","18,549"
D9,1,"7,338","7,338","7,338",47,47,47,250,250,250,"2,008","2,008","2,008","2,355","2,355","2,355",204,204,204,288,288,288,794,794,794,"1,644","1,644","1,644","18,295","18,295","18,295"
D10,1,"6,939","6,939","6,939",,-18,-18,168,168,168,662,662,662,"1,060","1,060","1,060",42,42,42,35,35,35,677,677,677,989,989,989,"17,997","17,997","17,997"
D11,1,"2,020","2,020","2,020",673,673,673,88,88,88,521,521,521,"2,350","2,350","2,350",131,131,131,815,815,815,"1,169","1,169","1,169","1,236","1,236","1,236","17,744","17,744","17,744"
D12,1,"3,098","3,098","3,098",170,170,170,5,5,5,740,740,740,"3,061","3,061","3,061",27,27,27,83,83,83,981,981,981,"1,285","1,285","1,285","17,433","17,433","17,433"
E1,1,"4,115","4,115","4,115",36,36,36,,-101,-101,440,440,440,"1,522","1,522","1,522",62,62,62,54,54,54,"1,016","1,016","1,016","1,743","1,743","1,743","21,117","21,117","21,117"
E2,1,"1,683","1,683","1,683",,-41,-41,164,164,164,"1,414","1,414","1,414","3,221","3,221","3,221",197,197,197,149,149,149,893,893,893,"1,960","1,960","1,960","21,858","21,858","21,858"
E3,1,"5,175","5,175","5,175",25,25,25,14,14,14,"1,288","1,288","1,288","2,324","2,324","2,324",211,211,211,80,80,80,716,716,716,"1,611","1,611","1,611","22,238","22,238","22,238"
E4,1,"4,016","4,016","4,016",92,92,92,58,58,58,"1,373","1,373","1,373","1,941","1,941","1,941",104,104,104,129,129,129,865,865,865,"1,421","1,421","1,421","22,482","22,483","22,483"
E5,1,"10,616","10,616","10,616",75,75,75,106,106,106,830,830,830,"2,094","2,094","2,094",138,138,138,113,113,113,991,991,991,"1,562","1,562","1,562","22,699","22,699","22,699"
E6,1,"3,272","3,272","3,272",,-30,-30,123,123,123,771,771,771,"2,070","2,070","2,070",220,220,220,,-13,-13,614,614,614,"2,450","2,450","2,450","22,910","22,910","22,910"
E7,1,"6,344","6,344","6,344",227,227,227,192,192,192,"1,988","1,988","1,988","2,071","2,071","2,071",39,39,39,"1,742","1,742","1,742","2,140","2,140","2,140","2,379","2,379","2,379","23,166","23,166","23,166"
E8,1,"1,256","1,256","1,256",247,247,247,156,156,156,"2,361","2,361","2,361","4,285","4,285","4,285",35,35,35,632,632,632,"1,443","1,443","1,443","2,352","2,352","2,352","23,678","23,678","23,678"
E9,1,"3,378","3,378","3,378",95,95,95,,-30,-30,826,826,826,578,578,578,105,105,105,118,118,118,411,411,411,"1,069","1,069","1,069","24,050","24,050","24,050"
E10,1,"8,711","8,711","8,711",618,618,618,174,174,174,"1,871","1,871","1,871","1,481","1,481","1,481",8,8,8,756,756,756,"1,142","1,142","1,142","1,292","1,292","1,292","24,282","24,282","24,282"
E11,1,"8,184","8,184","8,184",347,347,347,282,282,282,904,904,904,"1,008","1,008","1,008",,-37,-37,189,189,189,899,899,899,"1,388","1,388","1,388","24,556","24,556","24,556"
E12,1,"7,876","7,876","7,876",233,233,233,131,131,131,"1,744","1,744","1,744","1,923","1,923","1,923",153,153,153,431,431,431,"1,005","1,005","1,005","2,139","2,139","2,139","24,767","24,767","24,767"
F1,1,"5,578","5,578","5,578",741,741,741,170,170,170,"1,094","1,094","1,094","2,689","2,689","2,689",27,27,27,707,707,707,708,708,708,"1,698","1,698","1,698","28,950","28,950","28,950"
