Experiment Name,210901 TA M3/4 PA BM Spleen
Specimen Name,M3-4 LN
Tube Name,INX_GC48_001
Record Date,"Sep 1, 2021 2:35:34 PM"
Date Analyzed,09/03/2021 17:46

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"3,759","3,759","3,759",622,622,622,83,83,83,"4,893","4,893","4,893","1,072","1,072","1,072",,-29,-29,511,511,511,"1,175","1,175","1,175","2,960","2,960","2,960","1,763","1,763","1,763"
A2,1,"4,473","4,473","4,473",,-1,-1,213,213,213,,-11,-11,"2,188","2,188","2,188",183,183,183,148,148,148,682,682,682,"1,056","1,056","1,056","2,289","2,289","2,289"
A3,1,"5,000","5,000","5,000",82,82,82,116,116,116,"2,311","2,311","2,311","4,931","4,931","4,931",27,27,27,177,177,177,"1,441","1,441","1,441","2,181","2,181","2,181","2,838","2,838","2,838"
A4,1,"5,338","5,338","5,338",,-49,-49,229,229,229,"1,049","1,049","1,049","1,925","1,925","1,925",193,193,193,,-19,-19,871,871,871,"3,030","3,030","3,030","3,071","3,071","3,071"
A5,1,"4,370","4,370","4,370",,-26,-26,24,24,24,592,592,592,"2,049","2,049","2,049",70,70,70,23,23,23,"1,337","1,337","1,337","3,269","3,269","3,269","3,721","3,721","3,721"
A6,1,"5,354","5,354","5,354",413,413,413,264,264,264,"2,626","2,626","2,626","3,128","3,128","3,128",110,110,110,222,222,222,"1,424","1,424","1,424","1,915","1,915","1,915","3,968","3,968","3,968"
A7,1,"7,644","7,644","7,644",,-34,-34,152,152,152,714,714,714,"1,182","1,182","1,182",29,29,29,,-8,-8,889,889,889,"1,639","1,639","1,639","4,785","4,785","4,785"
A8,1,"2,405","2,405","2,405",55,55,55,139,139,139,"2,209","2,209","2,209","1,506","1,506","1,506",,-19,-19,128,128,128,"1,134","1,134","1,134","2,070","2,070","2,070","5,046","5,046","5,046"
A9,1,"3,353","3,353","3,353",62,62,62,16,16,16,423,423,423,"2,614","2,614","2,614",87,87,87,15,15,15,759,759,759,"1,281","1,281","1,281","5,686","5,686","5,686"
A10,1,"4,297","4,297","4,297",173,173,173,188,188,188,700,700,700,"1,115","1,115","1,115",,-50,-50,117,117,117,598,598,598,"1,329","1,329","1,329","6,044","6,044","6,044"
A11,1,"3,880","3,880","3,880",4,4,4,6,6,6,876,876,876,"2,866","2,866","2,866",10,10,10,65,65,65,785,785,785,"3,056","3,056","3,056","6,353","6,353","6,353"
A12,1,"2,231","2,231","2,231",59,59,59,,-74,-74,719,719,719,"3,644","3,644","3,644",74,74,74,103,103,103,588,588,588,"1,033","1,033","1,033","6,821","6,821","6,821"
B1,1,"4,510","4,510","4,510",219,219,219,67,67,67,259,259,259,"1,908","1,908","1,908",176,176,176,184,184,184,652,652,652,"1,235","1,235","1,235","14,759","14,759","14,759"
B2,1,"4,835","4,835","4,835",4,4,4,,-31,-31,811,811,811,"1,318","1,318","1,318",66,66,66,57,57,57,859,859,859,"1,372","1,372","1,372","13,495","13,495","13,495"
B3,1,"7,067","7,067","7,067",32,32,32,14,14,14,"1,281","1,281","1,281","2,289","2,289","2,289",312,312,312,236,236,236,940,940,940,"1,048","1,048","1,048","12,851","12,851","12,851"
B4,1,"3,120","3,120","3,120",99,99,99,321,321,321,"5,667","5,667","5,667","1,103","1,103","1,103",170,170,170,228,228,228,924,924,924,"5,587","5,587","5,587","12,616","12,616","12,616"
B5,1,"4,476","4,476","4,476",80,80,80,,-17,-17,865,865,865,"1,658","1,658","1,658",,-4,-4,174,174,174,646,646,646,"1,359","1,359","1,359","11,910","11,911","11,911"
B6,1,"2,305","2,305","2,305",7,7,7,134,134,134,"1,086","1,086","1,086","2,221","2,221","2,221",,-39,-39,38,38,38,775,775,775,"1,920","1,920","1,920","10,987","10,987","10,987"
