Experiment Name,210831 TA M2 PA BM Spleen
Specimen Name,M2 LN
Tube Name,INX_GC32_001
Record Date,"Aug 31, 2021 5:16:13 PM"
Date Analyzed,09/03/2021 16:47

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"3,097","3,097","3,097",14,14,14,165,165,165,527,527,527,"1,129","1,129","1,129",87,87,87,116,116,116,990,990,990,"1,657","1,657","1,657","5,703","5,703","5,703"
A2,1,"1,220","1,220","1,220",123,123,123,207,207,207,224,224,224,"1,585","1,585","1,585",265,265,265,,-33,-33,895,895,895,"5,075","5,075","5,075","6,719","6,719","6,719"
A3,1,"1,344","1,344","1,344",6,6,6,61,61,61,141,141,141,"1,309","1,309","1,309",161,161,161,12,12,12,748,748,748,"1,357","1,357","1,357","7,056","7,056","7,056"
A4,1,"2,040","2,040","2,040",109,109,109,76,76,76,160,160,160,"1,004","1,004","1,004",154,154,154,171,171,171,938,938,938,"1,891","1,891","1,891","7,356","7,356","7,356"
A5,1,"3,051","3,051","3,051",105,105,105,79,79,79,729,729,729,"1,368","1,368","1,368",50,50,50,259,259,259,"1,084","1,084","1,084","1,791","1,791","1,791","7,631","7,631","7,631"
A6,1,"3,436","3,436","3,436",125,125,125,135,135,135,323,323,323,630,630,630,246,246,246,290,290,290,"1,173","1,173","1,173","1,580","1,580","1,580","8,092","8,092","8,092"
A7,1,"2,253","2,253","2,253",18,18,18,,-95,-95,"1,266","1,266","1,266","1,047","1,047","1,047",105,105,105,105,105,105,"1,037","1,037","1,037","2,566","2,566","2,566","8,793","8,793","8,793"
A8,1,"1,141","1,141","1,141",70,70,70,99,99,99,449,449,449,"1,738","1,738","1,738",,-99,-99,83,83,83,"1,242","1,242","1,242","1,493","1,493","1,493","9,392","9,392","9,392"
A9,1,"2,703","2,703","2,703",231,231,231,96,96,96,774,774,774,850,850,850,115,115,115,243,243,243,"1,151","1,151","1,151","3,077","3,077","3,077","10,403","10,403","10,403"
A10,1,"2,020","2,020","2,020",30,30,30,,-43,-43,89,89,89,"1,263","1,263","1,263",135,135,135,43,43,43,702,702,702,"3,274","3,274","3,274","10,684","10,685","10,685"
A11,1,"2,892","2,892","2,892",6,6,6,33,33,33,617,617,617,748,748,748,219,219,219,80,80,80,"1,120","1,120","1,120","2,391","2,391","2,391","10,981","10,981","10,981"
A12,1,"1,617","1,617","1,617",507,507,507,8,8,8,,-34,-34,"1,118","1,118","1,118",209,209,209,153,153,153,684,684,684,"2,414","2,414","2,414","11,260","11,260","11,260"
B1,1,"2,890","2,890","2,890",148,148,148,151,151,151,"1,388","1,388","1,388","1,219","1,219","1,219",265,265,265,148,148,148,604,604,604,"5,341","5,341","5,341","17,362","17,362","17,362"
B2,1,"2,008","2,008","2,008",,-70,-70,247,247,247,104,104,104,926,926,926,284,284,284,,-60,-60,957,957,957,"3,369","3,369","3,369","16,932","16,932","16,932"
B3,1,"2,622","2,622","2,622",111,111,111,118,118,118,"1,202","1,202","1,202","1,809","1,809","1,809",182,182,182,240,240,240,"1,293","1,293","1,293","3,945","3,945","3,945","16,647","16,647","16,647"
B4,1,"1,922","1,922","1,922",94,94,94,105,105,105,"1,705","1,705","1,705",736,736,736,83,83,83,300,300,300,"1,169","1,169","1,169","2,654","2,654","2,654","16,272","16,273","16,273"
