Experiment Name,210902 TA M5/6 PA BM Spleen
Specimen Name,M5-6 LN
Tube Name,INX_GC78_001
Record Date,"Sep 2, 2021 2:26:55 PM"
Date Analyzed,09/03/2021 18:41

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,349","1,349","1,349",493,493,493,,-6,-6,190,190,190,"2,495","2,495","2,495",53,53,53,51,51,51,728,728,728,"3,091","3,091","3,091","1,145","1,145","1,145"
A2,1,"6,073","6,073","6,073",126,126,126,57,57,57,"1,984","1,984","1,984","1,822","1,822","1,822",64,64,64,187,187,187,939,939,939,"4,846","4,846","4,846","1,526","1,526","1,526"
A3,1,"4,585","4,585","4,585",19,19,19,,-35,-35,580,580,580,"1,480","1,480","1,480",226,226,226,,-9,-9,912,912,912,"1,664","1,664","1,664","1,801","1,801","1,801"
A4,1,"1,663","1,663","1,663",177,177,177,,-32,-32,"1,259","1,259","1,259",973,973,973,189,189,189,106,106,106,"1,050","1,050","1,050","4,153","4,153","4,153","2,027","2,027","2,027"
A5,1,"5,168","5,168","5,168",188,188,188,281,281,281,"3,076","3,076","3,076","2,140","2,140","2,140",142,142,142,169,169,169,"1,491","1,491","1,491","3,384","3,384","3,384","2,522","2,522","2,522"
A6,1,"3,766","3,766","3,766",603,603,603,233,233,233,"1,655","1,655","1,655",866,866,866,268,268,268,804,804,804,"2,059","2,059","2,059","6,826","6,826","6,826","2,895","2,895","2,895"
A7,1,"7,876","7,876","7,876",113,113,113,47,47,47,828,828,828,"2,385","2,385","2,385",4,4,4,142,142,142,917,917,917,"1,400","1,400","1,400","3,317","3,317","3,317"
A8,1,"4,786","4,786","4,786",250,250,250,14,14,14,,-125,-125,"1,828","1,828","1,828",270,270,270,115,115,115,953,953,953,"4,996","4,996","4,996","3,843","3,843","3,843"
A9,1,"1,492","1,492","1,492",302,302,302,76,76,76,"1,168","1,168","1,168","1,628","1,628","1,628",151,151,151,75,75,75,957,957,957,"2,854","2,854","2,854","4,247","4,247","4,247"
A10,1,"2,851","2,851","2,851",69,69,69,74,74,74,"1,727","1,727","1,727",817,817,817,125,125,125,151,151,151,720,720,720,"2,250","2,250","2,250","4,809","4,809","4,809"
A11,1,"3,259","3,259","3,259",637,637,637,225,225,225,"2,397","2,397","2,397",935,935,935,,-65,-65,268,268,268,"1,882","1,882","1,882","6,329","6,329","6,329","5,132","5,132","5,132"
A12,1,"1,684","1,684","1,684",428,428,428,11,11,11,"2,067","2,067","2,067","1,243","1,243","1,243",14,14,14,132,132,132,"1,305","1,305","1,305","5,529","5,529","5,529","5,979","5,979","5,979"
B1,1,"6,515","6,515","6,515",254,254,254,94,94,94,908,908,908,"1,697","1,697","1,697",388,388,388,99,99,99,"1,014","1,014","1,014","4,728","4,728","4,728","10,259","10,259","10,259"
B2,1,"9,381","9,381","9,381",139,139,139,,-1,-1,"2,737","2,737","2,737","1,420","1,420","1,420",241,241,241,108,108,108,831,831,831,"1,093","1,093","1,093","9,936","9,936","9,936"
B3,1,"8,040","8,040","8,040",150,150,150,151,151,151,"5,745","5,745","5,745","2,828","2,828","2,828",152,152,152,312,312,312,"1,678","1,678","1,678","2,549","2,549","2,549","9,626","9,626","9,626"
B4,1,"3,646","3,646","3,646",137,137,137,,-27,-27,650,650,650,"2,173","2,173","2,173",92,92,92,73,73,73,659,659,659,"1,852","1,852","1,852","9,344","9,344","9,344"
B5,1,"7,054","7,054","7,054",171,171,171,,-1,-1,339,339,339,"1,995","1,995","1,995",77,77,77,33,33,33,"1,026","1,026","1,026","1,623","1,623","1,623","8,997","8,998","8,998"
B6,1,"3,384","3,384","3,384",26,26,26,173,173,173,"1,180","1,180","1,180",916,916,916,270,270,270,28,28,28,"1,355","1,355","1,355","5,193","5,193","5,193","8,419","8,419","8,419"
B7,1,"3,715","3,715","3,715",63,63,63,125,125,125,"3,148","3,148","3,148","4,873","4,873","4,873",233,233,233,279,279,279,"1,087","1,087","1,087","3,399","3,399","3,399","8,179","8,179","8,179"
B8,1,"6,978","6,978","6,978",617,617,617,198,198,198,963,963,963,"1,855","1,855","1,855",181,181,181,542,542,542,629,629,629,891,891,891,"7,910","7,910","7,910"
B9,1,"3,087","3,087","3,087",32,32,32,355,355,355,843,843,843,"2,801","2,801","2,801",207,207,207,10,10,10,861,861,861,"3,017","3,017","3,017","7,626","7,626","7,626"
