Experiment Name,210831 TA M2 PA BM Spleen
Specimen Name,M2 LN
Tube Name,INX_GC21_001
Record Date,"Aug 31, 2021 2:54:35 PM"
Date Analyzed,09/03/2021 16:34

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,154","1,154","1,154",,-63,-63,222,222,222,"1,204","1,204","1,204","2,637","2,637","2,637",48,48,48,67,67,67,797,797,797,"2,001","2,001","2,001","2,889","2,889","2,889"
A2,1,"2,062","2,062","2,062",36,36,36,67,67,67,"1,869","1,869","1,869","4,129","4,129","4,129",19,19,19,214,214,214,"1,356","1,356","1,356","4,459","4,459","4,459","3,527","3,527","3,527"
A3,1,"3,335","3,335","3,335",177,177,177,12,12,12,"1,202","1,202","1,202","1,989","1,989","1,989",,-20,-20,187,187,187,"1,163","1,163","1,163","4,184","4,184","4,184","3,740","3,740","3,740"
A4,1,"2,076","2,076","2,076",,-35,-35,203,203,203,"2,890","2,890","2,890","2,796","2,796","2,796",264,264,264,212,212,212,"1,018","1,018","1,018","1,424","1,424","1,424","6,019","6,019","6,019"
A5,1,"1,663","1,663","1,663",213,213,213,139,139,139,"3,147","3,147","3,147","2,789","2,789","2,789",123,123,123,165,165,165,"1,157","1,157","1,157","3,866","3,866","3,866","6,505","6,505","6,505"
A6,1,"2,777","2,777","2,777",232,232,232,220,220,220,"1,476","1,476","1,476","3,060","3,060","3,060",,-141,-141,129,129,129,"1,272","1,272","1,272","3,351","3,351","3,351","7,385","7,385","7,385"
A7,1,"3,515","3,515","3,515",388,388,388,241,241,241,874,874,874,"3,831","3,831","3,831",,-30,-30,221,221,221,857,857,857,"2,352","2,352","2,352","8,063","8,063","8,063"
A8,1,"1,502","1,502","1,502",194,194,194,71,71,71,"1,338","1,338","1,338","1,417","1,417","1,417",,-37,-37,191,191,191,787,787,787,"1,871","1,871","1,871","10,998","10,998","10,998"
A9,1,"1,059","1,059","1,059",57,57,57,43,43,43,669,669,669,"2,854","2,854","2,854",30,30,30,69,69,69,"1,004","1,004","1,004","2,193","2,193","2,193","11,991","11,991","11,991"
A10,1,"1,606","1,606","1,606",61,61,61,207,207,207,"1,140","1,140","1,140","2,267","2,267","2,267",50,50,50,134,134,134,976,976,976,"1,808","1,808","1,808","14,474","14,474","14,474"
A11,1,"2,897","2,897","2,897",,-12,-12,165,165,165,937,937,937,"3,312","3,312","3,312",,-55,-55,68,68,68,915,915,915,"2,528","2,528","2,528","15,591","15,591","15,591"
A12,1,"1,187","1,187","1,187",22,22,22,98,98,98,615,615,615,"1,714","1,714","1,714",155,155,155,38,38,38,820,820,820,"1,690","1,690","1,690","16,955","16,955","16,955"
B1,1,"1,291","1,291","1,291",162,162,162,,-5,-5,839,839,839,"2,228","2,228","2,228",194,194,194,216,216,216,878,878,878,"2,973","2,973","2,973","23,451","23,451","23,451"
B2,1,"1,710","1,710","1,710",,-38,-38,48,48,48,968,968,968,"1,870","1,870","1,870",119,119,119,44,44,44,899,899,899,"1,967","1,967","1,967","23,167","23,167","23,167"
B3,1,"1,077","1,077","1,077",24,24,24,110,110,110,799,799,799,"2,627","2,627","2,627",399,399,399,93,93,93,883,883,883,"3,122","3,122","3,122","22,816","22,816","22,816"
B4,1,"1,141","1,141","1,141",23,23,23,54,54,54,"1,225","1,225","1,225","2,532","2,532","2,532",87,87,87,131,131,131,844,844,844,"3,289","3,289","3,289","21,863","21,863","21,863"
B5,1,"3,529","3,529","3,529",,-7,-7,85,85,85,"1,327","1,327","1,327","2,521","2,521","2,521",45,45,45,188,188,188,832,832,832,"2,715","2,715","2,715","21,457","21,457","21,457"
B6,1,"1,529","1,529","1,529",150,150,150,146,146,146,"2,321","2,321","2,321","2,492","2,492","2,492",87,87,87,221,221,221,"1,231","1,231","1,231","4,133","4,133","4,133","20,868","20,868","20,868"
B7,1,"2,037","2,037","2,037",62,62,62,23,23,23,725,725,725,"2,203","2,203","2,203",35,35,35,30,30,30,692,692,692,"1,966","1,966","1,966","20,652","20,652","20,652"
B8,1,"1,924","1,924","1,924",129,129,129,131,131,131,"1,324","1,324","1,324","3,065","3,065","3,065",52,52,52,170,170,170,"1,063","1,063","1,063","3,305","3,305","3,305","19,409","19,409","19,409"
B9,1,"2,726","2,726","2,726",184,184,184,183,183,183,"1,476","1,476","1,476","3,365","3,365","3,365",133,133,133,210,210,210,"1,180","1,180","1,180","2,552","2,552","2,552","18,692","18,692","18,692"
B10,1,"1,451","1,451","1,451",49,49,49,170,170,170,724,724,724,"3,182","3,182","3,182",,-43,-43,35,35,35,695,695,695,"3,537","3,537","3,537","18,415","18,415","18,415"
B11,1,"3,137","3,137","3,137",337,337,337,50,50,50,902,902,902,"3,325","3,325","3,325",74,74,74,236,236,236,874,874,874,"2,712","2,712","2,712","17,998","17,998","17,998"
B12,1,"3,365","3,365","3,365",200,200,200,78,78,78,"1,560","1,560","1,560","2,411","2,411","2,411",211,211,211,278,278,278,"1,040","1,040","1,040","2,360","2,360","2,360","17,397","17,397","17,397"
C1,1,"2,931","2,931","2,931",251,251,251,112,112,112,"1,929","1,929","1,929","3,207","3,207","3,207",71,71,71,240,240,240,"2,010","2,010","2,010","5,851","5,851","5,851","23,705","23,705","23,705"
C2,1,"1,537","1,537","1,537",300,300,300,151,151,151,"1,901","1,901","1,901","5,164","5,164","5,164",15,15,15,177,177,177,949,949,949,"2,051","2,051","2,051","23,979","23,979","23,979"
C3,1,"1,540","1,540","1,540",407,407,407,330,330,330,851,851,851,"2,511","2,511","2,511",191,191,191,206,206,206,645,645,645,"1,654","1,654","1,654","24,845","24,845","24,845"
C4,1,"1,921","1,921","1,921",,-41,-41,104,104,104,"2,620","2,620","2,620","4,105","4,105","4,105",351,351,351,146,146,146,"1,552","1,552","1,552","5,154","5,154","5,154","25,564","25,564","25,564"
C5,1,"1,427","1,427","1,427",918,918,918,144,144,144,"1,354","1,354","1,354","2,216","2,216","2,216",,-12,-12,513,513,513,"1,173","1,173","1,173","2,403","2,403","2,403","25,948","25,948","25,948"
C6,1,"4,059","4,059","4,059",42,42,42,27,27,27,"1,774","1,774","1,774","3,204","3,204","3,204",,-65,-65,205,205,205,"1,089","1,089","1,089","4,705","4,705","4,705","26,430","26,431","26,431"
C7,1,"3,185","3,185","3,185",60,60,60,,-1,-1,"2,040","2,040","2,040","2,436","2,436","2,436",,-3,-3,163,163,163,944,944,944,"4,935","4,935","4,935","27,074","27,074","27,074"
C8,1,"2,050","2,050","2,050",647,647,647,467,467,467,"1,663","1,663","1,663","4,468","4,468","4,468",147,147,147,238,238,238,"2,561","2,561","2,561","10,753","10,753","10,753","27,505","27,505","27,505"
C9,1,"2,515","2,515","2,515",5,5,5,23,23,23,"1,410","1,410","1,410","1,681","1,681","1,681",76,76,76,59,59,59,773,773,773,"1,709","1,709","1,709","28,241","28,241","28,241"
C10,1,"2,470","2,470","2,470",385,385,385,187,187,187,"1,543","1,543","1,543","2,290","2,290","2,290",78,78,78,302,302,302,913,913,913,"2,711","2,711","2,711","28,688","28,688","28,688"
C11,1,"2,335","2,335","2,335",67,67,67,100,100,100,"1,605","1,605","1,605","1,656","1,656","1,656",273,273,273,231,231,231,"1,034","1,034","1,034","3,946","3,946","3,946","29,198","29,198","29,198"
C12,1,936,936,936,483,483,483,,-29,-29,389,389,389,"1,381","1,381","1,381",,-6,-6,93,93,93,"1,200","1,200","1,200","6,394","6,394","6,394","30,049","30,049","30,049"
D1,1,"1,981","1,981","1,981",66,66,66,,-49,-49,"2,018","2,018","2,018","1,428","1,428","1,428",113,113,113,80,80,80,803,803,803,"1,299","1,299","1,299","36,757","36,757","36,757"
D2,1,"1,774","1,774","1,774",123,123,123,228,228,228,"1,808","1,808","1,808","2,133","2,133","2,133",112,112,112,143,143,143,"1,147","1,147","1,147","4,659","4,659","4,659","36,285","36,285","36,285"
D3,1,"1,606","1,606","1,606",851,851,851,,-49,-49,892,892,892,"2,696","2,696","2,696",,-23,-23,535,535,535,721,721,721,"4,062","4,062","4,062","35,768","35,768","35,768"
D4,1,"1,465","1,465","1,465",49,49,49,177,177,177,"1,192","1,192","1,192","3,839","3,839","3,839",219,219,219,185,185,185,"1,339","1,339","1,339","3,312","3,312","3,312","34,884","34,885","34,885"
D5,1,"2,352","2,352","2,352",401,401,401,67,67,67,"1,296","1,296","1,296","2,944","2,944","2,944",,-52,-52,391,391,391,902,902,902,"3,469","3,469","3,469","34,518","34,518","34,518"
D6,1,"1,786","1,786","1,786",,-5,-5,254,254,254,"1,270","1,270","1,270","3,456","3,456","3,456",116,116,116,213,213,213,737,737,737,"3,857","3,857","3,857","33,905","33,905","33,905"
D7,1,"1,515","1,515","1,515",157,157,157,28,28,28,"1,025","1,025","1,025","2,167","2,167","2,167",15,15,15,142,142,142,"1,045","1,045","1,045","3,090","3,090","3,090","33,669","33,669","33,669"
D8,1,"1,407","1,407","1,407",213,213,213,65,65,65,545,545,545,"2,840","2,840","2,840",,-51,-51,21,21,21,814,814,814,"2,660","2,660","2,660","33,454","33,454","33,454"
D9,1,"2,199","2,199","2,199",332,332,332,112,112,112,689,689,689,"1,702","1,702","1,702",,-95,-95,167,167,167,905,905,905,"2,343","2,343","2,343","33,090","33,090","33,090"
D10,1,"1,304","1,304","1,304",164,164,164,116,116,116,578,578,578,"2,809","2,809","2,809",142,142,142,94,94,94,631,631,631,"3,790","3,790","3,790","31,074","31,074","31,074"
D11,1,"1,960","1,960","1,960",859,859,859,201,201,201,212,212,212,"2,408","2,408","2,408",,-119,-119,420,420,420,705,705,705,"4,558","4,558","4,558","30,829","30,829","30,829"
D12,1,"1,495","1,495","1,495",28,28,28,213,213,213,97,97,97,"2,384","2,384","2,384",26,26,26,27,27,27,"1,063","1,063","1,063","3,196","3,196","3,196","30,326","30,326","30,326"
E1,1,"1,897","1,897","1,897",337,337,337,99,99,99,"1,429","1,429","1,429","2,868","2,868","2,868",145,145,145,463,463,463,"1,239","1,239","1,239","3,012","3,012","3,012","37,186","37,186","37,186"
E2,1,"2,312","2,312","2,312",127,127,127,37,37,37,"1,261","1,261","1,261","3,361","3,361","3,361",72,72,72,124,124,124,891,891,891,"3,339","3,339","3,339","37,463","37,463","37,463"
E3,1,"3,266","3,266","3,266",94,94,94,76,76,76,739,739,739,"2,427","2,427","2,427",102,102,102,7,7,7,977,977,977,"2,345","2,345","2,345","37,828","37,828","37,828"
E4,1,"5,090","5,090","5,090",19,19,19,141,141,141,818,818,818,"3,254","3,254","3,254",79,79,79,66,66,66,900,900,900,"3,274","3,274","3,274","38,290","38,290","38,290"
E5,1,"3,843","3,843","3,843",195,195,195,176,176,176,575,575,575,"2,442","2,442","2,442",112,112,112,179,179,179,815,815,815,"2,314","2,314","2,314","39,688","39,688","39,688"
E6,1,"1,400","1,400","1,400",187,187,187,223,223,223,550,550,550,"2,679","2,679","2,679",51,51,51,49,49,49,973,973,973,"3,290","3,290","3,290","40,756","40,756","40,756"
E7,1,"2,458","2,458","2,458",128,128,128,58,58,58,"1,693","1,693","1,693","2,431","2,431","2,431",46,46,46,227,227,227,"1,116","1,116","1,116","2,307","2,307","2,307","42,058","42,058","42,058"
E8,1,"1,136","1,136","1,136",,-25,-25,141,141,141,791,791,791,"3,529","3,529","3,529",253,253,253,114,114,114,938,938,938,"2,598","2,598","2,598","42,567","42,567","42,567"
E9,1,"1,660","1,660","1,660",188,188,188,121,121,121,"1,837","1,837","1,837","1,598","1,598","1,598",125,125,125,166,166,166,834,834,834,"3,407","3,407","3,407","43,111","43,111","43,111"
E10,1,"1,444","1,444","1,444",,-36,-36,190,190,190,"1,280","1,280","1,280","2,926","2,926","2,926",354,354,354,275,275,275,764,764,764,"3,623","3,623","3,623","44,625","44,625","44,625"
E11,1,"1,638","1,638","1,638",63,63,63,59,59,59,591,591,591,"2,869","2,869","2,869",157,157,157,37,37,37,947,947,947,"2,061","2,061","2,061","45,052","45,052","45,052"
E12,1,"2,741","2,741","2,741",62,62,62,164,164,164,"1,494","1,494","1,494","3,011","3,011","3,011",162,162,162,148,148,148,"1,235","1,235","1,235","4,072","4,072","4,072","45,810","45,810","45,810"
F1,1,"2,435","2,435","2,435",89,89,89,5,5,5,"1,061","1,061","1,061","2,833","2,833","2,833",57,57,57,81,81,81,684,684,684,"1,821","1,821","1,821","57,715","57,715","57,715"
F2,1,"6,894","6,894","6,894",3,3,3,337,337,337,"2,185","2,185","2,185","2,440","2,440","2,440",129,129,129,143,143,143,"1,044","1,044","1,044","2,230","2,230","2,230","55,842","55,842","55,842"
F3,1,"1,495","1,495","1,495",63,63,63,49,49,49,755,755,755,"3,114","3,114","3,114",79,79,79,205,205,205,"1,090","1,090","1,090","2,168","2,168","2,168","55,249","55,249","55,249"
F4,1,"2,307","2,307","2,307",21,21,21,103,103,103,"2,783","2,783","2,783","2,486","2,486","2,486",107,107,107,185,185,185,"1,346","1,346","1,346","3,870","3,870","3,870","54,498","54,498","54,498"
F5,1,"2,774","2,774","2,774",532,532,532,196,196,196,"1,561","1,561","1,561","2,835","2,835","2,835",,-88,-88,402,402,402,957,957,957,"2,461","2,461","2,461","54,159","54,159","54,159"
F6,1,"1,535","1,535","1,535",225,225,225,227,227,227,"1,294","1,294","1,294","1,634","1,634","1,634",197,197,197,213,213,213,918,918,918,"2,819","2,819","2,819","51,212","51,212","51,212"
F7,1,"2,202","2,202","2,202",137,137,137,120,120,120,"1,781","1,781","1,781","1,637","1,637","1,637",187,187,187,191,191,191,"1,272","1,272","1,272","2,311","2,311","2,311","50,709","50,709","50,709"
F8,1,"1,786","1,786","1,786",231,231,231,157,157,157,984,984,984,"1,566","1,566","1,566",9,9,9,105,105,105,646,646,646,"3,465","3,465","3,465","49,548","49,548","49,548"
F9,1,"1,487","1,487","1,487",267,267,267,144,144,144,"2,141","2,141","2,141","1,724","1,724","1,724",201,201,201,226,226,226,"1,106","1,106","1,106","3,802","3,802","3,802","49,275","49,275","49,275"
F10,1,"1,736","1,736","1,736",25,25,25,56,56,56,838,838,838,"1,421","1,421","1,421",,-14,-14,180,180,180,809,809,809,"3,015","3,015","3,015","48,855","48,855","48,855"
F11,1,"5,436","5,436","5,436",120,120,120,50,50,50,"1,097","1,097","1,097","3,179","3,179","3,179",125,125,125,70,70,70,981,981,981,"2,626","2,626","2,626","48,548","48,548","48,548"
F12,1,"1,144","1,144","1,144",36,36,36,194,194,194,"2,927","2,927","2,927","2,094","2,094","2,094",71,71,71,311,311,311,920,920,920,"6,922","6,922","6,922","46,689","46,689","46,689"
G1,1,"1,343","1,343","1,343",108,108,108,1,1,1,"2,037","2,037","2,037","2,662","2,662","2,662",,-71,-71,130,130,130,701,701,701,"2,154","2,154","2,154","58,012","58,012","58,012"
G2,1,"2,197","2,197","2,197",22,22,22,110,110,110,817,817,817,"2,562","2,562","2,562",325,325,325,185,185,185,767,767,767,"2,510","2,510","2,510","58,677","58,677","58,677"
G3,1,"3,497","3,497","3,497",10,10,10,,-23,-23,"1,540","1,540","1,540","2,750","2,750","2,750",148,148,148,232,232,232,939,939,939,"3,102","3,102","3,102","59,437","59,437","59,437"
G4,1,"1,138","1,138","1,138",64,64,64,292,292,292,204,204,204,"3,221","3,221","3,221",198,198,198,21,21,21,"1,335","1,335","1,335","2,927","2,927","2,927","59,896","59,896","59,896"
G5,1,"3,122","3,122","3,122",13,13,13,88,88,88,"1,507","1,507","1,507","2,272","2,272","2,272",274,274,274,211,211,211,"1,168","1,168","1,168","2,072","2,072","2,072","61,805","61,805","61,805"
G6,1,"2,679","2,679","2,679",27,27,27,,-151,-151,"1,831","1,831","1,831","3,095","3,095","3,095",23,23,23,192,192,192,914,914,914,"2,384","2,384","2,384","62,501","62,501","62,501"
G7,1,"1,314","1,314","1,314",77,77,77,14,14,14,"3,119","3,119","3,119","2,166","2,166","2,166",114,114,114,147,147,147,"1,220","1,220","1,220","5,572","5,572","5,572","62,803","62,803","62,803"
G8,1,"1,124","1,124","1,124",131,131,131,,-86,-86,"1,162","1,162","1,162","3,670","3,670","3,670",57,57,57,44,44,44,564,564,564,"2,783","2,783","2,783","64,235","64,235","64,235"
G9,1,"1,166","1,166","1,166",96,96,96,114,114,114,"2,001","2,001","2,001","1,596","1,596","1,596",92,92,92,213,213,213,988,988,988,"6,219","6,219","6,219","64,579","64,579","64,579"
G10,1,"1,311","1,311","1,311",8,8,8,,-80,-80,911,911,911,"1,518","1,518","1,518",93,93,93,65,65,65,"1,053","1,053","1,053","2,720","2,720","2,720","64,933","64,933","64,933"
G11,1,"1,736","1,736","1,736",528,528,528,203,203,203,714,714,714,"3,372","3,372","3,372",92,92,92,468,468,468,645,645,645,"2,733","2,733","2,733","66,098","66,098","66,098"
G12,1,"3,205","3,205","3,205",,-32,-32,182,182,182,"1,081","1,081","1,081","2,892","2,892","2,892",113,113,113,84,84,84,651,651,651,"2,179","2,179","2,179","66,756","66,756","66,756"
H1,1,"3,365","3,365","3,365",,-42,-42,14,14,14,581,581,581,"1,894","1,894","1,894",86,86,86,,-25,-25,821,821,821,"2,830","2,830","2,830","79,688","79,688","79,688"
H2,1,"2,485","2,485","2,485",159,159,159,173,173,173,"1,024","1,024","1,024","2,783","2,783","2,783",80,80,80,283,283,283,"1,116","1,116","1,116","2,989","2,989","2,989","78,378","78,378","78,378"
H3,1,859,859,859,26,26,26,5,5,5,30,30,30,"1,513","1,513","1,513",288,288,288,21,21,21,917,917,917,"2,073","2,073","2,073","77,836","77,836","77,836"
H4,1,"2,288","2,288","2,288",343,343,343,,-18,-18,"1,171","1,171","1,171","2,569","2,569","2,569",173,173,173,149,149,149,835,835,835,"2,733","2,733","2,733","77,286","77,286","77,286"
H5,1,"2,748","2,748","2,748",121,121,121,15,15,15,"1,283","1,283","1,283","4,000","4,000","4,000",116,116,116,221,221,221,677,677,677,"2,212","2,212","2,212","74,784","74,784","74,784"
H6,1,"1,366","1,366","1,366",160,160,160,1,1,1,"1,565","1,565","1,565","2,771","2,771","2,771",,-69,-69,171,171,171,904,904,904,"2,350","2,350","2,350","72,882","72,882","72,882"
H7,1,"2,134","2,134","2,134",202,202,202,299,299,299,,-25,-25,"2,393","2,393","2,393",94,94,94,152,152,152,"1,148","1,148","1,148","4,236","4,236","4,236","72,258","72,258","72,258"
H8,1,"4,903","4,903","4,903",44,44,44,206,206,206,"1,330","1,330","1,330","1,345","1,345","1,345",143,143,143,97,97,97,913,913,913,"2,546","2,546","2,546","71,203","71,203","71,203"
H9,1,"2,911","2,911","2,911",23,23,23,9,9,9,"1,201","1,201","1,201","2,432","2,432","2,432",181,181,181,176,176,176,659,659,659,"1,485","1,485","1,485","70,331","70,331","70,331"
H10,1,"1,347","1,347","1,347",0,0,0,50,50,50,537,537,537,"1,345","1,345","1,345",195,195,195,59,59,59,522,522,522,"1,789","1,789","1,789","69,168","69,168","69,168"
H11,1,"1,611","1,611","1,611",,-9,-9,99,99,99,320,320,320,"2,101","2,101","2,101",24,24,24,,-32,-32,669,669,669,"2,689","2,689","2,689","67,253","67,253","67,253"
H12,1,"1,913","1,913","1,913",43,43,43,160,160,160,"2,585","2,585","2,585","4,270","4,270","4,270",237,237,237,281,281,281,"1,489","1,489","1,489","3,391","3,391","3,391","67,011","67,011","67,011"

