library,run,subreads
lib1,210619,/fh/fast/bloom_j/SR/ngs/pacbio/210730_SequelIIe/Starr_Pool-Cell3/demultiplexing_files/demultiplex.bc1009_BAK8A_OA--bc1009_BAK8A_OA.bam
lib2,210619,/fh/fast/bloom_j/SR/ngs/pacbio/210730_SequelIIe/Starr_Pool-Cell3/demultiplexing_files/demultiplex.bc1010_BAK8A_OA--bc1010_BAK8A_OA.bam
