GC,node,delta_bind,delta_expr,delta_psr,parent,abundance,branch length from naive,LBI,LBR
gc31HK,seq12,0.89328,0.012839999999999999,-0.35145,8,1.0,4.0,4.59786063085723,0.2942659797550835
gc31HK,20,1.22428,0.0072299999999999994,-0.62498,8,0.0,5.0,4.40856505486231,1.2736202153545495
gc31HK,seq46,0.77569,-0.21956,-0.21419,25,1.0,7.0,1.4919760183057345,0.0
gc31HK,seq23,0.78866,-0.11183000000000001,-0.01328,25,1.0,7.0,1.4919760183057345,0.0
gc31HK,seq58,-0.91015,-0.65389,0.4722600000000001,seq33,1.0,14.0,1.088297796800597,0.0
gc31HK,seq57,-0.42078000000000004,-0.52311,-0.6578600000000001,seq33,1.0,11.0,2.7735086578745105,0.0
gc31HK,seq6,-0.4249400000000001,-0.44877,-0.5555399999999999,seq33,1.0,11.0,2.7735086578745105,0.0
gc31HK,seq16,-0.44039,-0.5079800000000001,-0.6125400000000001,seq33,1.0,11.0,2.7735086578745105,0.0
gc31HK,seq27,-0.5096100000000001,-0.5105500000000001,-0.68713,seq33,1.0,12.0,1.6524373739715896,0.0
gc31HK,seq24,-3.11328,-0.71491,1.05815,seq33,1.0,14.0,1.088297796800597,0.0
gc31HK,seq32,1.34879,-0.2617,1.4744300000000001,29,1.0,7.0,1.1192807384411991,0.0
gc31HK,seq54,1.07104,-0.14158,0.16029,29,1.0,5.0,1.881372067863894,0.0
gc31HK,seq39,1.10697,-0.26203,-0.08292,22,1.0,7.0,1.1400180204092558,0.0
gc31HK,seq25,1.18209,-0.051310000000000015,0.11003999999999997,22,1.0,6.0,2.740012140156444,0.9846410174734911
gc31HK,seq43,0.78276,-0.6976899999999999,0.51227,24,1.0,7.0,2.0796096458871824,0.0
gc31HK,seq45,0.10998999999999992,-0.6426099999999999,0.60629,24,1.0,7.0,2.0796096458871824,0.0
gc31HK,seq60,0.4198200000000001,-0.6797899999999999,2.09853,seq63,1.0,10.0,1.0220498382588774,0.0
gc31HK,seq21,0.86738,-0.08094,-0.32658,26,1.0,4.0,2.2335693499638194,0.0
gc31HK,seq48,0.74483,-0.041120000000000004,-0.34788,26,1.0,6.0,1.1669454573693576,0.0
gc31HK,seq3,1.57514,-0.03981,-0.26467999999999997,3,1.0,6.0,1.5164568139115824,0.0
gc31HK,seq44,1.19855,-0.030789999999999998,-0.19918,3,1.0,5.0,2.403875172439709,0.0
gc31HK,seq52,1.22708,0.01661,-0.15463,3,1.0,5.0,2.403875172439709,0.0
gc31HK,28,1.22373,-0.0068000000000000005,-0.23648999999999998,3,0.0,6.0,2.7806979315686977,0.8336809238873765
gc31HK,seq22,0.16652999999999993,-0.32899999999999996,-0.46079999999999993,seq36,1.0,11.0,1.0033253926249008,0.0
gc31HK,seq49,-1.02096,-0.02219000000000001,-0.23407,seq12,1.0,7.0,1.179126933206535,0.0
gc31HK,seq37,1.2468599999999999,-0.014620000000000001,-0.58956,20,1.0,9.0,1.0624300466736165,0.0
gc31HK,seq1,1.22428,0.0072299999999999994,-0.62498,20,1.0,6.0,4.580119751520699,1.032049523975686
gc31HK,seq13,1.1471500000000001,-0.19381,0.12958999999999998,seq25,1.0,7.0,1.640114693752278,0.0
gc31HK,seq59,1.14389,-0.22911000000000006,0.02898999999999996,seq25,1.0,7.0,1.640114693752278,0.0
gc31HK,seq53,1.2287299999999999,-0.03191,-0.17542999999999997,28,1.0,7.0,1.6550821599606358,0.0
gc31HK,seq4,0.62475,-0.26042000000000004,-0.16712,28,1.0,7.0,1.6550821599606358,0.0
gc31HK,seq56,1.23743,-0.06767,-0.40912,seq1,1.0,8.0,1.4845165205930453,0.0
gc31HK,11,1.21131,-0.1005,-0.82589,seq1,0.0,7.0,4.312898929871253,0.861373023008671
gc31HK,seq11,1.7711600000000003,-0.07368000000000001,-0.05568000000000001,11,2.0,10.0,1.3552646894454043,0.16337772026712016
gc31HK,seq18,1.20446,-0.09148,-0.89194,11,3.0,9.0,2.7155242220117843,0.8749061045808191
gc31HK,seq61,1.2379499999999999,-0.22246,-0.6850299999999999,seq18,1.0,13.0,1.0314209221552444,0.0
gc50HK,naive,0.0,0.0,0.0,,0.0,0.0,2.5439961471148544,
gc50HK,7,0.8448,-0.059090000000000004,-0.362,naive,0.0,6.0,3.2497526625788065,2.237362680539371
gc50HK,seq12,0.013869999999999999,-0.5732,0.17632,naive,10.0,4.0,31.56084485594457,29.692872643040417
gc50HK,seq25,0.8448,-0.059090000000000004,-0.362,7,1.0,7.0,1.8276377522834557,0.0
gc50HK,seq57,0.8448,-0.059090000000000004,-0.362,7,1.0,7.0,1.8276377522834557,0.0
gc50HK,seq3,0.04898999999999998,-0.25403000000000003,-0.621,7,1.0,10.0,1.0412056573567616,0.0
gc50HK,seq7,1.5670700000000002,-0.44933,0.9348399999999999,seq12,1.0,7.0,2.5215348722225954,0.0
gc50HK,seq29,0.024980000000000002,-0.54259,0.11402000000000001,seq12,1.0,5.0,12.242706527332036,0.0
gc50HK,seq60,0.014319999999999998,-0.52874,0.17752,seq12,1.0,5.0,12.242706527332036,0.0
gc50HK,seq32,0.83101,-0.42972,0.47029,seq12,1.0,6.0,5.135960594529437,0.0
gc50HK,seq62,-0.7011799999999999,-0.77098,0.15657,seq12,1.0,6.0,5.135960594529437,0.0
gc50HK,seq48,0.04933,-0.59235,0.33618000000000003,seq12,1.0,8.0,1.5597413985161102,0.0
gc50HK,seq47,-0.03172,-0.58206,0.65082,seq12,1.0,5.0,12.242706527332036,0.0
gc50HK,seq9,0.013869999999999999,-0.5732,0.17632,seq12,1.0,5.0,12.242706527332036,0.0
gc50HK,seq44,-0.03532,-0.62876,0.8509,seq12,1.0,5.0,12.242706527332036,0.0
gc50HK,seq45,-0.90391,-0.7096600000000001,1.28512,seq12,1.0,5.0,12.242706527332036,0.0
gc50HK,seq16,0.013869999999999999,-0.5732,0.17632,seq12,1.0,6.0,5.135960594529437,0.0
gc50HK,seq41,0.30606,-0.59463,-0.14601999999999998,seq12,1.0,6.0,5.135960594529437,0.0
gc50HK,seq59,-3.4252499999999997,-0.59873,0.041929999999999995,seq12,1.0,7.0,2.5215348722225954,0.0
gc50HK,seq11,0.008789999999999997,-0.5586,0.15258,seq12,1.0,6.0,5.135960594529437,0.0
gc50HK,seq30,0.01052,-0.56476,-0.16176,seq12,1.0,7.0,2.5215348722225954,0.0
gc50HK,seq46,0.004499999999999995,-0.493,0.14293,seq12,1.0,5.0,12.242706527332036,0.0
gc50HK,seq28,0.011960000000000004,-0.58143,0.13954,seq12,1.0,5.0,12.242706527332036,0.0
gc50HK,seq39,-0.02357,-0.5592400000000001,0.21641,seq12,1.0,5.0,12.969989668124635,0.05940542143756587
gc50HK,seq53,0.013869999999999999,-0.5732,0.17632,seq12,1.0,5.0,13.288082040928213,0.08538761517008998
gc50HK,seq2,0.013869999999999999,-0.5732,0.17632,seq12,1.0,5.0,13.202533826059463,0.07839992705735437
gc50HK,seq35,0.0563,-0.58391,0.52038,seq12,1.0,7.0,3.2488180130151934,0.28842874584222494
gc50HK,12,0.013869999999999999,-0.5732,0.17632,seq12,0.0,5.0,13.872348333983927,0.13311123671989444
gc50HK,seq36,0.013869999999999999,-0.5732,0.17632,seq12,2.0,5.0,13.383244622892253,0.09316061714082156
gc50HK,10,0.19699,-0.55481,0.14875,seq12,0.0,5.0,14.179341686049744,0.15818684817725065
gc50HK,13,0.76858,-0.5585800000000001,0.12766,seq12,0.0,5.0,14.106174892785896,0.1522104904902881
gc50HK,seq14,0.013869999999999999,-0.5732,0.17632,seq12,2.0,5.0,15.364017102037964,0.25495265836337355
gc50HK,seq15,0.013869999999999999,-0.5732,0.17632,seq12,2.0,5.0,16.20426317927232,0.32358503759736845
gc50HK,seq10,0.36273,-0.5490900000000001,0.11001000000000001,seq12,5.0,5.0,20.486608081164963,0.6733724716367485
gc50HK,seq61,0.15955,-0.54085,0.18883999999999998,seq39,1.0,6.0,5.403513109937629,0.0
gc50HK,seq58,0.013869999999999999,-0.5732,0.17632,seq53,1.0,8.0,1.611787580681614,0.0
gc50HK,seq50,-0.8108399999999999,-0.58387,-0.08495,seq2,1.0,7.0,2.6514333715541047,0.0
gc50HK,seq4,-0.57389,-0.59768,0.33127999999999996,seq35,1.0,8.0,1.8272939139243027,0.0
gc50HK,seq18,0.04023,-0.7537,0.13051000000000001,12,1.0,11.0,1.0319073614516703,0.0
gc50HK,seq43,0.026439999999999998,-0.61381,0.49673,12,1.0,6.0,5.735472311670154,0.0
gc50HK,seq42,0.84563,-0.50153,0.45491000000000004,seq36,1.0,8.0,1.61652544665592,0.0
gc50HK,seq37,0.15701,-0.5294800000000001,0.14768,10,1.0,7.0,2.783629939953639,0.0
gc50HK,6,0.22899,-0.5694,0.09532,10,0.0,7.0,4.315423573018947,0.5502863764609529
gc50HK,seq27,0.76858,-0.5585800000000001,0.12766,13,1.0,7.0,2.7737278912637615,0.0
gc50HK,seq52,1.06497,-0.48142,-0.00069000000000001,13,2.0,10.0,1.9107544345449747,0.7557099505389194
gc50HK,seq17,0.06044000000000001,-0.45462,0.18857000000000002,seq14,1.0,8.0,1.7151423014963312,0.0
gc50HK,seq8,0.68061,-0.4568899999999999,-0.10597,seq14,1.0,9.0,1.2630861502325292,0.0
gc50HK,seq13,-4.18209,-0.85436,-0.4648000000000001,seq14,1.0,12.0,1.013098288148265,0.0
gc50HK,seq6,0.008489999999999998,-0.63003,0.004059999999999994,seq15,1.0,7.0,3.057673263770821,0.0
gc50HK,seq31,0.013869999999999999,-0.5732,0.17632,seq15,1.0,7.0,3.057673263770821,0.0
gc50HK,16,0.03645,-0.5950500000000001,0.21174,seq15,0.0,7.0,4.640006754231514,0.5174959369299351
gc50HK,seq55,0.36273,-0.5490900000000001,0.11001000000000001,seq15,1.0,7.0,3.7849564045634194,0.23785508720303528
gc50HK,seq22,0.25347000000000003,-0.51563,-0.25202,seq10,1.0,6.0,8.168722491225878,0.0
gc50HK,seq51,-0.11941000000000002,-0.59715,0.83246,seq10,1.0,10.0,1.13129973244284,0.0
gc50HK,seq34,0.36273,-0.5490900000000001,0.11001000000000001,seq10,1.0,7.0,3.637225623985326,0.0
gc50HK,seq56,0.24062,-0.6742,0.3831800000000001,seq10,1.0,6.0,8.168722491225878,0.0
gc50HK,seq26,-0.33652,-1.76806,2.0766799999999996,seq10,1.0,7.0,3.637225623985326,0.0
gc50HK,seq5,1.0466600000000001,-0.49528,0.41339000000000004,seq10,1.0,8.0,1.97018108879473,0.0
gc50HK,seq40,0.34139,-0.63024,-0.02771999999999998,seq10,1.0,6.0,8.168722491225878,0.0
gc50HK,seq1,0.27101,-0.5641300000000001,0.05334000000000001,seq10,1.0,6.0,8.168722491225878,0.0
gc50HK,seq21,0.36273,-0.5490900000000001,0.11001000000000001,seq10,1.0,7.0,3.637225623985326,0.0
gc50HK,seq23,0.34976,-0.6568200000000001,-0.09089999999999998,seq10,2.0,6.0,8.35904765515396,0.023299256907369722
gc50HK,seq24,0.22010000000000002,-0.54113,-0.4830399999999999,6,1.0,8.0,2.219676171288837,0.0
gc50HK,seq20,0.22899,-0.5694,0.09532,6,1.0,8.0,2.946959312081435,0.3276528126939828
gc50HK,seq49,0.15798999999999996,-0.63493,2.0337199999999998,seq52,1.0,11.0,1.3350478324248183,0.0
gc50HK,seq54,-0.10610000000000001,-0.6156900000000001,0.1552,16,1.0,10.0,1.1812252651324109,0.0
gc50HK,seq38,0.03645,-0.5950500000000001,0.21174,16,1.0,8.0,2.339083650606965,0.0
gc50HK,seq19,0.35153,-0.5353600000000001,0.16255999999999998,seq55,1.0,8.0,2.02452820579762,0.0
gc50HK,seq33,0.24274,-0.62104,-0.002750000000000006,seq20,1.0,9.0,1.716246303712054,0.0
gc59HK,naive,0.0,0.0,0.0,,0.0,0.0,2.899378573270304,
gc59HK,1,0.331,-0.00561,-0.27353,naive,0.0,1.0,7.861788589192827,3.6280053537904378
gc59HK,7,0.331,-0.00561,-0.27353,1,0.0,3.0,3.927394757634711,1.0363522880151665
gc59HK,13,0.36646,0.08236,-0.19898,1,0.0,2.0,5.523852079196848,0.5673566138208888
gc59HK,4,0.331,-0.00561,-0.27353,1,0.0,2.0,8.64692688672525,1.453508502911437
gc59HK,12,0.86082,-0.11663000000000001,-0.13904999999999995,1,0.0,5.0,9.962888125020694,7.850566284418892
gc59HK,seq8,1.2812,-0.1836,-0.35217000000000004,7,1.0,11.0,1.0009820315383042,0.0
gc59HK,seq18,0.89698,0.04337999999999999,0.21916000000000002,7,1.0,10.0,1.002669438485546,0.0
gc59HK,seq44,1.29845,-0.030250000000000006,0.25686,13,1.0,11.0,1.0005582876988108,0.0
gc59HK,seq19,-3.472,0.05633000000000002,-0.62271,13,1.0,10.0,1.0015175833067296,0.0
gc59HK,seq4,1.07945,-0.23540000000000003,0.33858,4,1.0,8.0,1.0189548366652788,0.0
gc59HK,seq7,0.33741000000000004,-0.051809999999999995,-0.40657,4,1.0,3.0,3.8131471897673626,0.0
gc59HK,seq36,-0.26797999999999994,-0.25923,-0.20416,4,1.0,4.0,2.0348990161046308,0.0
gc59HK,seq20,0.36902,0.05734,-0.53181,4,1.0,3.0,4.5404303305599605,0.1907304136447377
gc59HK,seq31,1.1873,-0.04328000000000001,-0.01930000000000004,4,3.0,4.0,8.418833789200542,3.1372243647336164
gc59HK,seq43,0.84263,-0.2589,-0.17728999999999995,12,1.0,6.0,4.29726227471477,0.0
gc59HK,seq27,1.20968,-0.09252000000000002,-0.20535999999999993,12,3.0,6.0,24.88272620093582,4.790367124517065
gc59HK,seq41,0.36902,0.05734,-0.53181,seq20,1.0,4.0,2.302451531512823,0.0
gc59HK,seq34,-0.8012499999999999,-0.67205,0.0035199999999999676,seq31,1.0,6.0,2.004029972146808,0.0
gc59HK,seq39,1.1869,-0.10737000000000001,0.08055999999999996,seq31,1.0,5.0,3.7292364285149096,0.0
gc59HK,seq17,-2.63167,-0.42294000000000004,2.2103200000000003,seq31,1.0,7.0,1.3693619850727465,0.0
gc59HK,seq40,1.1873,-0.04328000000000001,-0.01930000000000004,seq31,1.0,5.0,3.7292364285149096,0.0
gc59HK,seq9,0.62355,-0.15866000000000002,1.5808399999999998,seq31,1.0,5.0,3.7292364285149096,0.0
gc59HK,seq28,0.9361099999999999,-0.05976000000000002,0.10437999999999993,seq31,1.0,6.0,2.004029972146808,0.0
gc59HK,seq42,1.1873,-0.04328000000000001,-0.01930000000000004,seq31,1.0,5.0,3.7292364285149096,0.0
gc59HK,seq38,1.21658,-0.006640000000000014,-0.02314000000000004,seq31,2.0,6.0,2.194355136074889,0.09497121628585026
gc59HK,seq48,1.20968,-0.09252000000000002,-0.20535999999999993,seq27,1.0,7.0,9.785963968450833,0.0
gc59HK,seq35,0.7172700000000001,-0.1335,-0.3366199999999999,seq27,1.0,9.0,2.189050922176967,0.0
gc59HK,seq32,1.1811500000000001,-0.13992000000000002,-0.2499099999999999,seq27,1.0,8.0,4.232175514866121,0.0
gc59HK,seq3,1.15845,-0.07213,-0.1607099999999999,seq27,1.0,8.0,4.232175514866121,0.0
gc59HK,seq50,0.8124199999999999,-0.13701,-0.33418999999999993,seq27,1.0,10.0,1.4374273887748508,0.0
gc59HK,seq49,1.20968,-0.09252000000000002,-0.20535999999999993,seq27,1.0,9.0,2.189050922176967,0.0
gc59HK,seq26,1.20968,-0.09252000000000002,-0.20535999999999993,seq27,1.0,7.0,9.785963968450833,0.0
gc59HK,seq51,1.22669,-0.11774000000000001,-0.20587999999999995,seq27,1.0,10.0,1.4374273887748508,0.0
gc59HK,seq30,1.20968,-0.09252000000000002,-0.20535999999999993,seq27,1.0,7.0,9.785963968450833,0.0
gc59HK,seq29,0.83386,-0.15828,-0.2923699999999999,seq27,1.0,8.0,4.232175514866121,0.0
gc59HK,5,1.20968,-0.09252000000000002,-0.20535999999999993,seq27,0.0,7.0,11.399768888390657,0.1649101636938989
gc59HK,seq6,1.17472,-0.12411000000000003,-0.24033999999999994,seq27,2.0,9.0,2.379376086105048,0.08694414643347191
gc59HK,seq47,1.33297,-0.08868000000000001,-0.18783999999999995,seq27,1.0,8.0,4.959458655658719,0.17184616711615863
gc59HK,10,1.3928,-0.07413000000000003,-0.23292999999999991,seq27,0.0,7.0,11.648149933037555,0.1902915206504193
gc59HK,14,1.20968,-0.09252000000000002,-0.20535999999999993,seq27,0.0,7.0,11.399768888390657,0.1649101636938989
gc59HK,9,1.09845,-0.10591000000000003,-0.03520999999999998,seq27,0.0,7.0,11.686389831715106,0.19419914781937614
gc59HK,seq22,1.20968,-0.09252000000000002,-0.20535999999999993,seq27,3.0,8.0,4.517663260758242,0.06745649959206676
gc59HK,8,1.20968,-0.09252000000000002,-0.20535999999999993,seq27,0.0,7.0,13.64419923639811,0.3942621575540151
gc59HK,seq10,1.09924,-0.013000000000000025,-0.29096999999999995,seq27,2.0,7.0,13.41785055569789,0.3711322255994372
gc59HK,seq11,1.15153,-0.08722000000000002,-0.33799999999999997,5,1.0,8.0,4.825861166973308,0.0
gc59HK,seq1,1.1467500000000002,-0.21345000000000003,-0.60856,5,1.0,11.0,1.1904784114860556,0.0
gc59HK,seq21,1.3200000000000003,-0.19641000000000003,-0.38875,seq47,1.0,9.0,2.45660343758516,0.0
gc59HK,seq12,1.7419,-0.10794000000000001,-0.32596999999999987,10,1.0,9.0,2.441070387133556,0.0
gc59HK,seq37,1.4799,-0.03458999999999999,-0.050369999999999984,10,1.0,13.0,1.0263941248239865,0.0
gc59HK,seq13,1.20968,-0.09252000000000002,-0.20535999999999993,14,1.0,8.0,4.825861166973308,0.0
gc59HK,seq45,1.19353,-0.14148000000000002,-0.22227999999999992,14,1.0,11.0,1.1904784114860556,0.0
gc59HK,seq14,0.77302,-0.01785000000000001,-0.39624000000000004,9,1.0,10.0,1.5320440211572461,0.0
gc59HK,seq24,-1.6133999999999997,-0.15749000000000002,-0.54812,9,1.0,10.0,1.5320440211572461,0.0
gc59HK,seq25,0.68822,-0.11860000000000001,-0.06047999999999994,8,1.0,9.0,2.7112062849581005,0.0
gc59HK,seq52,1.2185000000000001,-0.12691000000000002,-0.17078999999999994,8,1.0,9.0,2.7112062849581005,0.0
gc59HK,seq15,1.12686,-0.13330000000000003,0.9053100000000002,8,1.0,8.0,5.651540949146515,0.0
gc59HK,seq33,1.2602200000000001,-0.10403000000000001,-0.10787999999999993,8,1.0,8.0,5.651540949146515,0.0
gc59HK,seq23,1.2048400000000001,-0.14562000000000003,-0.13812999999999992,8,1.0,9.0,2.7112062849581005,0.0
gc59HK,seq2,1.3229899999999999,-0.02283000000000003,-0.3261199999999999,seq10,1.0,9.0,2.6805733221453023,0.0
gc59HK,seq16,1.09924,-0.013000000000000025,-0.29096999999999995,seq10,1.0,8.0,5.568271922980625,0.0
gc59HK,seq46,0.2713399999999999,-0.39991,1.19881,seq10,1.0,11.0,1.2274408665524295,0.0
gc59HK,seq53,0.93748,0.055649999999999984,-0.43982000000000004,seq10,1.0,9.0,3.4078564629379002,0.2713162646155647
gc59HK,seq5,0.14334000000000024,-0.0027900000000000147,-0.37292,seq53,1.0,10.0,1.8858008900066405,0.0
gc17HK,naive,0.0,0.0,0.0,,0.0,0.0,6.999540655128582,
gc17HK,seq27,0.77468,-0.048069999999999995,-0.004799999999999999,naive,1.0,4.0,1.1098854201376147,0.0
gc17HK,seq11,0.9111,-0.07639000000000001,0.43101999999999996,naive,2.0,4.0,1.3002105840656957,0.17148181287441594
gc17HK,6,0.89446,0.013659999999999999,0.76252,naive,0.0,2.0,7.335277998048579,3.0482794145248833
gc17HK,3,0.331,-0.00561,-0.27353,naive,0.0,1.0,10.786763377197595,2.3633929724222997
gc17HK,seq30,-2.16755,-0.1258,0.23084,6,1.0,4.0,1.8573866422485852,0.0
gc17HK,seq24,0.88798,-0.019119999999999998,0.8044399999999999,6,1.0,5.0,1.3154149188182689,0.0
gc17HK,seq32,0.762,-0.53633,0.66271,6,3.0,5.0,3.2262852765398624,1.4526749927986713
gc17HK,9,1.71252,0.026589999999999996,0.98259,6,0.0,6.0,3.448819674435428,2.090244224002821
gc17HK,14,0.9534900000000001,-0.04726,1.0864,6,0.0,3.0,6.066759152253758,0.8215112593529293
gc17HK,seq37,0.44103000000000003,0.002589999999999981,-0.93173,3,1.0,7.0,1.0242589610237471,0.0
gc17HK,seq22,1.12382,-0.035609999999999996,-0.36849,3,1.0,4.0,1.4872542573606435,0.0
gc17HK,seq42,-0.09866,-0.20761,0.79386,3,1.0,6.0,1.0659426929281481,0.0
gc17HK,24,0.35005000000000003,-0.01559,-0.19377,3,0.0,3.0,4.629048112989491,0.9914215003870496
gc17HK,10,0.5608299999999999,0.11377,-0.25734999999999997,3,0.0,6.0,4.872819346850527,3.571370843084327
gc17HK,seq3,0.57447,0.05682,-0.43598,3,8.0,3.0,13.988341348366863,5.01779956395847
gc17HK,seq10,0.37854000000000004,-0.79184,0.8993300000000001,seq32,1.0,10.0,1.01500059219817,0.0
gc17HK,seq38,0.762,-0.53633,0.66271,seq32,1.0,6.0,1.8190045834216946,0.0
gc17HK,seq48,1.70363,0.05486,0.40423,9,1.0,9.0,1.849202693344285,0.6482489222497904
gc17HK,seq17,1.671,-0.060250000000000005,1.00801,9,1.0,7.0,3.842382073199632,1.0213803351307347
gc17HK,seq31,0.87832,-0.14196000000000003,0.6679299999999999,14,1.0,11.0,1.0016997083401642,0.0
gc17HK,5,1.79829,-0.10635,0.7244,14,0.0,5.0,8.127574394718799,3.821451020245259
gc17HK,seq63,0.13523000000000002,0.015089999999999992,-0.40531,24,1.0,7.0,1.0664683347473576,0.0
gc17HK,11,1.06354,0.05507999999999999,-0.1043,24,0.0,4.0,4.212702101302957,0.8041147500313716
gc17HK,seq47,0.5608299999999999,0.11377,-0.25734999999999997,10,1.0,7.0,2.424730617077322,0.0
gc17HK,seq59,0.5608299999999999,0.11377,-0.25734999999999997,10,1.0,7.0,2.424730617077322,0.0
gc17HK,seq19,0.5519400000000001,0.14204,-0.8357100000000001,10,1.0,8.0,1.5241291032302495,0.0
gc17HK,seq67,0.5608299999999999,0.11377,-0.25734999999999997,10,1.0,7.0,2.424730617077322,0.0
gc17HK,seq34,0.58341,0.09192,-0.22193,10,1.0,7.0,3.549364547495713,0.4638180928213716
