GC,node,delta_bind,delta_expr,delta_psr,parent,abundance,branch length from naive,LBI,LBR
gc31HK,naive,0.0,0.0,0.0,,0.0,0.0,9.226658190366944,
gc31HK,15,-0.07276,-0.08096,-0.38447,naive,0.0,2.0,4.995467340659648,1.3637592066991104
gc31HK,4,-0.01297,-0.10773,-0.20091,naive,0.0,1.0,6.3940709202883275,0.5880294238800706
gc31HK,5,0.331,-0.00561,-0.27353,naive,0.0,1.0,11.321017013999196,1.811684191589626
gc31HK,6,0.7570100000000001,-0.53565,0.53716,naive,0.0,3.0,8.995503379141471,5.381685155097855
gc31HK,2,0.85566,0.00031,-0.19452,naive,0.0,1.0,7.269718171137671,0.8055048971151637
gc31HK,seq14,0.02777000000000001,-0.00359000000000001,-0.49514,15,1.0,5.0,1.1989226056509894,0.0
gc31HK,seq26,-1.51624,-0.40323,-0.56967,15,1.0,5.0,1.1989226056509894,0.0
gc31HK,seq42,-0.26601,-0.25516000000000005,0.1672599999999999,15,1.0,6.0,1.073179537003253,0.0
gc31HK,seq2,0.7216400000000001,-0.34071999999999997,-0.20558,4,1.0,7.0,1.0133705650347573,0.0
gc31HK,13,0.33589,-0.08362,-0.26722,4,0.0,2.0,4.990488859547968,0.6722097278291062
gc31HK,seq8,1.0162,-0.05767000000000001,-0.09245999999999999,5,1.0,5.0,1.1890360205928907,0.0
gc31HK,seq31,0.83429,0.11971000000000001,-0.4768799999999999,5,1.0,7.0,1.025583243388861,0.0
gc31HK,18,1.19682,0.0402,0.15191,5,0.0,2.0,6.428098648293976,0.34005547064411673
gc31HK,23,0.331,-0.00561,-0.27353,5,0.0,2.0,6.7940757566264045,0.41635013458514775
gc31HK,seq20,1.26883,0.0274,-0.34975999999999996,5,1.0,3.0,5.389907453931126,1.2487952642084228
gc31HK,17,1.19682,0.0402,0.15191,5,0.0,2.0,7.0108802839157,0.46154702852695734
gc31HK,seq51,0.43126000000000003,-1.13099,0.96451,6,1.0,6.0,1.3980726733728037,0.0
gc31HK,seq5,0.7827500000000001,-0.6039,0.6296299999999999,6,1.0,8.0,1.053873277999664,0.0
gc31HK,seq9,0.9873500000000001,-0.53645,0.57041,6,1.0,8.0,1.053873277999664,0.0
gc31HK,seq28,0.71957,-0.52169,0.57725,6,1.0,6.0,1.3980726733728037,0.0
gc31HK,seq34,1.4705,-0.46497999999999995,0.62663,6,1.0,4.0,3.941381315002943,0.0
gc31HK,21,0.79073,-0.56485,0.65212,6,0.0,5.0,5.540732581488953,1.6611606222556015
gc31HK,seq10,1.62628,-0.46558999999999995,0.9923,6,4.0,4.0,6.936894738616495,0.7600161426175827
gc31HK,12,0.85566,0.00031,-0.19452,2,0.0,2.0,5.8136847551225985,0.7582591930293958
gc31HK,8,0.89328,0.012839999999999999,-0.35145,2,0.0,3.0,7.938373911662877,3.2944622268269708
gc31HK,25,0.77569,-0.21956,-0.21419,13,0.0,6.0,2.3373294705981125,1.1781332955410695
gc31HK,seq33,-0.44039,-0.5079800000000001,-0.6125400000000001,13,1.0,10.0,5.820896357315072,4.813114574060192
gc31HK,seq35,1.17818,-0.16365,0.19080999999999998,18,1.0,9.0,1.00494978526463,0.0
gc31HK,seq7,1.24416,0.062229999999999994,0.25121,18,1.0,3.0,2.9968858973578496,0.0
gc31HK,seq41,0.32787000000000005,-0.05138000000000001,0.07688999999999999,23,1.0,8.0,1.0143620778935074,0.0
gc31HK,seq19,1.21163,-0.06111,0.52725,23,1.0,10.0,1.0019436958795842,0.0
gc31HK,seq50,1.16655,-0.04314000000000001,-1.0747399999999998,seq20,1.0,9.0,1.0108814926567957,0.0
gc31HK,seq64,0.6193299999999999,-0.28758999999999996,-0.23842000000000002,seq20,1.0,6.0,1.2185606225374646,0.0
gc31HK,seq30,1.25946,0.10759999999999999,-0.38314999999999994,seq20,1.0,6.0,1.2185606225374646,0.0
gc31HK,29,1.23909,-0.08452,0.27997,17,0.0,4.0,3.395817676185796,0.8725377937762465
gc31HK,22,1.17606,-0.04094000000000001,0.006849999999999967,17,0.0,4.0,3.812337118841754,1.1022169086726454
gc31HK,seq62,0.79073,-0.56485,0.65212,21,1.0,7.0,1.614521330017523,0.0
gc31HK,seq29,0.79073,-0.56485,0.65212,21,1.0,6.0,2.670442164587117,0.0
gc31HK,seq38,0.80774,-0.59007,0.6516,21,1.0,7.0,1.614521330017523,0.0
gc31HK,24,0.79573,-0.5899599999999999,0.71318,21,0.0,6.0,3.934683282244232,0.47342014533109444
gc31HK,seq40,1.62293,-0.48899999999999993,0.9104399999999999,seq10,1.0,5.0,3.1840615187359123,0.0
gc31HK,seq15,1.53818,-0.47224999999999995,0.67428,seq10,1.0,7.0,1.295580584244311,0.0
gc31HK,seq63,1.5888399999999998,-0.45163,1.03239,seq10,1.0,5.0,4.272486153700868,0.3418353032943487
gc31HK,26,0.8448,-0.059090000000000004,-0.362,12,0.0,3.0,4.353189148150687,0.5710631248759647
gc31HK,3,1.22708,0.01661,-0.15463,12,0.0,4.0,4.816128370667669,1.9162827545169454
gc31HK,seq47,0.93332,-0.012950000000000003,-0.35642999999999997,8,1.0,7.0,1.1270807510410312,0.0
gc31HK,seq55,0.8980899999999999,0.07295,-0.37877,8,1.0,5.0,1.9390067985364197,0.0
gc31HK,seq17,0.93702,-0.11760000000000001,-0.62066,8,1.0,8.0,1.0467503956766218,0.0
gc31HK,seq36,0.89328,0.012839999999999999,-0.35145,8,1.0,4.0,4.64673581725954,0.30802400682318615
