Experiment Name,210901 TA PA M3 M4
Specimen Name,M3-4LN
Tube Name,INX_GC67_001
Record Date,"Sep 1, 2021 6:54:29 PM"
Date Analyzed,09/07/2021 17:23

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,503","1,503","1,503",184,184,184,"2,934","2,934","2,934",1,1,1,140,140,140,"1,507","1,507","1,507","5,070","5,070","5,070",68,68,68,"2,235","2,235","2,235"
A2,1,"1,255","1,255","1,255","1,745","1,745","1,745","3,428","3,428","3,428",103,103,103,136,136,136,"2,684","2,684","2,684","3,740","3,740","3,740",241,241,241,"2,749","2,749","2,749"
A3,1,"1,668","1,668","1,668","1,907","1,907","1,907","4,395","4,395","4,395",93,93,93,192,192,192,"2,954","2,954","2,954","8,386","8,386","8,386",75,75,75,"3,208","3,208","3,208"
A4,1,"1,238","1,238","1,238","1,871","1,871","1,871","2,920","2,920","2,920",246,246,246,,-7,-7,"2,773","2,773","2,773","2,760","2,760","2,760",77,77,77,"3,852","3,852","3,852"
A5,1,"1,864","1,864","1,864","5,354","5,354","5,354","3,491","3,491","3,491",124,124,124,83,83,83,"1,773","1,773","1,773","5,782","5,782","5,782",326,326,326,"4,448","4,448","4,448"
A6,1,"1,034","1,034","1,034",673,673,673,"1,666","1,666","1,666",,-35,-35,72,72,72,"1,345","1,345","1,345","5,190","5,190","5,190",55,55,55,"5,383","5,383","5,383"
A7,1,"1,777","1,777","1,777","1,901","1,901","1,901","3,098","3,098","3,098",61,61,61,105,105,105,"7,485","7,485","7,485","5,312","5,312","5,312",85,85,85,"6,654","6,654","6,654"
A8,1,"1,566","1,566","1,566",242,242,242,"1,664","1,664","1,664",52,52,52,174,174,174,"3,723","3,723","3,723","5,646","5,646","5,646",303,303,303,"7,954","7,954","7,954"
A9,1,942,942,942,"1,064","1,064","1,064","2,669","2,669","2,669",,-17,-17,89,89,89,"2,557","2,557","2,557","4,764","4,764","4,764",50,50,50,"8,173","8,173","8,173"
A10,1,"1,115","1,115","1,115",785,785,785,"2,687","2,687","2,687",,-26,-26,3,3,3,"2,647","2,647","2,647","4,665","4,665","4,665",137,137,137,"8,390","8,390","8,390"
A11,1,930,930,930,529,529,529,"2,051","2,051","2,051",,-75,-75,73,73,73,"2,780","2,780","2,780","4,873","4,873","4,873",66,66,66,"9,928","9,928","9,928"
A12,1,"2,219","2,219","2,219","2,883","2,883","2,883","5,210","5,210","5,210",,-218,-218,278,278,278,"4,178","4,178","4,178","5,008","5,008","5,008",171,171,171,"10,869","10,870","10,870"
B1,1,"1,051","1,051","1,051","1,189","1,189","1,189","2,634","2,634","2,634",,-39,-39,510,510,510,"2,858","2,858","2,858","4,435","4,435","4,435",261,261,261,"19,270","19,270","19,270"
B2,1,"1,324","1,324","1,324",947,947,947,"2,544","2,544","2,544",,-5,-5,11,11,11,"2,863","2,863","2,863","4,470","4,470","4,470",89,89,89,"18,319","18,319","18,319"
B3,1,"1,189","1,189","1,189",868,868,868,"3,600","3,600","3,600",81,81,81,30,30,30,"5,025","5,025","5,025","4,459","4,459","4,459",121,121,121,"17,312","17,312","17,312"
B4,1,821,821,821,765,765,765,"1,452","1,452","1,452",103,103,103,81,81,81,"2,030","2,030","2,030","4,056","4,056","4,056",36,36,36,"17,066","17,066","17,066"
B5,1,"1,117","1,117","1,117",278,278,278,"2,252","2,252","2,252",7,7,7,512,512,512,"4,500","4,500","4,500","4,671","4,671","4,671",79,79,79,"16,628","16,628","16,628"
B6,1,"1,400","1,400","1,400","1,089","1,089","1,089","3,184","3,184","3,184",18,18,18,45,45,45,"1,434","1,434","1,434","5,793","5,793","5,793",68,68,68,"16,272","16,272","16,272"
B7,1,"1,204","1,204","1,204","1,389","1,389","1,389","5,552","5,552","5,552",66,66,66,10,10,10,"1,791","1,791","1,791","5,280","5,280","5,280",29,29,29,"15,851","15,851","15,851"
B8,1,833,833,833,"1,115","1,115","1,115","2,524","2,524","2,524",203,203,203,10,10,10,"3,300","3,300","3,300","3,539","3,539","3,539",76,76,76,"15,565","15,566","15,566"
B9,1,578,578,578,"1,764","1,764","1,764","1,809","1,809","1,809",57,57,57,8,8,8,"2,112","2,112","2,112","4,736","4,736","4,736",34,34,34,"13,969","13,969","13,969"
B10,1,"1,475","1,475","1,475","1,667","1,667","1,667","2,504","2,504","2,504",,-3,-3,51,51,51,"1,253","1,253","1,253","4,424","4,424","4,424",70,70,70,"12,737","12,737","12,737"
B11,1,"1,480","1,480","1,480","1,682","1,682","1,682","3,226","3,226","3,226",81,81,81,203,203,203,"2,307","2,307","2,307","3,470","3,470","3,470",156,156,156,"12,017","12,017","12,017"
B12,1,836,836,836,860,860,860,"1,753","1,753","1,753",110,110,110,16,16,16,"3,542","3,542","3,542","5,090","5,090","5,090",23,23,23,"11,396","11,396","11,396"
C1,1,"1,173","1,173","1,173",700,700,700,"1,895","1,895","1,895",,-49,-49,68,68,68,"1,192","1,192","1,192","5,558","5,558","5,558",51,51,51,"20,049","20,049","20,049"
C2,1,"1,526","1,526","1,526","2,433","2,433","2,433","3,573","3,573","3,573",131,131,131,444,444,444,"2,035","2,035","2,035","6,105","6,105","6,105",166,166,166,"20,309","20,309","20,309"
C3,1,775,775,775,583,583,583,"1,880","1,880","1,880",,-17,-17,90,90,90,"3,046","3,046","3,046","5,149","5,149","5,149",133,133,133,"21,346","21,346","21,346"
C4,1,"2,389","2,389","2,389","1,503","1,503","1,503","3,661","3,661","3,661",,-45,-45,808,808,808,"2,352","2,352","2,352","4,763","4,763","4,763",145,145,145,"21,572","21,572","21,572"
