Experiment Name,210902 M5M6 Sort
Specimen Name,M5M6
Tube Name,INX_GC79_001
Record Date,"Sep 2, 2021 2:45:05 PM"
Date Analyzed,09/07/2021 17:42

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events CD138 BV650-A Geo Mean,All Events CD138 BV650-A Mean,All Events CD138 BV650-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
C11,1,"2,297","2,297","2,297",230,230,230,"15,493","15,493","15,493",394,394,394,321,321,321,82,82,82,"8,801","8,801","8,801","7,162","7,162","7,162",208,208,208,"26,194","26,194","26,194"
C12,1,"1,266","1,266","1,266","2,096","2,096","2,096","2,625","2,625","2,625",261,261,261,28,28,28,69,69,69,"5,002","5,002","5,002","2,495","2,495","2,495",138,138,138,"27,091","27,091","27,091"
D1,1,"3,169","3,169","3,169","2,234","2,234","2,234","3,999","3,999","3,999",126,126,126,45,45,45,420,420,420,"7,759","7,759","7,759","4,115","4,115","4,115","1,113","1,113","1,113","35,152","35,152","35,152"
D2,1,"1,154","1,154","1,154","2,450","2,450","2,450","5,255","5,255","5,255",642,642,642,30,30,30,,-85,-85,"2,175","2,175","2,175","11,640","11,640","11,640",150,150,150,"34,813","34,813","34,813"
D3,1,"1,451","1,451","1,451","2,331","2,331","2,331","3,270","3,270","3,270",100,100,100,,-18,-18,251,251,251,"4,282","4,282","4,282","4,790","4,790","4,790",130,130,130,"32,664","32,664","32,664"
D4,1,"1,797","1,797","1,797",681,681,681,"2,371","2,371","2,371",120,120,120,13,13,13,221,221,221,"2,560","2,560","2,560","2,063","2,063","2,063",110,110,110,"32,362","32,362","32,362"
D5,1,"1,429","1,429","1,429","1,700","1,700","1,700","2,792","2,792","2,792",368,368,368,,-25,-25,888,888,888,"6,846","6,846","6,846","4,991","4,991","4,991",323,323,323,"32,007","32,007","32,007"
D6,1,"1,912","1,912","1,912",259,259,259,"2,353","2,353","2,353",208,208,208,57,57,57,399,399,399,"1,405","1,405","1,405","4,782","4,782","4,782",92,92,92,"31,556","31,556","31,556"
D7,1,797,797,797,"1,240","1,240","1,240","2,052","2,052","2,052",36,36,36,29,29,29,356,356,356,"1,260","1,260","1,260","4,286","4,286","4,286",96,96,96,"31,148","31,148","31,148"
D8,1,859,859,859,476,476,476,"1,812","1,812","1,812",97,97,97,28,28,28,106,106,106,"1,828","1,828","1,828","4,886","4,886","4,886",27,27,27,"30,583","30,583","30,583"
D9,1,"1,251","1,251","1,251","2,468","2,468","2,468","2,875","2,875","2,875",26,26,26,81,81,81,458,458,458,"1,600","1,600","1,600","7,837","7,837","7,837",163,163,163,"30,006","30,006","30,006"
D10,1,850,850,850,"1,904","1,904","1,904","2,827","2,827","2,827",,-19,-19,69,69,69,,-16,-16,"1,095","1,095","1,095","9,882","9,882","9,882",92,92,92,"29,101","29,101","29,101"
D11,1,"1,110","1,110","1,110","2,843","2,843","2,843","3,517","3,517","3,517",,-42,-42,,-61,-61,65,65,65,"4,385","4,385","4,385","7,461","7,461","7,461",117,117,117,"28,158","28,158","28,158"
D12,1,"1,619","1,619","1,619","2,793","2,793","2,793","5,688","5,688","5,688",,-39,-39,82,82,82,71,71,71,"5,760","5,760","5,760","2,810","2,810","2,810",158,158,158,"27,789","27,789","27,789"
E1,1,"1,356","1,356","1,356",229,229,229,"3,111","3,111","3,111",,-79,-79,,-20,-20,"1,138","1,138","1,138","6,873","6,873","6,873","3,382","3,382","3,382",178,178,178,"35,460","35,460","35,460"
E2,1,"1,638","1,638","1,638","1,375","1,375","1,375","3,685","3,685","3,685",61,61,61,,-36,-36,122,122,122,"6,354","6,354","6,354","2,670","2,670","2,670",163,163,163,"36,011","36,011","36,011"
E3,1,"1,024","1,024","1,024","1,285","1,285","1,285","2,857","2,857","2,857",331,331,331,,-134,-134,"1,779","1,779","1,779","3,397","3,397","3,397","4,732","4,732","4,732",233,233,233,"36,271","36,271","36,271"
E4,1,"1,721","1,721","1,721",569,569,569,"2,439","2,439","2,439",186,186,186,,-73,-73,260,260,260,"2,251","2,251","2,251","1,210","1,210","1,210",82,82,82,"36,726","36,726","36,726"
E5,1,936,936,936,"1,153","1,153","1,153","2,882","2,882","2,882",11,11,11,164,164,164,224,224,224,"1,446","1,446","1,446","4,800","4,800","4,800",69,69,69,"37,050","37,050","37,050"
E6,1,"1,410","1,410","1,410","2,020","2,020","2,020","3,030","3,030","3,030",40,40,40,,-43,-43,79,79,79,"4,939","4,939","4,939","5,097","5,097","5,097",131,131,131,"37,525","37,525","37,525"
E7,1,979,979,979,10,10,10,"5,523","5,523","5,523",,-50,-50,113,113,113,693,693,693,"2,069","2,069","2,069","2,306","2,306","2,306",43,43,43,"38,501","38,501","38,501"
E8,1,"1,073","1,073","1,073","1,938","1,938","1,938","3,426","3,426","3,426",,-49,-49,79,79,79,620,620,620,"3,936","3,936","3,936","5,984","5,984","5,984",115,115,115,"38,768","38,768","38,768"
E9,1,904,904,904,"1,081","1,081","1,081","3,084","3,084","3,084",,-156,-156,,-59,-59,137,137,137,"1,260","1,260","1,260","5,843","5,843","5,843",65,65,65,"39,134","39,134","39,134"
E10,1,"2,104","2,104","2,104","1,491","1,491","1,491","5,348","5,348","5,348",134,134,134,,-43,-43,417,417,417,"5,933","5,933","5,933","6,479","6,479","6,479",201,201,201,"39,566","39,566","39,566"
E11,1,"1,963","1,963","1,963",636,636,636,"2,781","2,781","2,781",22,22,22,379,379,379,553,553,553,"3,418","3,418","3,418","1,954","1,954","1,954",336,336,336,"39,914","39,914","39,914"
E12,1,"2,346","2,346","2,346","1,158","1,158","1,158","3,187","3,187","3,187",824,824,824,64,64,64,"2,332","2,332","2,332","1,935","1,935","1,935","8,375","8,375","8,375","1,097","1,097","1,097","40,527","40,527","40,527"
F1,1,"1,273","1,273","1,273","1,372","1,372","1,372","1,668","1,668","1,668",,-151,-151,,-13,-13,49,49,49,"2,433","2,433","2,433","2,264","2,264","2,264",3,3,3,"50,044","50,044","50,044"
F2,1,"1,300","1,300","1,300","1,054","1,054","1,054","2,411","2,411","2,411",110,110,110,6,6,6,103,103,103,"3,499","3,499","3,499","1,269","1,269","1,269",44,44,44,"49,107","49,107","49,107"
F3,1,"1,166","1,166","1,166","1,625","1,625","1,625","3,041","3,041","3,041",,-62,-62,59,59,59,107,107,107,"4,942","4,942","4,942","2,535","2,535","2,535",84,84,84,"48,569","48,569","48,569"
F4,1,936,936,936,807,807,807,"2,914","2,914","2,914",358,358,358,64,64,64,276,276,276,"4,551","4,551","4,551","3,395","3,395","3,395",201,201,201,"48,225","48,225","48,225"
F5,1,"1,292","1,292","1,292","1,789","1,789","1,789","2,632","2,632","2,632",111,111,111,79,79,79,204,204,204,"1,202","1,202","1,202","6,952","6,952","6,952",267,267,267,"45,975","45,975","45,975"
F6,1,"2,084","2,084","2,084","2,312","2,312","2,312","3,655","3,655","3,655",223,223,223,121,121,121,100,100,100,"1,916","1,916","1,916","6,521","6,521","6,521",720,720,720,"44,553","44,553","44,553"
F7,1,"1,183","1,183","1,183","4,337","4,337","4,337","2,879","2,879","2,879",181,181,181,,-6,-6,"1,804","1,804","1,804","2,911","2,911","2,911","2,036","2,036","2,036",442,442,442,"43,996","43,996","43,996"
F8,1,"1,123","1,123","1,123",431,431,431,"2,294","2,294","2,294",18,18,18,,-22,-22,339,339,339,"6,294","6,294","6,294","3,716","3,716","3,716",115,115,115,"42,643","42,643","42,643"
F9,1,635,635,635,915,915,915,"2,549","2,549","2,549",,-158,-158,33,33,33,169,169,169,993,993,993,"4,669","4,669","4,669",62,62,62,"42,225","42,225","42,225"
F10,1,"2,981","2,981","2,981","2,576","2,576","2,576","4,374","4,374","4,374",216,216,216,197,197,197,771,771,771,"10,532","10,532","10,532","4,579","4,579","4,579",374,374,374,"41,705","41,705","41,705"
F11,1,795,795,795,"1,275","1,275","1,275","2,551","2,551","2,551",170,170,170,141,141,141,,-21,-21,"1,089","1,089","1,089","2,824","2,824","2,824",84,84,84,"41,369","41,370","41,370"
F12,1,"1,516","1,516","1,516",872,872,872,"2,851","2,851","2,851",187,187,187,,-21,-21,251,251,251,"7,311","7,311","7,311","3,586","3,586","3,586",236,236,236,"41,147","41,147","41,147"
G1,1,844,844,844,270,270,270,"2,342","2,342","2,342",5,5,5,,-71,-71,234,234,234,"2,452","2,452","2,452","1,535","1,535","1,535",44,44,44,"50,359","50,359","50,359"
G2,1,"2,474","2,474","2,474","1,414","1,414","1,414","4,554","4,554","4,554",269,269,269,,-7,-7,232,232,232,"7,181","7,181","7,181","3,436","3,436","3,436",188,188,188,"51,046","51,046","51,046"
G3,1,"1,304","1,304","1,304","1,018","1,018","1,018","2,101","2,101","2,101",166,166,166,,-66,-66,292,292,292,"6,698","6,698","6,698","3,474","3,474","3,474",187,187,187,"51,307","51,307","51,307"
G4,1,"1,428","1,428","1,428",588,588,588,"1,962","1,962","1,962",151,151,151,54,54,54,182,182,182,"2,980","2,980","2,980","2,030","2,030","2,030",42,42,42,"51,670","51,670","51,670"
G5,1,"1,294","1,294","1,294",435,435,435,"2,281","2,281","2,281",189,189,189,74,74,74,61,61,61,"5,954","5,954","5,954","3,748","3,748","3,748",78,78,78,"52,171","52,172","52,172"
G6,1,"1,327","1,327","1,327","3,199","3,199","3,199","3,060","3,060","3,060",45,45,45,24,24,24,149,149,149,"2,040","2,040","2,040","1,248","1,248","1,248",240,240,240,"53,125","53,125","53,125"
G7,1,954,954,954,"4,525","4,525","4,525","6,777","6,777","6,777",20,20,20,21,21,21,504,504,504,"2,163","2,163","2,163","7,281","7,281","7,281",205,205,205,"54,152","54,152","54,152"
G8,1,"1,873","1,873","1,873","1,442","1,442","1,442","3,248","3,248","3,248",19,19,19,,-192,-192,798,798,798,"2,563","2,563","2,563","1,237","1,237","1,237",218,218,218,"55,284","55,284","55,284"
G9,1,778,778,778,"1,462","1,462","1,462","2,736","2,736","2,736",425,425,425,155,155,155,529,529,529,"1,053","1,053","1,053","5,526","5,526","5,526",228,228,228,"55,786","55,786","55,786"
G10,1,"1,270","1,270","1,270","1,621","1,621","1,621","2,872","2,872","2,872",,-131,-131,,-16,-16,122,122,122,"1,016","1,016","1,016","6,916","6,916","6,916",133,133,133,"56,296","56,297","56,297"
G11,1,956,956,956,328,328,328,"3,536","3,536","3,536",135,135,135,6,6,6,108,108,108,"2,225","2,225","2,225","6,285","6,285","6,285",44,44,44,"58,138","58,138","58,138"
G12,1,"1,109","1,109","1,109","1,041","1,041","1,041","2,303","2,303","2,303",54,54,54,15,15,15,273,273,273,"3,887","3,887","3,887","5,066","5,066","5,066",212,212,212,"58,424","58,425","58,425"
H1,1,"1,364","1,364","1,364","2,668","2,668","2,668","5,917","5,917","5,917",614,614,614,,-49,-49,231,231,231,"1,661","1,661","1,661","5,203","5,203","5,203",68,68,68,"66,342","66,342","66,342"
H2,1,925,925,925,952,952,952,"2,159","2,159","2,159",,-176,-176,53,53,53,210,210,210,"2,201","2,201","2,201","6,836","6,836","6,836",66,66,66,"65,918","65,918","65,918"
H3,1,"1,168","1,168","1,168",263,263,263,"3,555","3,555","3,555",89,89,89,88,88,88,249,249,249,"1,414","1,414","1,414","8,259","8,259","8,259",98,98,98,"65,517","65,517","65,517"
H4,1,"1,375","1,375","1,375",735,735,735,"2,919","2,919","2,919",,-68,-68,,-167,-167,86,86,86,"7,335","7,335","7,335","4,839","4,839","4,839",69,69,69,"64,713","64,713","64,713"
H5,1,"1,744","1,744","1,744","1,534","1,534","1,534","8,117","8,117","8,117",,-85,-85,66,66,66,267,267,267,946,946,946,"6,605","6,605","6,605",101,101,101,"63,981","63,981","63,981"
H6,1,783,783,783,"1,670","1,670","1,670","2,659","2,659","2,659",,-100,-100,127,127,127,109,109,109,"1,457","1,457","1,457","9,322","9,322","9,322",110,110,110,"62,999","62,999","62,999"
H7,1,"1,790","1,790","1,790","1,867","1,867","1,867","3,132","3,132","3,132",150,150,150,,-53,-53,212,212,212,"6,605","6,605","6,605","2,847","2,847","2,847",106,106,106,"62,701","62,701","62,701"
H8,1,"1,880","1,880","1,880",904,904,904,"2,770","2,770","2,770",,-78,-78,,-91,-91,37,37,37,"2,970","2,970","2,970","1,750","1,750","1,750",49,49,49,"62,377","62,377","62,377"
H9,1,"1,957","1,957","1,957","2,402","2,402","2,402","3,504","3,504","3,504",,-175,-175,,-5,-5,120,120,120,"7,121","7,121","7,121","4,934","4,934","4,934",331,331,331,"61,794","61,794","61,794"
H10,1,983,983,983,588,588,588,"2,219","2,219","2,219",102,102,102,34,34,34,108,108,108,"1,145","1,145","1,145","8,342","8,342","8,342",60,60,60,"61,195","61,195","61,195"
H11,1,753,753,753,999,999,999,"1,402","1,402","1,402",,-144,-144,73,73,73,180,180,180,"2,179","2,179","2,179","9,218","9,218","9,218",55,55,55,"59,620","59,621","59,621"
H12,1,"1,221","1,221","1,221","3,110","3,110","3,110","2,387","2,387","2,387",,-113,-113,400,400,400,167,167,167,"8,019","8,019","8,019","4,094","4,094","4,094",89,89,89,"58,903","58,904","58,904"

