Experiment Name,210902 M5M6 Sort
Specimen Name,M5M6
Tube Name,INX_GC79_001
Record Date,"Sep 2, 2021 2:45:05 PM"
Date Analyzed,09/07/2021 17:42

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events CD138 BV650-A Geo Mean,All Events CD138 BV650-A Mean,All Events CD138 BV650-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,444","1,444","1,444",451,451,451,"1,839","1,839","1,839",120,120,120,,-94,-94,167,167,167,"1,862","1,862","1,862","1,552","1,552","1,552",81,81,81,"1,944","1,944","1,944"
A2,1,"1,064","1,064","1,064","1,682","1,682","1,682","1,741","1,741","1,741",78,78,78,,-17,-17,36,36,36,"1,703","1,703","1,703","6,357","6,357","6,357",62,62,62,"2,857","2,857","2,857"
A3,1,"1,910","1,910","1,910","4,779","4,779","4,779","5,889","5,889","5,889",47,47,47,98,98,98,598,598,598,"5,966","5,966","5,966","6,076","6,076","6,076",459,459,459,"4,592","4,592","4,592"
A4,1,859,859,859,"1,061","1,061","1,061","2,655","2,655","2,655",366,366,366,114,114,114,157,157,157,"4,787","4,787","4,787","3,390","3,390","3,390",151,151,151,"5,546","5,546","5,546"
A5,1,"1,371","1,371","1,371","3,117","3,117","3,117","1,512","1,512","1,512",,-160,-160,,-75,-75,310,310,310,"2,733","2,733","2,733","1,588","1,588","1,588",256,256,256,"7,009","7,009","7,009"
A6,1,"3,701","3,701","3,701","3,154","3,154","3,154","8,720","8,720","8,720","1,136","1,136","1,136",,-92,-92,895,895,895,"1,196","1,196","1,196","13,906","13,906","13,906",556,556,556,"7,976","7,977","7,977"
A7,1,"1,207","1,207","1,207","1,011","1,011","1,011","3,212","3,212","3,212",121,121,121,117,117,117,,-6,-6,"2,505","2,505","2,505","6,061","6,061","6,061",29,29,29,"8,942","8,943","8,943"
A8,1,"1,235","1,235","1,235","1,735","1,735","1,735","1,483","1,483","1,483",22,22,22,84,84,84,40,40,40,"3,081","3,081","3,081","1,492","1,492","1,492",192,192,192,"10,180","10,181","10,181"
A9,1,"1,885","1,885","1,885","1,235","1,235","1,235","3,538","3,538","3,538",,-200,-200,110,110,110,347,347,347,"3,289","3,289","3,289","8,993","8,993","8,993",46,46,46,"10,980","10,981","10,981"
A10,1,681,681,681,"1,388","1,388","1,388","4,292","4,292","4,292",399,399,399,176,176,176,146,146,146,"1,916","1,916","1,916","4,191","4,191","4,191",88,88,88,"11,372","11,372","11,372"
A11,1,"2,311","2,311","2,311","2,341","2,341","2,341","9,697","9,697","9,697",,-116,-116,279,279,279,704,704,704,"6,860","6,860","6,860","2,968","2,968","2,968",113,113,113,"11,692","11,692","11,692"
A12,1,"1,089","1,089","1,089","1,519","1,519","1,519","1,925","1,925","1,925",223,223,223,65,65,65,239,239,239,"6,371","6,371","6,371","2,600","2,600","2,600",286,286,286,"11,969","11,969","11,969"
B1,1,849,849,849,"1,957","1,957","1,957","2,372","2,372","2,372",,-164,-164,,-2,-2,56,56,56,"4,909","4,909","4,909","6,016","6,016","6,016",127,127,127,"19,144","19,144","19,144"
B2,1,889,889,889,723,723,723,"1,495","1,495","1,495",98,98,98,10,10,10,645,645,645,"1,001","1,001","1,001","7,289","7,289","7,289",88,88,88,"18,723","18,724","18,724"
B3,1,"2,083","2,083","2,083","1,211","1,211","1,211","3,482","3,482","3,482",313,313,313,,-54,-54,885,885,885,"9,652","9,652","9,652","4,468","4,468","4,468",243,243,243,"18,118","18,118","18,118"
B4,1,"1,828","1,828","1,828","1,734","1,734","1,734","4,430","4,430","4,430",158,158,158,,-14,-14,214,214,214,"8,376","8,376","8,376","3,986","3,986","3,986",121,121,121,"17,881","17,881","17,881"
B5,1,"1,485","1,485","1,485","1,575","1,575","1,575","2,079","2,079","2,079",88,88,88,,-3,-3,131,131,131,"1,519","1,519","1,519","6,485","6,485","6,485",307,307,307,"17,472","17,472","17,472"
B6,1,"1,128","1,128","1,128","1,225","1,225","1,225","2,202","2,202","2,202",49,49,49,26,26,26,109,109,109,954,954,954,"7,232","7,232","7,232",74,74,74,"16,118","16,118","16,118"
B7,1,815,815,815,"1,053","1,053","1,053","1,653","1,653","1,653",,-12,-12,60,60,60,69,69,69,"6,822","6,822","6,822","4,375","4,375","4,375",137,137,137,"15,535","15,535","15,535"
B8,1,"2,343","2,343","2,343","6,494","6,494","6,494","2,899","2,899","2,899",,-85,-85,71,71,71,387,387,387,930,930,930,"3,317","3,317","3,317",570,570,570,"15,076","15,076","15,076"
B9,1,859,859,859,998,998,998,"3,049","3,049","3,049",,-152,-152,,-149,-149,433,433,433,"7,927","7,927","7,927","4,065","4,065","4,065",176,176,176,"14,793","14,793","14,793"
B10,1,646,646,646,"2,074","2,074","2,074","1,823","1,823","1,823",88,88,88,10,10,10,422,422,422,"2,501","2,501","2,501","7,659","7,659","7,659",65,65,65,"14,455","14,455","14,455"
B11,1,"1,084","1,084","1,084","2,629","2,629","2,629","4,875","4,875","4,875",323,323,323,,-60,-60,116,116,116,949,949,949,"6,643","6,643","6,643",141,141,141,"14,003","14,004","14,004"
B12,1,"1,739","1,739","1,739","2,658","2,658","2,658","3,778","3,778","3,778",198,198,198,13,13,13,288,288,288,"2,397","2,397","2,397","7,980","7,980","7,980",201,201,201,"13,124","13,124","13,124"
C1,1,"1,713","1,713","1,713","1,748","1,748","1,748","2,347","2,347","2,347",,-196,-196,,-67,-67,338,338,338,"1,590","1,590","1,590","2,543","2,543","2,543",371,371,371,"19,458","19,458","19,458"
C2,1,"1,020","1,020","1,020","1,224","1,224","1,224","2,221","2,221","2,221",110,110,110,,-48,-48,84,84,84,"4,091","4,091","4,091","5,377","5,377","5,377",107,107,107,"19,946","19,946","19,946"
C3,1,"1,390","1,390","1,390","2,251","2,251","2,251","5,496","5,496","5,496",226,226,226,,-64,-64,"2,401","2,401","2,401","2,454","2,454","2,454","6,012","6,012","6,012",438,438,438,"20,184","20,184","20,184"
C4,1,913,913,913,"1,375","1,375","1,375","2,687","2,687","2,687",,-109,-109,8,8,8,285,285,285,"2,213","2,213","2,213","5,176","5,176","5,176",109,109,109,"20,478","20,478","20,478"
C5,1,994,994,994,"1,706","1,706","1,706","3,702","3,702","3,702",,-96,-96,5,5,5,99,99,99,"4,461","4,461","4,461","4,631","4,631","4,631",30,30,30,"21,237","21,237","21,237"
C6,1,"1,483","1,483","1,483","1,711","1,711","1,711","3,458","3,458","3,458",83,83,83,2,2,2,13,13,13,"1,674","1,674","1,674","6,377","6,377","6,377",81,81,81,"23,602","23,602","23,602"
C7,1,765,765,765,"3,036","3,036","3,036","2,299","2,299","2,299",,-147,-147,,-62,-62,59,59,59,"1,619","1,619","1,619","5,260","5,260","5,260",136,136,136,"24,423","24,424","24,424"
C8,1,"1,472","1,472","1,472","1,353","1,353","1,353","3,866","3,866","3,866",,-23,-23,105,105,105,170,170,170,"2,766","2,766","2,766","1,465","1,465","1,465",123,123,123,"24,909","24,909","24,909"
C9,1,"1,033","1,033","1,033",908,908,908,"1,633","1,633","1,633",,-39,-39,,-15,-15,280,280,280,"2,401","2,401","2,401","3,769","3,769","3,769",218,218,218,"25,355","25,355","25,355"
C10,1,"2,308","2,308","2,308","3,001","3,001","3,001","6,741","6,741","6,741",,-13,-13,81,81,81,453,453,453,"6,611","6,611","6,611","3,735","3,735","3,735",246,246,246,"25,611","25,611","25,611"
