Experiment Name,210902 M5M6 Sort
Specimen Name,M5M6
Tube Name,INX_GC81_001
Record Date,"Sep 2, 2021 3:05:19 PM"
Date Analyzed,09/07/2021 17:45

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events CD138 BV650-A Geo Mean,All Events CD138 BV650-A Mean,All Events CD138 BV650-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
B9,1,"1,159","1,159","1,159","2,129","2,129","2,129","2,776","2,776","2,776",91,91,91,,-66,-66,491,491,491,"1,124","1,124","1,124","3,579","3,579","3,579",162,162,162,"7,415","7,415","7,415"
B10,1,"3,367","3,367","3,367","4,000","4,000","4,000","6,129","6,129","6,129",231,231,231,222,222,222,"1,640","1,640","1,640","2,515","2,515","2,515","2,620","2,620","2,620","1,055","1,055","1,055","7,082","7,082","7,082"
B11,1,"1,290","1,290","1,290",784,784,784,"3,865","3,865","3,865",29,29,29,159,159,159,877,877,877,"1,811","1,811","1,811","4,186","4,186","4,186",276,276,276,"6,579","6,579","6,579"
B12,1,"1,168","1,168","1,168","1,386","1,386","1,386","2,217","2,217","2,217",10,10,10,103,103,103,818,818,818,"1,904","1,904","1,904","3,094","3,094","3,094",226,226,226,"6,297","6,297","6,297"
C1,1,"1,664","1,664","1,664","2,122","2,122","2,122","4,675","4,675","4,675",,-23,-23,137,137,137,126,126,126,"1,607","1,607","1,607","2,251","2,251","2,251",228,228,228,"10,953","10,953","10,953"
C2,1,"2,701","2,701","2,701","7,432","7,432","7,432","4,929","4,929","4,929",,-420,-420,,-22,-22,"1,000","1,000","1,000","2,067","2,067","2,067","4,091","4,091","4,091",710,710,710,"11,224","11,224","11,224"
C3,1,"1,418","1,418","1,418","5,887","5,887","5,887","7,143","7,143","7,143",,-3,-3,,-213,-213,506,506,506,"2,560","2,560","2,560","2,510","2,510","2,510",361,361,361,"11,589","11,589","11,589"
C4,1,850,850,850,134,134,134,"2,382","2,382","2,382",58,58,58,5,5,5,45,45,45,"2,395","2,395","2,395","3,144","3,144","3,144",54,54,54,"11,933","11,933","11,933"
C5,1,"1,220","1,220","1,220","1,006","1,006","1,006","2,472","2,472","2,472",30,30,30,,-39,-39,59,59,59,"1,165","1,165","1,165","3,820","3,820","3,820",110,110,110,"12,220","12,220","12,220"
C6,1,"1,463","1,463","1,463","3,900","3,900","3,900","5,389","5,389","5,389",,-37,-37,148,148,148,6,6,6,"1,898","1,898","1,898","4,188","4,188","4,188",184,184,184,"12,811","12,811","12,811"
C7,1,"3,551","3,551","3,551","6,233","6,233","6,233","8,096","8,096","8,096",,-121,-121,395,395,395,731,731,731,"2,545","2,545","2,545","4,069","4,069","4,069",447,447,447,"13,078","13,078","13,078"
C8,1,"1,043","1,043","1,043",729,729,729,"2,906","2,906","2,906",43,43,43,72,72,72,18,18,18,"2,467","2,467","2,467","2,893","2,893","2,893",69,69,69,"13,457","13,457","13,457"
C9,1,"1,574","1,574","1,574","1,914","1,914","1,914","2,378","2,378","2,378",56,56,56,23,23,23,239,239,239,"1,858","1,858","1,858","3,069","3,069","3,069",171,171,171,"13,741","13,741","13,741"
C10,1,"1,166","1,166","1,166","2,160","2,160","2,160","9,296","9,296","9,296",176,176,176,125,125,125,67,67,67,950,950,950,"4,098","4,098","4,098",132,132,132,"14,074","14,074","14,074"
C11,1,"1,175","1,175","1,175","1,851","1,851","1,851","3,711","3,711","3,711",32,32,32,45,45,45,,-53,-53,"1,960","1,960","1,960","2,341","2,341","2,341",33,33,33,"14,282","14,283","14,283"
C12,1,"1,761","1,761","1,761","1,764","1,764","1,764","3,025","3,025","3,025",158,158,158,,-8,-8,226,226,226,"1,039","1,039","1,039","2,744","2,744","2,744",176,176,176,"14,588","14,588","14,588"
D1,1,904,904,904,872,872,872,"2,735","2,735","2,735",196,196,196,75,75,75,92,92,92,"1,525","1,525","1,525","2,831","2,831","2,831",80,80,80,"18,381","18,381","18,381"
D2,1,"1,233","1,233","1,233","1,392","1,392","1,392","2,235","2,235","2,235",88,88,88,,-38,-38,168,168,168,"2,463","2,463","2,463","2,138","2,138","2,138",316,316,316,"18,052","18,052","18,052"
D3,1,"1,868","1,868","1,868","3,357","3,357","3,357","4,612","4,612","4,612",560,560,560,321,321,321,684,684,684,"1,181","1,181","1,181","3,408","3,408","3,408",384,384,384,"17,680","17,680","17,680"
D4,1,"1,544","1,544","1,544","1,679","1,679","1,679","4,298","4,298","4,298",,-165,-165,217,217,217,294,294,294,"1,689","1,689","1,689","1,927","1,927","1,927",126,126,126,"17,382","17,382","17,382"
D5,1,"1,225","1,225","1,225","2,315","2,315","2,315","2,663","2,663","2,663",23,23,23,49,49,49,138,138,138,"2,295","2,295","2,295","2,067","2,067","2,067",127,127,127,"17,041","17,041","17,041"
D6,1,"1,503","1,503","1,503","2,496","2,496","2,496","5,850","5,850","5,850",24,24,24,,-30,-30,197,197,197,"1,976","1,976","1,976","3,959","3,959","3,959",115,115,115,"16,628","16,629","16,629"
D7,1,918,918,918,"2,347","2,347","2,347","2,427","2,427","2,427",380,380,380,79,79,79,"1,323","1,323","1,323",965,965,965,"3,897","3,897","3,897",269,269,269,"16,275","16,276","16,276"
D8,1,"1,664","1,664","1,664","3,220","3,220","3,220","4,802","4,802","4,802",57,57,57,90,90,90,136,136,136,"3,839","3,839","3,839","3,555","3,555","3,555",158,158,158,"15,992","15,992","15,992"
D9,1,"2,122","2,122","2,122","2,749","2,749","2,749","8,208","8,208","8,208",226,226,226,185,185,185,74,74,74,"1,794","1,794","1,794","3,101","3,101","3,101",99,99,99,"15,775","15,775","15,775"
D10,1,"1,516","1,516","1,516","2,057","2,057","2,057","2,403","2,403","2,403",,-18,-18,,-116,-116,164,164,164,"1,940","1,940","1,940","2,517","2,517","2,517",128,128,128,"15,551","15,551","15,551"
D11,1,"1,554","1,554","1,554","2,069","2,069","2,069","4,785","4,785","4,785",234,234,234,161,161,161,"1,136","1,136","1,136","2,259","2,259","2,259","3,536","3,536","3,536",260,260,260,"15,280","15,280","15,280"
D12,1,"1,605","1,605","1,605","1,624","1,624","1,624","3,676","3,676","3,676",21,21,21,71,71,71,586,586,586,"1,568","1,568","1,568","2,679","2,679","2,679",185,185,185,"14,883","14,883","14,883"
E1,1,"2,581","2,581","2,581","4,896","4,896","4,896","4,578","4,578","4,578",7,7,7,98,98,98,"1,100","1,100","1,100",947,947,947,"3,758","3,758","3,758",631,631,631,"18,733","18,733","18,733"
E2,1,"1,158","1,158","1,158","1,897","1,897","1,897","2,659","2,659","2,659",78,78,78,,-110,-110,305,305,305,941,941,941,"2,803","2,803","2,803",142,142,142,"19,087","19,087","19,087"
E3,1,"1,310","1,310","1,310",986,986,986,"1,987","1,987","1,987",,-93,-93,138,138,138,388,388,388,"1,336","1,336","1,336","2,924","2,924","2,924",96,96,96,"19,326","19,326","19,326"
E4,1,"2,172","2,172","2,172","4,288","4,288","4,288","5,818","5,818","5,818",97,97,97,97,97,97,57,57,57,930,930,930,"3,821","3,821","3,821",197,197,197,"19,702","19,702","19,702"
E5,1,"1,295","1,295","1,295","2,101","2,101","2,101","3,502","3,502","3,502",155,155,155,,-57,-57,"1,649","1,649","1,649","1,055","1,055","1,055","3,598","3,598","3,598",337,337,337,"20,145","20,145","20,145"
E6,1,957,957,957,"1,619","1,619","1,619","2,321","2,321","2,321",8,8,8,8,8,8,421,421,421,"2,009","2,009","2,009","2,520","2,520","2,520",235,235,235,"20,430","20,430","20,430"
E7,1,"1,569","1,569","1,569","2,788","2,788","2,788","1,747","1,747","1,747",45,45,45,,-13,-13,254,254,254,"2,701","2,701","2,701","3,777","3,777","3,777",196,196,196,"20,647","20,647","20,647"
E8,1,"1,834","1,834","1,834","2,429","2,429","2,429","4,363","4,363","4,363",47,47,47,69,69,69,153,153,153,"2,159","2,159","2,159","2,995","2,995","2,995",77,77,77,"20,885","20,885","20,885"
E9,1,"3,465","3,465","3,465","4,616","4,616","4,616","3,138","3,138","3,138",10,10,10,,-198,-198,339,339,339,"2,979","2,979","2,979","2,427","2,427","2,427",913,913,913,"21,334","21,334","21,334"
E10,1,988,988,988,915,915,915,"2,246","2,246","2,246",,-7,-7,13,13,13,401,401,401,"1,650","1,650","1,650","2,094","2,094","2,094",171,171,171,"21,650","21,650","21,650"
E11,1,"1,367","1,367","1,367",642,642,642,"4,079","4,079","4,079",22,22,22,,-130,-130,399,399,399,"1,322","1,322","1,322","2,699","2,699","2,699",108,108,108,"22,231","22,231","22,231"
E12,1,"1,427","1,427","1,427","1,653","1,653","1,653","2,879","2,879","2,879",241,241,241,22,22,22,59,59,59,"1,696","1,696","1,696","2,395","2,395","2,395",110,110,110,"22,638","22,638","22,638"
F1,1,"1,549","1,549","1,549","3,287","3,287","3,287","3,072","3,072","3,072",,-142,-142,,-76,-76,137,137,137,998,998,998,"4,911","4,911","4,911",174,174,174,"27,044","27,044","27,044"
F2,1,"1,100","1,100","1,100","1,876","1,876","1,876","2,707","2,707","2,707",8,8,8,45,45,45,130,130,130,"2,033","2,033","2,033","2,060","2,060","2,060",134,134,134,"26,727","26,727","26,727"
F3,1,"1,428","1,428","1,428","4,717","4,717","4,717","5,782","5,782","5,782",553,553,553,,-38,-38,106,106,106,985,985,985,"4,170","4,170","4,170",299,299,299,"26,513","26,513","26,513"
F4,1,"3,042","3,042","3,042","5,109","5,109","5,109","4,183","4,183","4,183",21,21,21,226,226,226,"1,520","1,520","1,520","1,441","1,441","1,441","4,170","4,170","4,170","1,071","1,071","1,071","26,139","26,140","26,140"
F5,1,"2,189","2,189","2,189","3,934","3,934","3,934","4,731","4,731","4,731",,-430,-430,160,160,160,"1,154","1,154","1,154","4,067","4,067","4,067","6,111","6,111","6,111",706,706,706,"25,310","25,310","25,310"
F6,1,"1,991","1,991","1,991","2,781","2,781","2,781","3,965","3,965","3,965",92,92,92,32,32,32,518,518,518,"2,579","2,579","2,579","1,514","1,514","1,514",278,278,278,"24,960","24,961","24,961"
F7,1,"1,203","1,203","1,203","2,465","2,465","2,465","2,126","2,126","2,126",,-119,-119,,-139,-139,208,208,208,"1,484","1,484","1,484","2,666","2,666","2,666",99,99,99,"24,688","24,688","24,688"
F8,1,"1,558","1,558","1,558","4,939","4,939","4,939","1,959","1,959","1,959",,-156,-156,93,93,93,398,398,398,"1,591","1,591","1,591","2,827","2,827","2,827",584,584,584,"24,157","24,157","24,157"
F9,1,"1,205","1,205","1,205","3,012","3,012","3,012","2,197","2,197","2,197",,-143,-143,13,13,13,45,45,45,"1,514","1,514","1,514","2,064","2,064","2,064",153,153,153,"23,916","23,916","23,916"
F10,1,"1,634","1,634","1,634","3,618","3,618","3,618","4,292","4,292","4,292",,-338,-338,36,36,36,477,477,477,"1,403","1,403","1,403","2,536","2,536","2,536",246,246,246,"23,706","23,706","23,706"
F11,1,930,930,930,"4,785","4,785","4,785","1,513","1,513","1,513",,-137,-137,90,90,90,191,191,191,"1,093","1,093","1,093","3,654","3,654","3,654",225,225,225,"23,459","23,459","23,459"
F12,1,"1,579","1,579","1,579","2,384","2,384","2,384","6,022","6,022","6,022",15,15,15,105,105,105,168,168,168,"1,361","1,361","1,361","2,203","2,203","2,203",222,222,222,"23,242","23,242","23,242"
G1,1,"1,159","1,159","1,159","1,031","1,031","1,031","3,666","3,666","3,666",73,73,73,117,117,117,575,575,575,"1,634","1,634","1,634","2,211","2,211","2,211",288,288,288,"27,905","27,905","27,905"
G2,1,"1,730","1,730","1,730","1,982","1,982","1,982","5,007","5,007","5,007",68,68,68,61,61,61,"1,294","1,294","1,294","3,517","3,517","3,517","3,944","3,944","3,944",284,284,284,"28,137","28,137","28,137"
G3,1,"2,398","2,398","2,398","3,554","3,554","3,554","4,516","4,516","4,516",,-206,-206,107,107,107,249,249,249,"1,447","1,447","1,447","3,218","3,218","3,218",254,254,254,"28,406","28,406","28,406"
G4,1,"2,728","2,728","2,728","4,877","4,877","4,877","6,156","6,156","6,156",,-60,-60,,-6,-6,431,431,431,"1,375","1,375","1,375","4,746","4,746","4,746",390,390,390,"28,702","28,702","28,702"
G5,1,"2,678","2,678","2,678","4,318","4,318","4,318","5,864","5,864","5,864",523,523,523,176,176,176,468,468,468,"2,246","2,246","2,246","2,675","2,675","2,675",422,422,422,"29,006","29,006","29,006"
G6,1,"1,826","1,826","1,826","3,061","3,061","3,061","4,289","4,289","4,289",136,136,136,86,86,86,459,459,459,"2,160","2,160","2,160","2,172","2,172","2,172",404,404,404,"29,272","29,272","29,272"
G7,1,"1,861","1,861","1,861","2,328","2,328","2,328","4,456","4,456","4,456",295,295,295,88,88,88,"1,564","1,564","1,564","1,886","1,886","1,886","5,401","5,401","5,401",524,524,524,"29,682","29,682","29,682"
G8,1,"1,754","1,754","1,754",896,896,896,"4,457","4,457","4,457",,-39,-39,2,2,2,254,254,254,"1,248","1,248","1,248","3,710","3,710","3,710",100,100,100,"30,162","30,162","30,162"
G9,1,"1,387","1,387","1,387","4,058","4,058","4,058","4,983","4,983","4,983",,-15,-15,,-164,-164,510,510,510,"1,368","1,368","1,368","2,057","2,057","2,057",218,218,218,"30,424","30,424","30,424"
G10,1,"1,958","1,958","1,958",437,437,437,"4,240","4,240","4,240",169,169,169,,-15,-15,75,75,75,"1,619","1,619","1,619","1,972","1,972","1,972",106,106,106,"30,706","30,706","30,706"
G11,1,"2,803","2,803","2,803","7,318","7,318","7,318","7,153","7,153","7,153",97,97,97,64,64,64,575,575,575,"1,688","1,688","1,688","2,448","2,448","2,448",584,584,584,"31,042","31,042","31,042"
G12,1,"1,249","1,249","1,249","3,787","3,787","3,787","2,063","2,063","2,063",175,175,175,,-83,-83,407,407,407,"2,782","2,782","2,782","2,960","2,960","2,960",267,267,267,"31,311","31,311","31,311"
H1,1,"1,671","1,671","1,671","3,460","3,460","3,460","2,779","2,779","2,779",,-225,-225,26,26,26,"1,431","1,431","1,431","2,029","2,029","2,029","3,289","3,289","3,289",266,266,266,"36,288","36,289","36,289"
H2,1,"1,109","1,109","1,109","5,582","5,582","5,582","3,652","3,652","3,652",587,587,587,28,28,28,939,939,939,"3,109","3,109","3,109","4,785","4,785","4,785",342,342,342,"35,761","35,761","35,761"
H3,1,"2,574","2,574","2,574","2,414","2,414","2,414","5,243","5,243","5,243",289,289,289,83,83,83,537,537,537,"3,050","3,050","3,050","5,822","5,822","5,822",411,411,411,"35,406","35,406","35,406"
H4,1,"1,458","1,458","1,458","4,482","4,482","4,482","1,792","1,792","1,792",104,104,104,,-56,-56,317,317,317,"2,192","2,192","2,192","2,335","2,335","2,335",300,300,300,"34,960","34,960","34,960"
H5,1,"1,585","1,585","1,585",353,353,353,"2,503","2,503","2,503",161,161,161,35,35,35,,-23,-23,"2,279","2,279","2,279","2,062","2,062","2,062",8,8,8,"34,524","34,525","34,525"
H6,1,"2,065","2,065","2,065","3,922","3,922","3,922","5,389","5,389","5,389",80,80,80,38,38,38,119,119,119,"2,770","2,770","2,770","3,504","3,504","3,504",182,182,182,"34,258","34,258","34,258"
H7,1,"1,402","1,402","1,402","2,555","2,555","2,555","4,418","4,418","4,418",,-84,-84,,-183,-183,197,197,197,"2,360","2,360","2,360","1,934","1,934","1,934",154,154,154,"33,882","33,882","33,882"
H8,1,"1,514","1,514","1,514","4,815","4,815","4,815","3,073","3,073","3,073",59,59,59,,-12,-12,291,291,291,"1,012","1,012","1,012","3,883","3,883","3,883",247,247,247,"33,191","33,191","33,191"
H9,1,"1,062","1,062","1,062",619,619,619,"2,377","2,377","2,377",155,155,155,,-50,-50,86,86,86,"1,386","1,386","1,386","2,656","2,656","2,656",118,118,118,"32,855","32,855","32,855"
H10,1,"2,245","2,245","2,245",942,942,942,"3,425","3,425","3,425",189,189,189,170,170,170,426,426,426,"3,387","3,387","3,387","2,480","2,480","2,480",267,267,267,"32,309","32,309","32,309"
H11,1,"2,006","2,006","2,006","10,278","10,278","10,278","4,480","4,480","4,480",,-255,-255,76,76,76,501,501,501,"2,236","2,236","2,236","2,837","2,837","2,837",381,381,381,"32,021","32,021","32,021"
H12,1,"1,787","1,787","1,787","1,466","1,466","1,466","4,401","4,401","4,401",,-105,-105,78,78,78,571,571,571,"3,038","3,038","3,038","4,874","4,874","4,874",161,161,161,"31,693","31,693","31,693"

