Experiment Name,210902 M5M6 Sort
Specimen Name,M5M6
Tube Name,INX_GC81_001
Record Date,"Sep 2, 2021 3:05:19 PM"
Date Analyzed,09/07/2021 17:45

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events CD138 BV650-A Geo Mean,All Events CD138 BV650-A Mean,All Events CD138 BV650-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,915","1,915","1,915","2,711","2,711","2,711","2,478","2,478","2,478",100,100,100,,-42,-42,136,136,136,"1,525","1,525","1,525","3,069","3,069","3,069",198,198,198,"1,109","1,109","1,109"
A2,1,934,934,934,"1,538","1,538","1,538","2,545","2,545","2,545",,-61,-61,,-3,-3,120,120,120,"1,478","1,478","1,478","1,964","1,964","1,964",90,90,90,"1,487","1,487","1,487"
A3,1,"2,871","2,871","2,871","6,703","6,703","6,703","3,612","3,612","3,612",,-104,-104,157,157,157,672,672,672,"3,188","3,188","3,188","2,616","2,616","2,616",389,389,389,"1,833","1,834","1,834"
A4,1,"1,613","1,613","1,613","3,223","3,223","3,223","3,495","3,495","3,495",,-179,-179,128,128,128,121,121,121,"1,826","1,826","1,826","2,981","2,981","2,981",108,108,108,"2,159","2,159","2,159"
A5,1,"2,481","2,481","2,481","5,584","5,584","5,584","3,312","3,312","3,312",,-18,-18,42,42,42,983,983,983,"1,803","1,803","1,803","2,989","2,989","2,989",535,535,535,"2,602","2,602","2,602"
A6,1,"1,320","1,320","1,320","3,508","3,508","3,508","3,079","3,079","3,079",149,149,149,,-61,-61,"1,513","1,513","1,513",949,949,949,"2,666","2,666","2,666",376,376,376,"2,832","2,832","2,832"
A7,1,"2,620","2,620","2,620","5,064","5,064","5,064","4,254","4,254","4,254",522,522,522,112,112,112,"1,986","1,986","1,986","3,122","3,122","3,122","2,706","2,706","2,706",654,654,654,"3,428","3,428","3,428"
A8,1,"2,378","2,378","2,378","4,776","4,776","4,776","3,532","3,532","3,532",104,104,104,70,70,70,651,651,651,"1,859","1,859","1,859","3,025","3,025","3,025",393,393,393,"3,884","3,884","3,884"
A9,1,"1,970","1,970","1,970","3,962","3,962","3,962","4,737","4,737","4,737",37,37,37,150,150,150,"1,262","1,262","1,262","1,603","1,603","1,603","2,676","2,676","2,676",546,546,546,"4,528","4,528","4,528"
A10,1,"1,331","1,331","1,331",725,725,725,"4,854","4,854","4,854",210,210,210,321,321,321,"2,204","2,204","2,204","1,354","1,354","1,354","2,378","2,378","2,378",347,347,347,"5,133","5,133","5,133"
A11,1,"1,133","1,133","1,133","2,079","2,079","2,079","1,685","1,685","1,685",163,163,163,,-48,-48,72,72,72,"1,850","1,850","1,850","2,966","2,966","2,966",150,150,150,"5,618","5,618","5,618"
A12,1,"1,198","1,198","1,198","4,911","4,911","4,911","4,306","4,306","4,306",,-57,-57,,-30,-30,694,694,694,"1,141","1,141","1,141","2,883","2,883","2,883",367,367,367,"5,941","5,941","5,941"
B1,1,"1,350","1,350","1,350","5,459","5,459","5,459","6,073","6,073","6,073",,-172,-172,23,23,23,796,796,796,"1,856","1,856","1,856","2,528","2,528","2,528",345,345,345,"10,702","10,702","10,702"
B2,1,"1,773","1,773","1,773","2,659","2,659","2,659","4,398","4,398","4,398",,-48,-48,43,43,43,338,338,338,"1,735","1,735","1,735","2,876","2,876","2,876",162,162,162,"10,372","10,372","10,372"
B3,1,"3,542","3,542","3,542","6,423","6,423","6,423","5,817","5,817","5,817",,-105,-105,58,58,58,"1,705","1,705","1,705","2,706","2,706","2,706","3,069","3,069","3,069","1,231","1,231","1,231","9,698","9,699","9,699"
B4,1,"1,108","1,108","1,108","1,218","1,218","1,218","2,038","2,038","2,038",72,72,72,85,85,85,846,846,846,"2,731","2,731","2,731","2,228","2,228","2,228",167,167,167,"9,404","9,404","9,404"
B5,1,"1,508","1,508","1,508","5,649","5,649","5,649","3,287","3,287","3,287",29,29,29,110,110,110,942,942,942,952,952,952,"3,845","3,845","3,845",472,472,472,"9,127","9,127","9,127"
B6,1,"1,018","1,018","1,018",574,574,574,"3,866","3,866","3,866",101,101,101,,-106,-106,372,372,372,"1,510","1,510","1,510","2,448","2,448","2,448",103,103,103,"8,807","8,807","8,807"
B7,1,"2,786","2,786","2,786","4,689","4,689","4,689","3,856","3,856","3,856",,-169,-169,158,158,158,517,517,517,"1,430","1,430","1,430","3,666","3,666","3,666","1,565","1,565","1,565","8,369","8,369","8,369"
B8,1,939,939,939,"2,502","2,502","2,502","1,874","1,874","1,874",,-163,-163,110,110,110,174,174,174,"1,045","1,045","1,045","2,470","2,470","2,470",145,145,145,"8,030","8,030","8,030"
