Experiment Name,210831 TA PA M2
Specimen Name,M2LN
Tube Name,INX_GC30_001
Record Date,"Aug 31, 2021 3:28:07 PM"
Date Analyzed,09/07/2021 17:00

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
B8,1,"1,361","1,361","1,361","1,125","1,125","1,125","2,214","2,214","2,214",12,12,12,81,81,81,969,969,969,"1,614","1,614","1,614",68,68,68,"7,217","7,217","7,217"
B9,1,"1,265","1,265","1,265","1,350","1,350","1,350","2,714","2,714","2,714",,-21,-21,272,272,272,"4,027","4,027","4,027","4,934","4,934","4,934",282,282,282,"6,883","6,883","6,883"
B10,1,"1,287","1,287","1,287","1,518","1,518","1,518","2,475","2,475","2,475",107,107,107,116,116,116,"1,969","1,969","1,969","3,966","3,966","3,966",108,108,108,"6,650","6,650","6,650"
B11,1,"1,962","1,962","1,962","3,290","3,290","3,290","6,540","6,540","6,540",,-68,-68,372,372,372,"1,678","1,678","1,678","3,190","3,190","3,190",173,173,173,"6,379","6,380","6,380"
B12,1,"1,736","1,736","1,736","1,691","1,691","1,691","4,484","4,484","4,484",,-10,-10,250,250,250,"3,929","3,929","3,929","3,752","3,752","3,752",46,46,46,"5,922","5,923","5,923"
C1,1,"1,218","1,218","1,218","1,476","1,476","1,476","1,642","1,642","1,642",56,56,56,,-1,-1,"1,194","1,194","1,194","2,201","2,201","2,201",19,19,19,"10,586","10,586","10,586"
C2,1,"2,556","2,556","2,556","5,217","5,217","5,217","5,676","5,676","5,676",101,101,101,335,335,335,"3,557","3,557","3,557","6,285","6,285","6,285",414,414,414,"10,801","10,801","10,801"
C3,1,"2,306","2,306","2,306","2,018","2,018","2,018","6,343","6,343","6,343",29,29,29,437,437,437,"3,121","3,121","3,121","4,659","4,659","4,659",136,136,136,"11,284","11,285","11,285"
C4,1,"1,553","1,553","1,553","1,486","1,486","1,486","2,656","2,656","2,656",174,174,174,58,58,58,"3,218","3,218","3,218","3,257","3,257","3,257",163,163,163,"12,280","12,280","12,280"
C5,1,"1,643","1,643","1,643","2,043","2,043","2,043","5,612","5,612","5,612",,-98,-98,110,110,110,"3,102","3,102","3,102","6,066","6,066","6,066",239,239,239,"12,528","12,528","12,528"
C6,1,"2,553","2,553","2,553","2,291","2,291","2,291","3,209","3,209","3,209",,0,0,285,285,285,"6,616","6,616","6,616","7,674","7,674","7,674",434,434,434,"12,857","12,858","12,858"
C7,1,"1,130","1,130","1,130",942,942,942,"1,882","1,882","1,882",,-146,-146,80,80,80,"2,033","2,033","2,033","6,181","6,181","6,181",136,136,136,"13,123","13,123","13,123"
C8,1,"1,289","1,289","1,289",460,460,460,"2,652","2,652","2,652",89,89,89,55,55,55,"1,389","1,389","1,389","6,453","6,453","6,453",57,57,57,"13,490","13,490","13,490"
C9,1,"2,267","2,267","2,267","2,771","2,771","2,771","6,219","6,219","6,219",264,264,264,836,836,836,"1,063","1,063","1,063","6,707","6,707","6,707",383,383,383,"14,058","14,058","14,058"
C10,1,"2,081","2,081","2,081","3,073","3,073","3,073","4,240","4,240","4,240",162,162,162,547,547,547,"1,463","1,463","1,463","2,420","2,420","2,420",310,310,310,"14,312","14,312","14,312"
C11,1,"1,128","1,128","1,128","1,555","1,555","1,555","2,837","2,837","2,837",108,108,108,366,366,366,"1,852","1,852","1,852","3,165","3,165","3,165",92,92,92,"14,740","14,741","14,741"
C12,1,"1,020","1,020","1,020","1,447","1,447","1,447","1,699","1,699","1,699",,0,0,35,35,35,"1,987","1,987","1,987","3,873","3,873","3,873",153,153,153,"15,142","15,142","15,142"
D1,1,"1,196","1,196","1,196","1,223","1,223","1,223","3,676","3,676","3,676",199,199,199,449,449,449,"1,408","1,408","1,408","4,005","4,005","4,005",150,150,150,"18,923","18,923","18,923"
D2,1,"1,212","1,212","1,212","1,352","1,352","1,352","3,097","3,097","3,097",15,15,15,149,149,149,"1,931","1,931","1,931","5,430","5,430","5,430",81,81,81,"18,560","18,560","18,560"
D3,1,"1,918","1,918","1,918","1,388","1,388","1,388","3,520","3,520","3,520",30,30,30,480,480,480,"2,540","2,540","2,540","7,338","7,338","7,338",287,287,287,"18,206","18,206","18,206"
D4,1,"1,389","1,389","1,389","2,512","2,512","2,512","1,563","1,563","1,563",35,35,35,54,54,54,"3,210","3,210","3,210","4,055","4,055","4,055",96,96,96,"17,689","17,689","17,689"
D5,1,"2,673","2,673","2,673","6,222","6,222","6,222","7,284","7,284","7,284",,-27,-27,57,57,57,"1,757","1,757","1,757","3,492","3,492","3,492",114,114,114,"17,433","17,433","17,433"
D6,1,"1,969","1,969","1,969","3,956","3,956","3,956","6,505","6,505","6,505",105,105,105,399,399,399,"2,116","2,116","2,116","3,938","3,938","3,938",358,358,358,"16,923","16,923","16,923"
D7,1,"1,345","1,345","1,345","3,096","3,096","3,096","4,557","4,557","4,557",29,29,29,150,150,150,"1,597","1,597","1,597","1,851","1,851","1,851",213,213,213,"16,613","16,613","16,613"
D8,1,"1,348","1,348","1,348",343,343,343,"4,894","4,894","4,894",168,168,168,84,84,84,"2,481","2,481","2,481","6,842","6,842","6,842",92,92,92,"16,328","16,328","16,328"
D9,1,"1,138","1,138","1,138",988,988,988,"1,848","1,848","1,848",13,13,13,103,103,103,"2,141","2,141","2,141","5,861","5,861","5,861",95,95,95,"16,033","16,033","16,033"
D10,1,"1,000","1,000","1,000",979,979,979,"2,285","2,285","2,285",191,191,191,155,155,155,"1,564","1,564","1,564","2,315","2,315","2,315",62,62,62,"15,820","15,820","15,820"
D11,1,"1,533","1,533","1,533",595,595,595,"3,305","3,305","3,305",26,26,26,,-19,-19,"1,789","1,789","1,789","3,130","3,130","3,130",62,62,62,"15,616","15,616","15,616"
D12,1,"1,625","1,625","1,625","1,033","1,033","1,033","2,998","2,998","2,998",,-42,-42,79,79,79,"1,525","1,525","1,525","2,261","2,261","2,261",61,61,61,"15,382","15,382","15,382"
E1,1,"1,357","1,357","1,357","2,614","2,614","2,614","4,415","4,415","4,415",76,76,76,462,462,462,"2,233","2,233","2,233","3,646","3,646","3,646",227,227,227,"19,318","19,318","19,318"
E2,1,"1,150","1,150","1,150","2,305","2,305","2,305","4,387","4,387","4,387",,-70,-70,298,298,298,"1,574","1,574","1,574","3,614","3,614","3,614",262,262,262,"19,675","19,675","19,675"
E3,1,"1,026","1,026","1,026","1,077","1,077","1,077","2,082","2,082","2,082",128,128,128,340,340,340,"1,136","1,136","1,136","4,584","4,584","4,584",147,147,147,"20,227","20,227","20,227"
E4,1,"3,133","3,133","3,133","5,355","5,355","5,355","6,935","6,935","6,935",,-12,-12,706,706,706,"1,157","1,157","1,157","3,344","3,344","3,344",728,728,728,"20,631","20,631","20,631"
E5,1,"1,435","1,435","1,435",,-13,-13,"3,022","3,022","3,022",,-17,-17,,-52,-52,"1,546","1,546","1,546","3,984","3,984","3,984",19,19,19,"21,111","21,111","21,111"
E6,1,"1,499","1,499","1,499","2,113","2,113","2,113","3,235","3,235","3,235",,-121,-121,304,304,304,"1,551","1,551","1,551","3,097","3,097","3,097",439,439,439,"21,483","21,483","21,483"
E7,1,"1,610","1,610","1,610",893,893,893,"2,526","2,526","2,526",,-83,-83,6,6,6,"1,626","1,626","1,626","7,598","7,598","7,598",74,74,74,"21,804","21,804","21,804"
E8,1,"1,110","1,110","1,110","1,007","1,007","1,007","1,471","1,471","1,471",,-64,-64,169,169,169,"1,987","1,987","1,987","6,897","6,897","6,897",101,101,101,"22,035","22,035","22,035"
E9,1,"1,373","1,373","1,373","2,307","2,307","2,307","3,076","3,076","3,076",13,13,13,203,203,203,"1,104","1,104","1,104","1,908","1,908","1,908",157,157,157,"22,248","22,248","22,248"
E10,1,"1,366","1,366","1,366","2,234","2,234","2,234","2,625","2,625","2,625",198,198,198,257,257,257,"1,242","1,242","1,242","1,954","1,954","1,954",70,70,70,"22,827","22,827","22,827"
E11,1,"1,121","1,121","1,121",477,477,477,"2,461","2,461","2,461",28,28,28,179,179,179,"3,117","3,117","3,117","3,879","3,879","3,879",111,111,111,"23,133","23,133","23,133"
E12,1,"2,010","2,010","2,010","1,847","1,847","1,847","4,173","4,173","4,173",,-27,-27,81,81,81,"2,704","2,704","2,704","4,445","4,445","4,445",120,120,120,"23,613","23,613","23,613"
F1,1,"1,786","1,786","1,786","2,155","2,155","2,155","3,226","3,226","3,226",65,65,65,62,62,62,"2,682","2,682","2,682","2,811","2,811","2,811",120,120,120,"27,085","27,085","27,085"
F2,1,"2,677","2,677","2,677","2,234","2,234","2,234","5,408","5,408","5,408",129,129,129,896,896,896,"3,149","3,149","3,149","4,638","4,638","4,638",855,855,855,"26,860","26,860","26,860"
F3,1,"2,266","2,266","2,266",,-141,-141,"7,913","7,913","7,913",6,6,6,880,880,880,"3,392","3,392","3,392","3,742","3,742","3,742",396,396,396,"26,552","26,552","26,552"
F4,1,"1,928","1,928","1,928","2,356","2,356","2,356","3,063","3,063","3,063",71,71,71,415,415,415,"1,596","1,596","1,596","6,726","6,726","6,726",210,210,210,"26,302","26,302","26,302"
F5,1,"1,073","1,073","1,073","2,047","2,047","2,047","3,565","3,565","3,565",141,141,141,7,7,7,"1,339","1,339","1,339","3,664","3,664","3,664",37,37,37,"26,091","26,092","26,092"
F6,1,"2,183","2,183","2,183",753,753,753,"5,558","5,558","5,558",,-145,-145,11,11,11,"2,659","2,659","2,659","2,718","2,718","2,718",103,103,103,"25,862","25,862","25,862"
F7,1,"1,378","1,378","1,378",810,810,810,"4,336","4,336","4,336",97,97,97,250,250,250,"2,189","2,189","2,189","5,270","5,270","5,270",123,123,123,"25,399","25,399","25,399"
F8,1,"1,572","1,572","1,572",111,111,111,"2,919","2,919","2,919",96,96,96,369,369,369,"3,494","3,494","3,494","4,083","4,083","4,083",234,234,234,"25,089","25,089","25,089"
F9,1,"1,952","1,952","1,952",760,760,760,"2,561","2,561","2,561",,-2,-2,93,93,93,"4,857","4,857","4,857","3,881","3,881","3,881",131,131,131,"24,823","24,823","24,823"
F10,1,"2,320","2,320","2,320","1,627","1,627","1,627","4,417","4,417","4,417",,-26,-26,159,159,159,"4,835","4,835","4,835","6,509","6,509","6,509",220,220,220,"24,400","24,400","24,400"
F11,1,"1,042","1,042","1,042","1,074","1,074","1,074","2,109","2,109","2,109",,-24,-24,16,16,16,"3,216","3,216","3,216","5,331","5,331","5,331",75,75,75,"24,176","24,176","24,176"
F12,1,"1,688","1,688","1,688","2,895","2,895","2,895","3,301","3,301","3,301",,-168,-168,156,156,156,"2,513","2,513","2,513","7,555","7,555","7,555",142,142,142,"23,889","23,889","23,889"
G1,1,"1,913","1,913","1,913","1,181","1,181","1,181","3,432","3,432","3,432",60,60,60,,-49,-49,"2,035","2,035","2,035","6,460","6,460","6,460",64,64,64,"27,330","27,330","27,330"
G2,1,"1,407","1,407","1,407","1,170","1,170","1,170","3,099","3,099","3,099",,-65,-65,173,173,173,"1,851","1,851","1,851","2,138","2,138","2,138",85,85,85,"27,842","27,842","27,842"
G3,1,"1,111","1,111","1,111","2,334","2,334","2,334","5,205","5,205","5,205",67,67,67,,-10,-10,"2,710","2,710","2,710","3,020","3,020","3,020",175,175,175,"28,527","28,527","28,527"
G4,1,"1,319","1,319","1,319",918,918,918,"3,713","3,713","3,713",138,138,138,,-75,-75,"1,726","1,726","1,726","4,473","4,473","4,473",10,10,10,"28,898","28,898","28,898"
G5,1,"1,025","1,025","1,025","3,121","3,121","3,121","1,847","1,847","1,847",,-44,-44,150,150,150,"1,374","1,374","1,374","1,707","1,707","1,707",211,211,211,"29,386","29,386","29,386"
G6,1,"1,522","1,522","1,522","2,307","2,307","2,307","6,211","6,211","6,211",7,7,7,121,121,121,"2,168","2,168","2,168","5,632","5,632","5,632",140,140,140,"29,748","29,748","29,748"
G7,1,"1,559","1,559","1,559","1,183","1,183","1,183","3,689","3,689","3,689",,-32,-32,205,205,205,"3,135","3,135","3,135","4,225","4,225","4,225",164,164,164,"30,071","30,071","30,071"
G8,1,"1,747","1,747","1,747","3,855","3,855","3,855","3,799","3,799","3,799",38,38,38,198,198,198,"2,043","2,043","2,043","2,703","2,703","2,703",159,159,159,"30,334","30,334","30,334"
G9,1,"1,182","1,182","1,182","3,169","3,169","3,169","3,369","3,369","3,369",48,48,48,114,114,114,"1,534","1,534","1,534","2,101","2,101","2,101",126,126,126,"30,627","30,627","30,627"
G10,1,"1,267","1,267","1,267","1,250","1,250","1,250","2,452","2,452","2,452",5,5,5,470,470,470,"3,315","3,315","3,315","3,688","3,688","3,688",225,225,225,"31,061","31,061","31,061"
G11,1,"1,135","1,135","1,135","2,508","2,508","2,508","1,639","1,639","1,639",,-29,-29,166,166,166,"1,264","1,264","1,264","2,410","2,410","2,410",66,66,66,"31,533","31,533","31,533"
G12,1,"1,332","1,332","1,332",570,570,570,"3,027","3,027","3,027",,-42,-42,12,12,12,"4,014","4,014","4,014","6,203","6,203","6,203",95,95,95,"32,128","32,129","32,129"
H1,1,"1,972","1,972","1,972","1,821","1,821","1,821","4,950","4,950","4,950",,-46,-46,66,66,66,"2,132","2,132","2,132","10,950","10,950","10,950",137,137,137,"35,753","35,753","35,753"
H2,1,"1,728","1,728","1,728","1,740","1,740","1,740","3,332","3,332","3,332",55,55,55,236,236,236,"2,461","2,461","2,461","3,341","3,341","3,341",86,86,86,"35,404","35,404","35,404"
H3,1,"2,308","2,308","2,308","3,967","3,967","3,967","3,103","3,103","3,103",,-19,-19,274,274,274,"2,957","2,957","2,957","8,111","8,111","8,111",348,348,348,"35,177","35,177","35,177"
H4,1,"1,195","1,195","1,195","1,124","1,124","1,124","2,521","2,521","2,521",35,35,35,615,615,615,"3,783","3,783","3,783","4,044","4,044","4,044",311,311,311,"34,897","34,897","34,897"
H5,1,"2,261","2,261","2,261","1,146","1,146","1,146","3,672","3,672","3,672",,-82,-82,273,273,273,"4,841","4,841","4,841","5,936","5,936","5,936",183,183,183,"34,564","34,564","34,564"
H6,1,"1,063","1,063","1,063","3,612","3,612","3,612","10,404","10,404","10,404",109,109,109,143,143,143,"1,573","1,573","1,573","3,958","3,958","3,958",237,237,237,"34,287","34,288","34,288"
H7,1,"1,541","1,541","1,541","1,750","1,750","1,750","2,060","2,060","2,060",29,29,29,512,512,512,"2,092","2,092","2,092","4,072","4,072","4,072",219,219,219,"34,005","34,005","34,005"
H8,1,"1,539","1,539","1,539","8,044","8,044","8,044","9,429","9,429","9,429",108,108,108,"1,177","1,177","1,177","1,551","1,551","1,551","3,511","3,511","3,511",234,234,234,"33,758","33,758","33,758"
H9,1,"1,093","1,093","1,093",745,745,745,"3,320","3,320","3,320",,-132,-132,51,51,51,"1,931","1,931","1,931","3,142","3,142","3,142",192,192,192,"33,511","33,511","33,511"
H10,1,"1,474","1,474","1,474","1,632","1,632","1,632","3,078","3,078","3,078",,-26,-26,134,134,134,"3,098","3,098","3,098","4,763","4,763","4,763",167,167,167,"33,093","33,093","33,093"
H11,1,"1,502","1,502","1,502","3,545","3,545","3,545","3,497","3,497","3,497",39,39,39,346,346,346,"3,639","3,639","3,639","6,159","6,159","6,159",288,288,288,"32,668","32,668","32,668"
H12,1,913,913,913,"1,551","1,551","1,551","2,589","2,589","2,589",,-160,-160,,-5,-5,"2,294","2,294","2,294","5,997","5,997","5,997",129,129,129,"32,344","32,344","32,344"

