Experiment Name,210831 TA PA M2
Specimen Name,M2LN
Tube Name,INX_GC30_001
Record Date,"Aug 31, 2021 3:28:07 PM"
Date Analyzed,09/07/2021 17:00

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"2,210","2,210","2,210","2,289","2,289","2,289","7,297","7,297","7,297",67,67,67,314,314,314,"1,461","1,461","1,461","2,525","2,525","2,525",207,207,207,"1,640","1,640","1,640"
A2,1,"1,764","1,764","1,764","1,031","1,031","1,031","3,270","3,270","3,270",,-29,-29,279,279,279,"1,833","1,833","1,833","2,011","2,011","2,011",364,364,364,"1,856","1,856","1,856"
A3,1,"1,537","1,537","1,537",734,734,734,"3,660","3,660","3,660",,-69,-69,81,81,81,"2,420","2,420","2,420","4,095","4,095","4,095",42,42,42,"2,099","2,099","2,099"
A4,1,"1,922","1,922","1,922","1,147","1,147","1,147","4,537","4,537","4,537",,-37,-37,32,32,32,"2,347","2,347","2,347","3,185","3,185","3,185",47,47,47,"3,026","3,026","3,026"
A5,1,"1,253","1,253","1,253","2,672","2,672","2,672","3,910","3,910","3,910",135,135,135,91,91,91,"1,868","1,868","1,868","3,174","3,174","3,174",73,73,73,"3,343","3,343","3,343"
A6,1,"2,839","2,839","2,839","5,430","5,430","5,430","7,073","7,073","7,073",,-29,-29,"1,521","1,521","1,521","1,317","1,317","1,317","2,152","2,152","2,152","1,285","1,285","1,285","3,614","3,615","3,615"
A7,1,"1,563","1,563","1,563","1,407","1,407","1,407","6,062","6,062","6,062",,-110,-110,163,163,163,"3,198","3,198","3,198","4,016","4,016","4,016",93,93,93,"4,100","4,100","4,100"
A8,1,"1,443","1,443","1,443","1,622","1,622","1,622","3,598","3,598","3,598",18,18,18,199,199,199,"2,604","2,604","2,604","6,061","6,061","6,061",225,225,225,"4,416","4,416","4,416"
A9,1,"1,746","1,746","1,746","2,462","2,462","2,462","3,873","3,873","3,873",1,1,1,112,112,112,"2,345","2,345","2,345","5,514","5,514","5,514",176,176,176,"4,655","4,655","4,655"
A10,1,"1,819","1,819","1,819","1,660","1,660","1,660","4,146","4,146","4,146",,-46,-46,165,165,165,"2,139","2,139","2,139","8,264","8,264","8,264",266,266,266,"4,920","4,920","4,920"
A11,1,"1,358","1,358","1,358","1,448","1,448","1,448","1,596","1,596","1,596",61,61,61,334,334,334,"4,187","4,187","4,187","4,090","4,090","4,090",165,165,165,"5,243","5,243","5,243"
A12,1,"1,213","1,213","1,213",748,748,748,"2,807","2,807","2,807",72,72,72,95,95,95,"3,648","3,648","3,648","4,361","4,361","4,361",86,86,86,"5,684","5,685","5,685"
B1,1,"1,496","1,496","1,496","1,243","1,243","1,243","3,155","3,155","3,155",,-23,-23,21,21,21,"1,595","1,595","1,595","2,258","2,258","2,258",90,90,90,"10,335","10,335","10,335"
B2,1,"1,225","1,225","1,225","1,689","1,689","1,689","2,856","2,856","2,856",195,195,195,72,72,72,"2,184","2,184","2,184","2,887","2,887","2,887",108,108,108,"9,753","9,753","9,753"
B3,1,"1,296","1,296","1,296","1,239","1,239","1,239","3,620","3,620","3,620",,-17,-17,555,555,555,"2,007","2,007","2,007","2,860","2,860","2,860",99,99,99,"9,405","9,405","9,405"
B4,1,"1,865","1,865","1,865","3,819","3,819","3,819","4,812","4,812","4,812",,-114,-114,295,295,295,"1,318","1,318","1,318","2,547","2,547","2,547",155,155,155,"8,848","8,848","8,848"
B5,1,"1,659","1,659","1,659","2,347","2,347","2,347","3,902","3,902","3,902",70,70,70,48,48,48,"2,390","2,390","2,390","2,295","2,295","2,295",99,99,99,"8,536","8,536","8,536"
B6,1,"1,155","1,155","1,155",159,159,159,"2,740","2,740","2,740",18,18,18,149,149,149,"2,555","2,555","2,555","3,178","3,178","3,178",84,84,84,"7,856","7,856","7,856"
B7,1,"1,627","1,627","1,627",900,900,900,"3,174","3,174","3,174",21,21,21,578,578,578,"2,081","2,081","2,081","2,201","2,201","2,201",314,314,314,"7,572","7,572","7,572"
