Experiment Name,210831 TA M2 PA BM Spleen
Specimen Name,M2 LN
Tube Name,INX_GC24_001
Record Date,"Aug 31, 2021 2:34:25 PM"
Date Analyzed,09/03/2021 16:39

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"2,679","2,679","2,679",,-36,-36,168,168,168,333,333,333,"1,929","1,929","1,929",259,259,259,26,26,26,758,758,758,"1,397","1,397","1,397","5,028","5,028","5,028"
A2,1,"7,774","7,774","7,774",397,397,397,674,674,674,"1,233","1,233","1,233","2,549","2,549","2,549",54,54,54,314,314,314,908,908,908,"2,922","2,922","2,922","5,517","5,517","5,517"
A3,1,"5,825","5,825","5,825",95,95,95,70,70,70,"1,375","1,375","1,375","3,542","3,542","3,542",59,59,59,327,327,327,"1,580","1,580","1,580","3,596","3,596","3,596","5,766","5,766","5,766"
A4,1,"4,078","4,078","4,078",75,75,75,,-39,-39,845,845,845,"2,396","2,396","2,396",162,162,162,99,99,99,885,885,885,"5,152","5,152","5,152","6,194","6,194","6,194"
A5,1,"5,668","5,668","5,668",294,294,294,66,66,66,"1,022","1,022","1,022","2,431","2,431","2,431",149,149,149,284,284,284,"1,163","1,163","1,163","3,334","3,334","3,334","6,555","6,555","6,555"
A6,1,"3,104","3,104","3,104",39,39,39,122,122,122,"1,256","1,256","1,256","1,872","1,872","1,872",29,29,29,24,24,24,955,955,955,"1,569","1,569","1,569","6,824","6,824","6,824"
A7,1,"5,158","5,158","5,158",87,87,87,293,293,293,"1,645","1,645","1,645","1,758","1,758","1,758",256,256,256,74,74,74,"1,270","1,270","1,270","3,892","3,892","3,892","7,253","7,253","7,253"
A8,1,"5,297","5,297","5,297",260,260,260,66,66,66,597,597,597,"1,867","1,867","1,867",80,80,80,229,229,229,830,830,830,"2,895","2,895","2,895","7,579","7,579","7,579"
A9,1,"1,973","1,973","1,973",28,28,28,159,159,159,"1,228","1,228","1,228","2,843","2,843","2,843",76,76,76,149,149,149,609,609,609,"2,650","2,650","2,650","7,970","7,970","7,970"
A10,1,"2,077","2,077","2,077",182,182,182,,-37,-37,"2,637","2,637","2,637","2,251","2,251","2,251",71,71,71,296,296,296,921,921,921,"3,361","3,361","3,361","8,220","8,220","8,220"
A11,1,"6,542","6,542","6,542",168,168,168,85,85,85,584,584,584,"1,869","1,869","1,869",111,111,111,121,121,121,895,895,895,"2,820","2,820","2,820","8,761","8,761","8,761"
A12,1,"2,107","2,107","2,107",26,26,26,149,149,149,444,444,444,"2,183","2,183","2,183",148,148,148,40,40,40,969,969,969,"3,921","3,921","3,921","9,277","9,277","9,277"
B1,1,"3,363","3,363","3,363",,-42,-42,90,90,90,685,685,685,"2,826","2,826","2,826",142,142,142,85,85,85,796,796,796,"1,864","1,864","1,864","13,717","13,717","13,717"
