Experiment Name,210902 M5M6 Sort
Specimen Name,M5M6
Tube Name,INX_GC75_001
Record Date,"Sep 2, 2021 1:25:45 PM"
Date Analyzed,09/07/2021 17:40

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events CD138 BV650-A Geo Mean,All Events CD138 BV650-A Mean,All Events CD138 BV650-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,059","1,059","1,059","1,652","1,652","1,652","5,156","5,156","5,156",65,65,65,118,118,118,497,497,497,"2,153","2,153","2,153","2,071","2,071","2,071",241,241,241,"3,914","3,914","3,914"
A2,1,"3,062","3,062","3,062","5,652","5,652","5,652","9,287","9,287","9,287",785,785,785,32,32,32,101,101,101,"3,272","3,272","3,272","5,031","5,031","5,031",334,334,334,"4,163","4,163","4,163"
A3,1,"1,846","1,846","1,846",467,467,467,"3,284","3,284","3,284",,-92,-92,6,6,6,66,66,66,"3,619","3,619","3,619","5,581","5,581","5,581",79,79,79,"4,426","4,426","4,426"
A4,1,505,505,505,"1,024","1,024","1,024","1,383","1,383","1,383",,-21,-21,73,73,73,"1,108","1,108","1,108","1,999","1,999","1,999","1,517","1,517","1,517",646,646,646,"5,152","5,152","5,152"
A5,1,"1,060","1,060","1,060",597,597,597,"2,168","2,168","2,168",,-93,-93,33,33,33,38,38,38,"1,848","1,848","1,848","1,901","1,901","1,901",54,54,54,"5,765","5,765","5,765"
A6,1,"1,581","1,581","1,581",537,537,537,"3,469","3,469","3,469",211,211,211,,-39,-39,728,728,728,"2,719","2,719","2,719","2,080","2,080","2,080",181,181,181,"6,243","6,243","6,243"
A7,1,"1,222","1,222","1,222","1,856","1,856","1,856","6,482","6,482","6,482",162,162,162,59,59,59,445,445,445,"1,506","1,506","1,506","1,814","1,814","1,814",153,153,153,"6,500","6,500","6,500"
A8,1,"1,532","1,532","1,532","1,038","1,038","1,038","2,561","2,561","2,561",,-3,-3,82,82,82,195,195,195,"5,713","5,713","5,713","3,779","3,779","3,779",152,152,152,"6,785","6,785","6,785"
A9,1,"1,321","1,321","1,321","1,030","1,030","1,030","3,555","3,555","3,555",335,335,335,204,204,204,327,327,327,"2,853","2,853","2,853","4,622","4,622","4,622",158,158,158,"7,402","7,402","7,402"
A10,1,"1,483","1,483","1,483",818,818,818,"5,090","5,090","5,090",,-87,-87,,-53,-53,97,97,97,"1,702","1,702","1,702","2,053","2,053","2,053",85,85,85,"8,059","8,059","8,059"
A11,1,"2,850","2,850","2,850","3,325","3,325","3,325","4,961","4,961","4,961",95,95,95,449,449,449,924,924,924,"7,680","7,680","7,680","5,694","5,694","5,694",306,306,306,"8,913","8,913","8,913"
A12,1,"1,760","1,760","1,760","1,739","1,739","1,739","3,535","3,535","3,535",,-79,-79,119,119,119,288,288,288,"3,369","3,369","3,369","3,004","3,004","3,004",149,149,149,"9,195","9,195","9,195"
B1,1,"2,102","2,102","2,102","3,146","3,146","3,146","9,103","9,103","9,103",13,13,13,,-5,-5,95,95,95,"1,466","1,466","1,466","1,728","1,728","1,728",74,74,74,"17,574","17,574","17,574"
B2,1,"1,610","1,610","1,610","2,456","2,456","2,456","5,437","5,437","5,437",,-194,-194,158,158,158,424,424,424,"1,997","1,997","1,997","1,487","1,487","1,487",148,148,148,"16,516","16,516","16,516"
B3,1,"1,036","1,036","1,036","6,057","6,057","6,057","4,958","4,958","4,958",,-299,-299,107,107,107,168,168,168,"2,080","2,080","2,080","4,546","4,546","4,546",176,176,176,"16,049","16,049","16,049"
B4,1,"1,613","1,613","1,613","2,748","2,748","2,748","5,544","5,544","5,544",,-52,-52,,-82,-82,98,98,98,"2,627","2,627","2,627","2,265","2,265","2,265",103,103,103,"15,799","15,799","15,799"
B5,1,817,817,817,"1,723","1,723","1,723","2,675","2,675","2,675",7,7,7,59,59,59,60,60,60,"1,701","1,701","1,701","1,492","1,492","1,492",112,112,112,"14,631","14,631","14,631"
B6,1,"1,327","1,327","1,327","2,272","2,272","2,272","4,807","4,807","4,807",,-5,-5,141,141,141,202,202,202,"1,315","1,315","1,315","1,826","1,826","1,826",151,151,151,"14,250","14,250","14,250"
B7,1,"1,246","1,246","1,246","2,772","2,772","2,772","2,728","2,728","2,728",,-89,-89,131,131,131,180,180,180,"5,018","5,018","5,018","4,178","4,178","4,178",315,315,315,"13,182","13,182","13,182"
B8,1,"2,109","2,109","2,109","2,592","2,592","2,592","5,995","5,995","5,995",28,28,28,176,176,176,"1,205","1,205","1,205","4,023","4,023","4,023","3,264","3,264","3,264",448,448,448,"12,681","12,681","12,681"
B9,1,"1,356","1,356","1,356",670,670,670,"2,127","2,127","2,127",22,22,22,,-69,-69,62,62,62,"2,900","2,900","2,900","2,614","2,614","2,614",53,53,53,"12,108","12,108","12,108"
B10,1,"1,005","1,005","1,005","2,222","2,222","2,222","4,959","4,959","4,959",26,26,26,10,10,10,467,467,467,"1,903","1,903","1,903","2,429","2,429","2,429",115,115,115,"11,213","11,213","11,213"
B11,1,"1,565","1,565","1,565",283,283,283,"3,887","3,887","3,887",116,116,116,91,91,91,184,184,184,"4,524","4,524","4,524","4,735","4,735","4,735",69,69,69,"10,688","10,689","10,689"
B12,1,819,819,819,"1,115","1,115","1,115","2,145","2,145","2,145",150,150,150,,-117,-117,,-16,-16,"2,750","2,750","2,750","2,034","2,034","2,034",23,23,23,"9,565","9,565","9,565"
C1,1,"1,355","1,355","1,355","1,123","1,123","1,123","4,655","4,655","4,655",358,358,358,,-10,-10,"1,310","1,310","1,310","2,173","2,173","2,173","1,416","1,416","1,416",181,181,181,"17,883","17,883","17,883"
C2,1,"2,828","2,828","2,828","3,048","3,048","3,048","6,048","6,048","6,048",,-106,-106,92,92,92,851,851,851,"5,768","5,768","5,768","4,800","4,800","4,800",287,287,287,"18,426","18,426","18,426"
C3,1,842,842,842,"2,797","2,797","2,797","4,375","4,375","4,375",,-122,-122,,-13,-13,295,295,295,"3,045","3,045","3,045","5,324","5,324","5,324",143,143,143,"18,663","18,663","18,663"
C4,1,"1,329","1,329","1,329",340,340,340,"5,329","5,329","5,329",11,11,11,,-29,-29,125,125,125,"1,271","1,271","1,271","2,889","2,889","2,889",124,124,124,"19,038","19,039","19,039"
C5,1,"1,169","1,169","1,169",278,278,278,"1,715","1,715","1,715",472,472,472,139,139,139,580,580,580,"4,043","4,043","4,043","4,188","4,188","4,188",210,210,210,"19,513","19,513","19,513"
C6,1,"1,332","1,332","1,332","4,455","4,455","4,455","7,170","7,170","7,170",326,326,326,120,120,120,223,223,223,"2,671","2,671","2,671","3,251","3,251","3,251",209,209,209,"20,208","20,208","20,208"
C7,1,"2,365","2,365","2,365","3,020","3,020","3,020","5,891","5,891","5,891",,-107,-107,71,71,71,510,510,510,"2,997","2,997","2,997","2,550","2,550","2,550",245,245,245,"20,419","20,420","20,420"
C8,1,"1,457","1,457","1,457","2,689","2,689","2,689","4,670","4,670","4,670",,-76,-76,4,4,4,247,247,247,"4,455","4,455","4,455","3,532","3,532","3,532",90,90,90,"20,680","20,680","20,680"
C9,1,"1,525","1,525","1,525","1,737","1,737","1,737","5,486","5,486","5,486",165,165,165,,-77,-77,71,71,71,"2,326","2,326","2,326","1,994","1,994","1,994",148,148,148,"20,890","20,890","20,890"
C10,1,784,784,784,51,51,51,"1,638","1,638","1,638",159,159,159,7,7,7,259,259,259,"1,783","1,783","1,783","4,262","4,262","4,262",176,176,176,"21,618","21,618","21,618"
C11,1,"1,381","1,381","1,381","2,752","2,752","2,752","5,580","5,580","5,580",315,315,315,480,480,480,79,79,79,"2,318","2,318","2,318","2,238","2,238","2,238",230,230,230,"21,996","21,996","21,996"
C12,1,795,795,795,"1,223","1,223","1,223","5,459","5,459","5,459",448,448,448,1,1,1,83,83,83,"2,238","2,238","2,238","1,944","1,944","1,944",120,120,120,"22,686","22,686","22,686"
D1,1,"1,396","1,396","1,396","1,295","1,295","1,295","3,695","3,695","3,695",8,8,8,98,98,98,500,500,500,"4,530","4,530","4,530","3,244","3,244","3,244",111,111,111,"28,034","28,035","28,035"
D2,1,"2,654","2,654","2,654","3,535","3,535","3,535","14,248","14,248","14,248",,-4,-4,104,104,104,90,90,90,"3,091","3,091","3,091","2,212","2,212","2,212",284,284,284,"27,471","27,471","27,471"
D3,1,"1,291","1,291","1,291","1,070","1,070","1,070","2,655","2,655","2,655",,-169,-169,25,25,25,94,94,94,"1,329","1,329","1,329","5,522","5,522","5,522",102,102,102,"26,963","26,963","26,963"
D4,1,"1,379","1,379","1,379",568,568,568,"3,130","3,130","3,130",6,6,6,109,109,109,60,60,60,"1,669","1,669","1,669","1,398","1,398","1,398",89,89,89,"26,297","26,297","26,297"
D5,1,"1,221","1,221","1,221","2,306","2,306","2,306","3,114","3,114","3,114",,-49,-49,33,33,33,207,207,207,"5,305","5,305","5,305","4,467","4,467","4,467",183,183,183,"25,329","25,330","25,330"
D6,1,"1,224","1,224","1,224",456,456,456,"2,036","2,036","2,036",218,218,218,75,75,75,509,509,509,"3,703","3,703","3,703","3,416","3,416","3,416",114,114,114,"25,055","25,055","25,055"
D7,1,"1,197","1,197","1,197","4,705","4,705","4,705","5,908","5,908","5,908",,-256,-256,,-8,-8,166,166,166,"2,121","2,121","2,121","2,101","2,101","2,101",150,150,150,"24,654","24,654","24,654"
D8,1,"1,421","1,421","1,421",821,821,821,"4,058","4,058","4,058",118,118,118,,-15,-15,105,105,105,"1,643","1,643","1,643","1,729","1,729","1,729",57,57,57,"24,245","24,245","24,245"
D9,1,"1,498","1,498","1,498","2,337","2,337","2,337","9,382","9,382","9,382",13,13,13,303,303,303,330,330,330,"2,130","2,130","2,130","4,153","4,153","4,153",157,157,157,"23,823","23,823","23,823"
D10,1,"1,227","1,227","1,227","1,242","1,242","1,242","2,704","2,704","2,704",159,159,159,,-43,-43,35,35,35,"2,879","2,879","2,879","2,823","2,823","2,823",21,21,21,"23,585","23,585","23,585"
D11,1,"1,504","1,504","1,504",715,715,715,"2,913","2,913","2,913",,-2,-2,130,130,130,102,102,102,"1,629","1,629","1,629","1,497","1,497","1,497",36,36,36,"23,336","23,336","23,336"
D12,1,"1,579","1,579","1,579","2,824","2,824","2,824","6,273","6,273","6,273",,-63,-63,50,50,50,719,719,719,"2,112","2,112","2,112","2,243","2,243","2,243",90,90,90,"22,953","22,954","22,954"
E1,1,"1,604","1,604","1,604","3,914","3,914","3,914","5,460","5,460","5,460",41,41,41,76,76,76,200,200,200,"3,093","3,093","3,093","2,728","2,728","2,728",106,106,106,"28,315","28,315","28,315"
E2,1,"2,038","2,038","2,038","3,331","3,331","3,331","6,502","6,502","6,502",138,138,138,,-30,-30,657,657,657,"2,759","2,759","2,759","2,703","2,703","2,703",187,187,187,"28,677","28,678","28,678"
E3,1,"1,401","1,401","1,401",978,978,978,"3,568","3,568","3,568",53,53,53,,-23,-23,912,912,912,"3,855","3,855","3,855","3,066","3,066","3,066",254,254,254,"28,936","28,936","28,936"
E4,1,"1,877","1,877","1,877","16,339","16,339","16,339","3,757","3,757","3,757",,-683,-683,,-80,-80,471,471,471,"4,684","4,684","4,684","4,658","4,658","4,658",202,202,202,"29,431","29,431","29,431"
E5,1,"1,047","1,047","1,047",967,967,967,"3,692","3,692","3,692",449,449,449,41,41,41,216,216,216,"3,834","3,834","3,834","4,433","4,433","4,433",128,128,128,"29,707","29,707","29,707"
E6,1,"1,203","1,203","1,203","1,754","1,754","1,754","4,224","4,224","4,224",99,99,99,,-103,-103,122,122,122,"1,839","1,839","1,839","2,270","2,270","2,270",68,68,68,"30,005","30,005","30,005"
E7,1,"2,382","2,382","2,382","4,271","4,271","4,271","8,897","8,897","8,897",22,22,22,36,36,36,237,237,237,"2,919","2,919","2,919","2,663","2,663","2,663",204,204,204,"30,308","30,308","30,308"
E8,1,"3,338","3,338","3,338","6,832","6,832","6,832","10,505","10,505","10,505",,-263,-263,,-107,-107,"1,184","1,184","1,184","2,496","2,496","2,496","5,306","5,306","5,306",452,452,452,"30,568","30,569","30,569"
E9,1,"1,114","1,114","1,114",832,832,832,"2,394","2,394","2,394",489,489,489,,-48,-48,453,453,453,"2,529","2,529","2,529","4,617","4,617","4,617",140,140,140,"30,829","30,829","30,829"
E10,1,"3,394","3,394","3,394","5,835","5,835","5,835","11,027","11,027","11,027",91,91,91,181,181,181,"1,409","1,409","1,409","8,404","8,404","8,404","6,992","6,992","6,992",523,523,523,"31,293","31,293","31,293"
E11,1,"2,147","2,147","2,147","1,839","1,839","1,839","4,641","4,641","4,641",35,35,35,,-216,-216,782,782,782,"1,903","1,903","1,903","2,630","2,630","2,630",146,146,146,"31,849","31,849","31,849"
E12,1,"1,238","1,238","1,238","3,966","3,966","3,966","6,900","6,900","6,900",,-118,-118,138,138,138,113,113,113,"1,763","1,763","1,763","1,648","1,648","1,648",151,151,151,"32,182","32,182","32,182"
F1,1,936,936,936,"2,067","2,067","2,067","3,253","3,253","3,253",103,103,103,,-37,-37,28,28,28,"2,698","2,698","2,698","3,895","3,895","3,895",97,97,97,"36,969","36,969","36,969"
F2,1,"1,912","1,912","1,912","2,598","2,598","2,598","3,981","3,981","3,981",38,38,38,202,202,202,501,501,501,"1,619","1,619","1,619","1,804","1,804","1,804",201,201,201,"36,682","36,682","36,682"
F3,1,"2,496","2,496","2,496","4,869","4,869","4,869","7,807","7,807","7,807",204,204,204,29,29,29,"1,523","1,523","1,523","3,281","3,281","3,281","3,491","3,491","3,491",428,428,428,"36,387","36,387","36,387"
F4,1,"1,360","1,360","1,360","2,667","2,667","2,667","4,730","4,730","4,730",53,53,53,122,122,122,3,3,3,"1,930","1,930","1,930","1,913","1,913","1,913",100,100,100,"35,797","35,797","35,797"
F5,1,928,928,928,186,186,186,"1,946","1,946","1,946",9,9,9,22,22,22,59,59,59,"4,370","4,370","4,370","4,016","4,016","4,016",49,49,49,"35,559","35,559","35,559"
F6,1,"1,202","1,202","1,202","2,613","2,613","2,613","7,602","7,602","7,602",128,128,128,241,241,241,"1,222","1,222","1,222","3,716","3,716","3,716","2,967","2,967","2,967",252,252,252,"35,256","35,256","35,256"
F7,1,"1,846","1,846","1,846","3,609","3,609","3,609","7,574","7,574","7,574",,-92,-92,,-4,-4,248,248,248,"1,547","1,547","1,547","2,094","2,094","2,094",228,228,228,"35,006","35,006","35,006"
F8,1,"2,270","2,270","2,270","6,388","6,388","6,388","7,715","7,715","7,715",,-250,-250,,-221,-221,287,287,287,"6,255","6,255","6,255","5,133","5,133","5,133",242,242,242,"34,259","34,259","34,259"
F9,1,"1,706","1,706","1,706","5,295","5,295","5,295","5,327","5,327","5,327",303,303,303,91,91,91,282,282,282,"2,162","2,162","2,162","1,938","1,938","1,938",187,187,187,"33,845","33,845","33,845"
F10,1,"2,306","2,306","2,306","5,072","5,072","5,072","13,079","13,079","13,079",48,48,48,238,238,238,"1,170","1,170","1,170","3,930","3,930","3,930","2,774","2,774","2,774",242,242,242,"33,526","33,526","33,526"
F11,1,"1,439","1,439","1,439","4,413","4,413","4,413","10,316","10,316","10,316",108,108,108,99,99,99,35,35,35,"1,793","1,793","1,793","2,042","2,042","2,042",106,106,106,"33,047","33,047","33,047"
F12,1,"1,251","1,251","1,251","1,506","1,506","1,506","5,267","5,267","5,267",47,47,47,38,38,38,,-25,-25,"1,358","1,358","1,358","1,191","1,191","1,191",35,35,35,"32,685","32,685","32,685"
G1,1,"1,337","1,337","1,337","4,293","4,293","4,293","7,130","7,130","7,130",35,35,35,,-180,-180,185,185,185,"2,337","2,337","2,337","2,083","2,083","2,083",165,165,165,"37,388","37,388","37,388"
G2,1,"1,138","1,138","1,138",675,675,675,"2,075","2,075","2,075",88,88,88,,-30,-30,79,79,79,"2,115","2,115","2,115","2,392","2,392","2,392",54,54,54,"38,556","38,556","38,556"
G3,1,"1,575","1,575","1,575","1,204","1,204","1,204","2,778","2,778","2,778",1,1,1,,-38,-38,,-3,-3,"5,080","5,080","5,080","3,125","3,125","3,125",54,54,54,"38,774","38,774","38,774"
G4,1,"1,987","1,987","1,987","2,689","2,689","2,689","5,371","5,371","5,371",78,78,78,61,61,61,91,91,91,"4,821","4,821","4,821","3,292","3,292","3,292",143,143,143,"39,338","39,338","39,338"
G5,1,"1,300","1,300","1,300",128,128,128,"1,779","1,779","1,779",,-76,-76,80,80,80,90,90,90,"2,434","2,434","2,434","5,868","5,868","5,868",153,153,153,"39,580","39,580","39,580"
G6,1,"1,666","1,666","1,666",595,595,595,"4,654","4,654","4,654",165,165,165,64,64,64,437,437,437,"4,769","4,769","4,769","4,314","4,314","4,314",132,132,132,"39,968","39,968","39,968"
G7,1,"1,605","1,605","1,605","1,308","1,308","1,308","3,349","3,349","3,349",,-44,-44,,-40,-40,619,619,619,"3,315","3,315","3,315","3,316","3,316","3,316",134,134,134,"40,336","40,336","40,336"
