Experiment Name,210902 TA M5/6 PA BM Spleen
Specimen Name,M5-6 LN
Tube Name,INX_GC82_001
Record Date,"Sep 2, 2021 3:02:42 PM"
Date Analyzed,09/03/2021 18:47

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events PA+ GFP-A Geo Mean,All Events PA+ GFP-A Mean,All Events PA+ GFP-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events PA Pacific Orange-A Geo Mean,All Events PA Pacific Orange-A Mean,All Events PA Pacific Orange-A Median,All Events BV650-A Geo Mean,All Events BV650-A Mean,All Events BV650-A Median,All Events IGK RFP-A Geo Mean,All Events IGK RFP-A Mean,All Events IGK RFP-A Median,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events B220 BV786-A Geo Mean,All Events B220 BV786-A Mean,All Events B220 BV786-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"2,296","2,296","2,296",,-34,-34,83,83,83,"1,926","1,926","1,926","2,741","2,741","2,741",365,365,365,183,183,183,"1,119","1,119","1,119","3,140","3,140","3,140","1,258","1,258","1,258"
A2,1,"6,426","6,426","6,426",638,638,638,,-27,-27,843,843,843,"3,937","3,937","3,937",,-52,-52,87,87,87,"1,282","1,282","1,282","2,729","2,729","2,729","1,694","1,694","1,694"
A3,1,"3,571","3,571","3,571",84,84,84,92,92,92,"1,002","1,002","1,002","1,915","1,915","1,915",,-20,-20,74,74,74,982,982,982,"2,650","2,650","2,650","2,043","2,043","2,043"
A4,1,"1,688","1,688","1,688",444,444,444,2,2,2,76,76,76,"2,589","2,589","2,589",28,28,28,273,273,273,"1,906","1,906","1,906","3,198","3,198","3,198","2,507","2,507","2,507"
A5,1,"6,300","6,300","6,300",446,446,446,184,184,184,"1,796","1,796","1,796","2,768","2,768","2,768",466,466,466,295,295,295,800,800,800,"3,149","3,149","3,149","2,756","2,756","2,756"
A6,1,"3,004","3,004","3,004",212,212,212,84,84,84,"1,557","1,557","1,557","2,651","2,651","2,651",67,67,67,161,161,161,"1,110","1,110","1,110","2,034","2,034","2,034","3,038","3,038","3,038"
A7,1,"4,491","4,491","4,491",290,290,290,58,58,58,"1,522","1,522","1,522","3,198","3,198","3,198",133,133,133,80,80,80,"1,122","1,122","1,122","3,828","3,828","3,828","3,276","3,277","3,277"
A8,1,"2,813","2,813","2,813",262,262,262,,-53,-53,"1,333","1,333","1,333","1,719","1,719","1,719",16,16,16,195,195,195,976,976,976,"2,455","2,455","2,455","3,550","3,550","3,550"
A9,1,"1,989","1,989","1,989",839,839,839,,-73,-73,"1,797","1,797","1,797","4,441","4,441","4,441",17,17,17,336,336,336,"1,791","1,791","1,791","3,625","3,625","3,625","3,833","3,833","3,833"
A10,1,"4,917","4,917","4,917",232,232,232,115,115,115,"3,522","3,522","3,522","1,515","1,515","1,515",254,254,254,348,348,348,"1,587","1,587","1,587","3,469","3,469","3,469","4,095","4,095","4,095"
