Experiment Name,210901 TA PA M3 M4
Specimen Name,M3-4LN
Tube Name,INX_GC57_001
Record Date,"Sep 1, 2021 3:31:36 PM"
Date Analyzed,09/07/2021 17:16

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,739","1,739","1,739","1,461","1,461","1,461","5,193","5,193","5,193",,-134,-134,239,239,239,"4,525","4,525","4,525","4,223","4,223","4,223",195,195,195,"3,586","3,586","3,586"
A2,1,"1,462","1,462","1,462","1,009","1,009","1,009","4,862","4,862","4,862",,-4,-4,212,212,212,"2,172","2,172","2,172","4,681","4,681","4,681",91,91,91,"3,976","3,976","3,976"
A3,1,951,951,951,"3,194","3,194","3,194","1,886","1,886","1,886",176,176,176,596,596,596,"2,506","2,506","2,506","4,826","4,826","4,826",194,194,194,"4,245","4,245","4,245"
A4,1,"1,415","1,415","1,415","4,596","4,596","4,596","1,494","1,494","1,494",41,41,41,197,197,197,"1,972","1,972","1,972","4,060","4,060","4,060",379,379,379,"4,765","4,765","4,765"
A5,1,608,608,608,"3,351","3,351","3,351","1,140","1,140","1,140",2,2,2,246,246,246,"1,758","1,758","1,758","3,254","3,254","3,254",197,197,197,"5,155","5,155","5,155"
A6,1,"1,644","1,644","1,644","2,049","2,049","2,049","2,873","2,873","2,873",296,296,296,"1,209","1,209","1,209","2,148","2,148","2,148","7,531","7,531","7,531",521,521,521,"5,567","5,567","5,567"
A7,1,"1,880","1,880","1,880","5,284","5,284","5,284","4,332","4,332","4,332",,-27,-27,40,40,40,"4,721","4,721","4,721","5,600","5,600","5,600",371,371,371,"5,886","5,887","5,887"
A8,1,830,830,830,774,774,774,"2,280","2,280","2,280",9,9,9,166,166,166,"1,968","1,968","1,968","2,821","2,821","2,821",116,116,116,"6,121","6,121","6,121"
A9,1,"1,018","1,018","1,018","8,706","8,706","8,706","5,966","5,966","5,966",,-83,-83,"1,103","1,103","1,103","3,401","3,401","3,401","4,159","4,159","4,159",301,301,301,"6,379","6,379","6,379"
A10,1,"1,881","1,881","1,881","1,398","1,398","1,398","2,764","2,764","2,764",70,70,70,108,108,108,"3,216","3,216","3,216","4,390","4,390","4,390",200,200,200,"6,863","6,863","6,863"
A11,1,"1,257","1,257","1,257","1,815","1,815","1,815","1,560","1,560","1,560",538,538,538,"1,139","1,139","1,139","2,528","2,528","2,528","3,983","3,983","3,983",350,350,350,"7,801","7,801","7,801"
A12,1,"2,525","2,525","2,525","4,945","4,945","4,945","4,879","4,879","4,879",243,243,243,430,430,430,"4,849","4,849","4,849","5,243","5,243","5,243","1,085","1,085","1,085","8,933","8,933","8,933"
B1,1,"1,527","1,527","1,527","4,872","4,872","4,872","3,912","3,912","3,912",215,215,215,522,522,522,"2,342","2,342","2,342","4,578","4,578","4,578",414,414,414,"14,103","14,103","14,103"
B2,1,"2,085","2,085","2,085","8,658","8,658","8,658","3,158","3,158","3,158",,-87,-87,"1,580","1,580","1,580","2,733","2,733","2,733","6,615","6,615","6,615","1,034","1,034","1,034","13,763","13,763","13,763"
B3,1,"1,100","1,100","1,100","1,587","1,587","1,587","3,609","3,609","3,609",202,202,202,57,57,57,"2,927","2,927","2,927","5,351","5,351","5,351",90,90,90,"13,546","13,546","13,546"
B4,1,"1,418","1,418","1,418","1,276","1,276","1,276","2,694","2,694","2,694",,-114,-114,191,191,191,"4,154","4,154","4,154","2,669","2,669","2,669",137,137,137,"13,162","13,162","13,162"
B5,1,"1,138","1,138","1,138","3,077","3,077","3,077","4,065","4,065","4,065",37,37,37,40,40,40,"3,841","3,841","3,841","5,026","5,026","5,026",286,286,286,"11,901","11,901","11,901"
B6,1,"1,076","1,076","1,076",446,446,446,"1,928","1,928","1,928",50,50,50,349,349,349,"2,590","2,590","2,590","3,827","3,827","3,827",189,189,189,"11,571","11,571","11,571"
B7,1,"1,117","1,117","1,117","3,258","3,258","3,258","3,149","3,149","3,149",,-50,-50,"1,068","1,068","1,068","2,011","2,011","2,011","5,174","5,174","5,174",539,539,539,"11,218","11,218","11,218"
B8,1,966,966,966,"1,853","1,853","1,853","5,379","5,379","5,379",204,204,204,922,922,922,"1,751","1,751","1,751","3,758","3,758","3,758",281,281,281,"10,853","10,853","10,853"
B9,1,"1,260","1,260","1,260",252,252,252,"1,550","1,550","1,550",61,61,61,85,85,85,"1,947","1,947","1,947","3,748","3,748","3,748",6,6,6,"10,458","10,458","10,458"
B10,1,750,750,750,376,376,376,"1,028","1,028","1,028",,-13,-13,152,152,152,"3,143","3,143","3,143","3,457","3,457","3,457",151,151,151,"10,164","10,164","10,164"
B11,1,959,959,959,"4,008","4,008","4,008","1,381","1,381","1,381",130,130,130,122,122,122,"1,863","1,863","1,863","3,393","3,393","3,393",452,452,452,"9,806","9,806","9,806"
B12,1,"2,713","2,713","2,713","5,681","5,681","5,681","7,537","7,537","7,537",284,284,284,860,860,860,"4,717","4,717","4,717","6,371","6,371","6,371",982,982,982,"9,331","9,331","9,331"
C1,1,"1,205","1,205","1,205","4,414","4,414","4,414","3,349","3,349","3,349",,-27,-27,515,515,515,"5,246","5,246","5,246","5,740","5,740","5,740",483,483,483,"15,023","15,023","15,023"
C2,1,974,974,974,"1,020","1,020","1,020","1,516","1,516","1,516",,-6,-6,251,251,251,"2,455","2,455","2,455","2,599","2,599","2,599",189,189,189,"15,348","15,348","15,348"
C3,1,"1,607","1,607","1,607","1,987","1,987","1,987","2,757","2,757","2,757",205,205,205,152,152,152,"2,236","2,236","2,236","3,044","3,044","3,044",199,199,199,"16,337","16,337","16,337"
C4,1,"1,025","1,025","1,025","2,157","2,157","2,157","2,711","2,711","2,711",24,24,24,576,576,576,"3,482","3,482","3,482","2,950","2,950","2,950",289,289,289,"16,940","16,941","16,941"
C5,1,"1,272","1,272","1,272","8,275","8,275","8,275","3,322","3,322","3,322",192,192,192,159,159,159,"2,393","2,393","2,393","4,776","4,776","4,776",347,347,347,"17,389","17,390","17,390"
C6,1,"1,030","1,030","1,030",706,706,706,"2,774","2,774","2,774",,-24,-24,185,185,185,"3,343","3,343","3,343","2,720","2,720","2,720",113,113,113,"17,748","17,748","17,748"
C7,1,"1,422","1,422","1,422","3,583","3,583","3,583","3,913","3,913","3,913",,-14,-14,408,408,408,"4,843","4,843","4,843","5,264","5,264","5,264",327,327,327,"18,366","18,366","18,366"
C8,1,586,586,586,"1,127","1,127","1,127",887,887,887,43,43,43,115,115,115,"3,223","3,223","3,223","4,600","4,600","4,600",121,121,121,"18,634","18,634","18,634"
C9,1,926,926,926,663,663,663,"2,211","2,211","2,211",68,68,68,104,104,104,"2,989","2,989","2,989","3,783","3,783","3,783",79,79,79,"19,361","19,361","19,361"
C10,1,745,745,745,"1,532","1,532","1,532","1,195","1,195","1,195",,-68,-68,168,168,168,"3,624","3,624","3,624","3,685","3,685","3,685",111,111,111,"19,806","19,806","19,806"
