Experiment Name,210831 TA PA M2
Specimen Name,M2LN
Tube Name,INX_GC25_001
Record Date,"Aug 31, 2021 3:51:58 PM"
Date Analyzed,09/07/2021 17:02

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,316","1,316","1,316","1,159","1,159","1,159","3,291","3,291","3,291",92,92,92,29,29,29,"3,649","3,649","3,649","2,902","2,902","2,902",100,100,100,750,751,751
A2,1,"1,655","1,655","1,655",761,761,761,"6,945","6,945","6,945",,-9,-9,28,28,28,"5,091","5,091","5,091","8,615","8,615","8,615",134,134,134,"1,292","1,292","1,292"
A3,1,"2,437","2,437","2,437","5,034","5,034","5,034","4,956","4,956","4,956",,-76,-76,65,65,65,"4,976","4,976","4,976","6,358","6,358","6,358",314,314,314,"1,600","1,600","1,600"
A4,1,"2,098","2,098","2,098","3,721","3,721","3,721","2,534","2,534","2,534",,-49,-49,922,922,922,"5,181","5,181","5,181","4,626","4,626","4,626",583,583,583,"1,970","1,970","1,970"
A5,1,"1,951","1,951","1,951","1,660","1,660","1,660","6,653","6,653","6,653",92,92,92,33,33,33,"5,312","5,312","5,312","5,790","5,790","5,790",181,181,181,"2,395","2,395","2,395"
A6,1,"1,467","1,467","1,467",324,324,324,"2,455","2,455","2,455",0,0,0,75,75,75,"2,696","2,696","2,696","4,012","4,012","4,012",41,41,41,"2,835","2,835","2,835"
A7,1,"3,023","3,023","3,023","3,743","3,743","3,743","5,915","5,915","5,915",280,280,280,430,430,430,"4,702","4,702","4,702","7,794","7,794","7,794",254,254,254,"3,171","3,171","3,171"
A8,1,955,955,955,"1,446","1,446","1,446","2,682","2,682","2,682",176,176,176,24,24,24,"1,154","1,154","1,154","5,014","5,014","5,014",69,69,69,"3,815","3,816","3,816"
A9,1,782,782,782,,-162,-162,"1,489","1,489","1,489",57,57,57,18,18,18,"1,603","1,603","1,603","6,199","6,199","6,199",3,3,3,"4,150","4,150","4,150"
A10,1,"4,059","4,059","4,059","3,105","3,105","3,105","6,936","6,936","6,936",380,380,380,"1,258","1,258","1,258","8,383","8,383","8,383","8,077","8,077","8,077",436,436,436,"4,443","4,443","4,443"
A11,1,"2,796","2,796","2,796","2,095","2,095","2,095","3,162","3,162","3,162",116,116,116,93,93,93,"5,929","5,929","5,929","7,710","7,710","7,710",253,253,253,"5,046","5,046","5,046"
