Experiment Name,210831 TA PA M2
Specimen Name,M2LN
Tube Name,INX_GC39_001
Record Date,"Aug 31, 2021 5:45:12 PM"
Date Analyzed,09/07/2021 17:05

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,199","1,199","1,199","1,470","1,470","1,470","2,165","2,165","2,165",140,140,140,84,84,84,"3,100","3,100","3,100","4,507","4,507","4,507",268,268,268,"2,224","2,224","2,224"
A2,1,"1,188","1,188","1,188",50,50,50,"2,434","2,434","2,434",183,183,183,443,443,443,"2,273","2,273","2,273","5,382","5,382","5,382",363,363,363,"2,591","2,592","2,592"
A3,1,"1,504","1,504","1,504",405,405,405,"2,698","2,698","2,698",111,111,111,85,85,85,"1,978","1,978","1,978","6,332","6,332","6,332",177,177,177,"3,222","3,222","3,222"
A4,1,"1,574","1,574","1,574","1,289","1,289","1,289","2,332","2,332","2,332",,-18,-18,202,202,202,"2,047","2,047","2,047","3,114","3,114","3,114",619,619,619,"3,511","3,511","3,511"
A5,1,788,788,788,230,230,230,"2,533","2,533","2,533",,-1,-1,171,171,171,"2,067","2,067","2,067","2,918","2,918","2,918",285,285,285,"3,787","3,787","3,787"
A6,1,"1,262","1,262","1,262","2,198","2,198","2,198","2,219","2,219","2,219",,-163,-163,289,289,289,"3,312","3,312","3,312","3,469","3,469","3,469",229,229,229,"4,171","4,171","4,171"
A7,1,"1,616","1,616","1,616","4,720","4,720","4,720","2,811","2,811","2,811",,-139,-139,507,507,507,"2,423","2,423","2,423","6,314","6,314","6,314",553,553,553,"4,634","4,634","4,634"
A8,1,"1,071","1,071","1,071","3,424","3,424","3,424","8,367","8,367","8,367",237,237,237,,-27,-27,"2,192","2,192","2,192","6,796","6,796","6,796",571,571,571,"4,874","4,874","4,874"
A9,1,"1,774","1,774","1,774",,-152,-152,"4,085","4,085","4,085",,-19,-19,172,172,172,"4,573","4,573","4,573","5,560","5,560","5,560",504,504,504,"5,109","5,109","5,109"
A10,1,"1,339","1,339","1,339","1,216","1,216","1,216","3,352","3,352","3,352",11,11,11,50,50,50,"1,397","1,397","1,397","7,548","7,548","7,548",447,447,447,"5,332","5,332","5,332"
A11,1,"1,279","1,279","1,279",329,329,329,"1,794","1,794","1,794",81,81,81,118,118,118,"5,049","5,049","5,049","4,418","4,418","4,418",178,178,178,"5,815","5,815","5,815"
A12,1,"1,224","1,224","1,224","2,729","2,729","2,729","2,394","2,394","2,394",40,40,40,23,23,23,"4,817","4,817","4,817","6,665","6,665","6,665",187,187,187,"6,193","6,193","6,193"
B1,1,"1,182","1,182","1,182","1,310","1,310","1,310","3,812","3,812","3,812",101,101,101,216,216,216,"2,244","2,244","2,244","1,437","1,438","1,438",203,203,203,"9,947","9,947","9,947"
B2,1,"1,244","1,244","1,244","1,193","1,193","1,193","2,528","2,528","2,528",,-41,-41,90,90,90,"2,525","2,525","2,525","3,992","3,992","3,992",88,88,88,"9,600","9,600","9,600"
B3,1,"2,335","2,335","2,335","2,311","2,311","2,311","4,860","4,860","4,860",25,25,25,353,353,353,"2,650","2,650","2,650","5,686","5,686","5,686",814,814,814,"9,370","9,370","9,370"
B4,1,"1,144","1,144","1,144",560,560,560,"2,804","2,804","2,804",,-71,-71,,-1,-1,"2,977","2,977","2,977","3,990","3,990","3,990",155,155,155,"9,164","9,164","9,164"
B5,1,"1,144","1,144","1,144","1,268","1,268","1,268","1,973","1,973","1,973",84,84,84,57,57,57,"2,253","2,253","2,253","3,630","3,630","3,630",190,190,190,"8,779","8,779","8,779"
B6,1,"1,090","1,090","1,090","1,168","1,168","1,168","2,697","2,697","2,697",120,120,120,282,282,282,"3,439","3,439","3,439","4,747","4,747","4,747",263,263,263,"8,295","8,296","8,296"
B7,1,"1,745","1,745","1,745","2,036","2,036","2,036","3,051","3,051","3,051",83,83,83,35,35,35,"5,099","5,099","5,099","3,878","3,878","3,878",202,202,202,"7,970","7,970","7,970"
B8,1,"1,048","1,048","1,048","1,089","1,089","1,089","2,205","2,205","2,205",20,20,20,248,248,248,"3,369","3,369","3,369","2,733","2,733","2,733",201,201,201,"7,736","7,736","7,736"
B9,1,720,720,720,7,7,7,"2,624","2,624","2,624",12,12,12,176,176,176,"3,064","3,064","3,064","3,856","3,856","3,856",185,185,185,"7,396","7,396","7,396"
B10,1,"1,318","1,318","1,318","2,230","2,230","2,230","2,610","2,610","2,610",120,120,120,234,234,234,"4,715","4,715","4,715","5,787","5,787","5,787",358,358,358,"7,048","7,048","7,048"
B11,1,"1,776","1,776","1,776",561,561,561,"2,467","2,467","2,467",65,65,65,79,79,79,"7,879","7,879","7,879","6,860","6,860","6,860",160,160,160,"6,846","6,846","6,846"
B12,1,938,938,938,250,250,250,"2,053","2,053","2,053",,-74,-74,36,36,36,"3,094","3,094","3,094","4,349","4,349","4,349",91,91,91,"6,516","6,516","6,516"
C1,1,"1,267","1,267","1,267","1,286","1,286","1,286","2,224","2,224","2,224",47,47,47,194,194,194,"2,255","2,255","2,255","6,059","6,059","6,059",216,216,216,"10,228","10,228","10,228"
C2,1,"1,372","1,372","1,372","2,142","2,142","2,142","2,703","2,703","2,703",,0,0,42,42,42,"3,210","3,210","3,210","3,822","3,822","3,822",337,337,337,"10,788","10,788","10,788"
C3,1,832,832,832,657,657,657,"1,610","1,610","1,610",204,204,204,808,808,808,"3,988","3,988","3,988","4,351","4,351","4,351",280,280,280,"11,321","11,321","11,321"
C4,1,"1,744","1,744","1,744","5,765","5,765","5,765","2,990","2,990","2,990",98,98,98,12,12,12,"5,082","5,082","5,082","5,679","5,679","5,679",449,449,449,"11,581","11,581","11,581"
C5,1,"1,578","1,578","1,578","1,428","1,428","1,428","1,570","1,570","1,570",,-52,-52,253,253,253,"4,531","4,531","4,531","6,280","6,280","6,280","1,040","1,040","1,040","12,018","12,018","12,018"
C6,1,"1,200","1,200","1,200",,-44,-44,"2,447","2,447","2,447",16,16,16,154,154,154,"3,808","3,808","3,808","3,876","3,876","3,876",144,144,144,"12,652","12,652","12,652"
C7,1,836,836,836,320,320,320,"3,180","3,180","3,180",156,156,156,61,61,61,"2,439","2,439","2,439","2,935","2,935","2,935",90,90,90,"12,873","12,873","12,873"
C8,1,"2,021","2,021","2,021","2,400","2,400","2,400","3,509","3,509","3,509",268,268,268,149,149,149,"8,143","8,143","8,143","4,637","4,637","4,637",880,880,880,"13,131","13,131","13,131"
