Experiment Name,210901 TA PA M3 M4
Specimen Name,M3-4LN
Tube Name,INX_GC68_001
Record Date,"Sep 1, 2021 6:55:20 PM"
Date Analyzed,09/07/2021 17:24

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"1,494","1,494","1,494","1,767","1,767","1,767","2,153","2,153","2,153",,-51,-51,331,331,331,"2,438","2,438","2,438","3,424","3,424","3,424",196,196,196,"2,704","2,704","2,704"
A2,1,"1,116","1,116","1,116","1,564","1,564","1,564","3,635","3,635","3,635",150,150,150,87,87,87,"1,328","1,328","1,328","2,544","2,544","2,544",69,69,69,"3,854","3,854","3,854"
A3,1,"1,052","1,052","1,052",928,928,928,"2,267","2,267","2,267",104,104,104,51,51,51,"1,643","1,643","1,643","3,315","3,315","3,315",46,46,46,"4,579","4,579","4,579"
A4,1,"1,066","1,066","1,066","1,083","1,083","1,083","1,611","1,611","1,611",135,135,135,165,165,165,"1,592","1,592","1,592","2,507","2,507","2,507",100,100,100,"4,878","4,878","4,878"
A5,1,"2,615","2,615","2,615",457,457,457,"9,269","9,269","9,269",,-56,-56,"1,554","1,554","1,554","5,495","5,495","5,495","9,225","9,225","9,225",356,356,356,"5,579","5,579","5,579"
A6,1,"1,829","1,829","1,829","2,316","2,316","2,316","6,007","6,007","6,007",10,10,10,202,202,202,"2,386","2,386","2,386","6,517","6,517","6,517",123,123,123,"6,853","6,853","6,853"
A7,1,"1,270","1,270","1,270","1,555","1,555","1,555","2,385","2,385","2,385",,-15,-15,107,107,107,"6,801","6,801","6,801","3,078","3,078","3,078",86,86,86,"7,110","7,110","7,110"
A8,1,"1,187","1,187","1,187","1,009","1,009","1,009","2,274","2,274","2,274",162,162,162,286,286,286,"1,807","1,807","1,807","2,118","2,118","2,118",141,141,141,"7,732","7,732","7,732"
A9,1,"1,586","1,586","1,586","1,740","1,740","1,740","4,622","4,622","4,622",10,10,10,127,127,127,"1,669","1,669","1,669","5,165","5,165","5,165",156,156,156,"7,983","7,983","7,983"
A10,1,"2,569","2,569","2,569","4,370","4,370","4,370","4,946","4,946","4,946",229,229,229,421,421,421,"1,118","1,118","1,118","5,159","5,159","5,159",344,344,344,"8,396","8,396","8,396"
