Experiment Name,210831 TA PA M2
Specimen Name,M2LN
Tube Name,INX_GC34_001
Record Date,"Aug 31, 2021 5:34:09 PM"
Date Analyzed,09/07/2021 17:03

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,All Events #Events,All Events FAS PE-Cy7-A Geo Mean,All Events FAS PE-Cy7-A Mean,All Events FAS PE-Cy7-A Median,All Events IGY BV421-A Geo Mean,All Events IGY BV421-A Mean,All Events IGY BV421-A Median,All Events B220 BV785-A Geo Mean,All Events B220 BV785-A Mean,All Events B220 BV785-A Median,All Events TCRB APC-Cy7-A Geo Mean,All Events TCRB APC-Cy7-A Mean,All Events TCRB APC-Cy7-A Median,All Events CD38 APC-A Geo Mean,All Events CD38 APC-A Mean,All Events CD38 APC-A Median,All Events PA+ FITC-A Geo Mean,All Events PA+ FITC-A Mean,All Events PA+ FITC-A Median,All Events PA V500-A Geo Mean,All Events PA V500-A Mean,All Events PA V500-A Median,All Events IGK tdTomato-A Geo Mean,All Events IGK tdTomato-A Mean,All Events IGK tdTomato-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
A1,1,"2,237","2,237","2,237","4,243","4,243","4,243","4,667","4,667","4,667",198,198,198,135,135,135,"7,323","7,323","7,323","6,062","6,062","6,062",328,328,328,"2,381","2,381","2,381"
A2,1,991,991,991,657,657,657,"3,042","3,042","3,042",96,96,96,166,166,166,"4,864","4,864","4,864","3,201","3,201","3,201",96,96,96,"3,453","3,453","3,453"
A3,1,"1,508","1,508","1,508","2,005","2,005","2,005","2,617","2,617","2,617",89,89,89,"1,569","1,569","1,569","2,490","2,490","2,490","1,790","1,790","1,790",825,825,825,"4,196","4,197","4,197"
A4,1,"4,908","4,908","4,908","5,063","5,063","5,063","5,876","5,876","5,876",141,141,141,453,453,453,"2,922","2,922","2,922","2,754","2,754","2,754","4,866","4,866","4,866","4,452","4,452","4,452"
A5,1,"2,707","2,707","2,707","5,369","5,369","5,369","9,423","9,423","9,423",215,215,215,849,849,849,"3,322","3,322","3,322","8,628","8,628","8,628",849,849,849,"4,989","4,989","4,989"
A6,1,"1,025","1,025","1,025","4,494","4,494","4,494","1,979","1,979","1,979",34,34,34,335,335,335,"1,695","1,695","1,695","5,209","5,209","5,209",410,410,410,"5,265","5,265","5,265"
A7,1,"1,180","1,180","1,180","1,329","1,329","1,329","3,945","3,945","3,945",15,15,15,189,189,189,"6,967","6,967","6,967","7,191","7,191","7,191",154,154,154,"6,303","6,303","6,303"
A8,1,938,938,938,"3,957","3,957","3,957","6,503","6,503","6,503",172,172,172,83,83,83,"5,176","5,176","5,176","5,458","5,458","5,458",341,341,341,"6,854","6,854","6,854"
A9,1,"2,083","2,083","2,083","4,748","4,748","4,748","4,071","4,071","4,071",,-63,-63,325,325,325,"4,719","4,719","4,719","3,988","3,988","3,988",615,615,615,"7,796","7,796","7,796"
A10,1,"1,406","1,406","1,406","3,308","3,308","3,308","2,933","2,933","2,933",82,82,82,136,136,136,"1,692","1,692","1,692","2,398","2,398","2,398",233,233,233,"8,382","8,382","8,382"
A11,1,"2,187","2,187","2,187","5,206","5,206","5,206","4,167","4,167","4,167",,-8,-8,175,175,175,"6,055","6,055","6,055","4,391","4,391","4,391",476,476,476,"10,014","10,014","10,014"
A12,1,"1,393","1,393","1,393",549,549,549,"2,039","2,039","2,039",155,155,155,"1,068","1,068","1,068","2,283","2,283","2,283","1,540","1,540","1,540",668,668,668,"10,509","10,509","10,509"
B1,1,731,731,731,"3,866","3,866","3,866","3,929","3,929","3,929",54,54,54,224,224,224,"5,887","5,887","5,887","8,578","8,578","8,578",340,340,340,"16,982","16,982","16,982"
B2,1,979,979,979,"1,608","1,608","1,608","1,514","1,514","1,514",,-5,-5,67,67,67,"6,792","6,792","6,792","3,124","3,124","3,124",124,124,124,"16,579","16,579","16,579"
B3,1,"1,436","1,436","1,436",669,669,669,"4,002","4,002","4,002",206,206,206,548,548,548,"2,867","2,867","2,867","6,826","6,826","6,826",355,355,355,"15,921","15,921","15,921"
B4,1,"1,005","1,005","1,005",735,735,735,"1,997","1,997","1,997",,-86,-86,407,407,407,"3,743","3,743","3,743","2,413","2,413","2,413",206,206,206,"15,035","15,035","15,035"
B5,1,"1,796","1,796","1,796","3,259","3,259","3,259","3,942","3,942","3,942",,-52,-52,14,14,14,"3,990","3,990","3,990","3,476","3,476","3,476",210,210,210,"14,793","14,793","14,793"
B6,1,"1,882","1,882","1,882","2,171","2,171","2,171","3,801","3,801","3,801",335,335,335,495,495,495,"1,758","1,758","1,758","1,682","1,682","1,682",327,327,327,"14,568","14,568","14,568"
B7,1,"1,472","1,472","1,472",324,324,324,"3,214","3,214","3,214",,-43,-43,593,593,593,"4,037","4,037","4,037","4,154","4,154","4,154",333,333,333,"14,125","14,125","14,125"
B8,1,"1,089","1,089","1,089","2,092","2,092","2,092","2,167","2,167","2,167",69,69,69,103,103,103,"4,724","4,724","4,724","3,367","3,367","3,367",182,182,182,"13,713","13,714","13,714"
B9,1,875,875,875,"2,454","2,454","2,454","4,605","4,605","4,605",,-107,-107,590,590,590,"3,559","3,559","3,559","4,504","4,504","4,504",463,463,463,"13,234","13,234","13,234"
B10,1,"1,222","1,222","1,222",34,34,34,"3,464","3,464","3,464",,-78,-78,328,328,328,"5,218","5,218","5,218","2,064","2,064","2,064",959,959,959,"12,491","12,491","12,491"
B11,1,"1,106","1,106","1,106","1,624","1,624","1,624","3,061","3,061","3,061",125,125,125,289,289,289,"7,235","7,235","7,235","3,056","3,056","3,056",279,279,279,"11,530","11,530","11,530"
